Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,0.909,1.064,0,180.4,0,0,NA,NA,NA,NA,NA
2,1,2,0.885,1.088,0,173.7,0.034,0.034,NA,0.034,NA,135,NA
3,1,3,0.873,1.1,0,182.4,0.052,0.052,NA,0.017,NA,135,0
4,1,4,0.873,1.1,0,194,0.052,0.052,NA,0,NA,0,-135
5,1,5,0.844,1.108,0,138.3,0.081,0.079,NA,0.03,NA,164.055,164.055
6,1,6,0.828,1.125,0,157.2,0.104,0.102,NA,0.023,NA,135,-29.055
7,1,7,0.824,1.133,0,134,0.113,0.11,NA,0.009,NA,116.565,-18.435
8,1,8,0.828,1.153,0,186.1,0.134,0.121,NA,0.021,NA,78.69,-37.875
9,1,9,0.848,1.165,0,142.7,0.158,0.118,NA,0.024,NA,30.964,-47.726
10,1,10,0.848,1.182,0,177.3,0.174,0.133,NA,0.016,NA,90,59.036
11,1,11,0.848,1.19,0,140.4,0.182,0.14,NA,0.008,NA,90,0
12,1,12,0.856,1.198,0,121.2,0.194,0.144,NA,0.011,NA,45,-45
13,1,13,0.865,1.206,0,141.7,0.205,0.149,NA,0.011,NA,45,0
14,1,14,0.869,1.214,0,95.7,0.214,0.156,NA,0.009,NA,63.435,18.435
15,1,15,0.873,1.214,0,54.2,0.218,0.155,NA,0.004,NA,0,-63.435
16,1,16,0.885,1.222,0,87.3,0.233,0.16,NA,0.015,NA,33.69,33.69
17,1,17,0.885,1.222,0,114.5,0.233,0.16,NA,0,NA,0,-33.69
18,1,18,0.885,1.226,0,56.7,0.237,0.164,NA,0.004,NA,90,90
19,1,19,0.893,1.234,0,47.1,0.249,0.171,NA,0.011,NA,45,-45
20,1,20,0.897,1.234,0,42,0.253,0.171,NA,0.004,NA,0,-45
21,2,1,1.978,1.312,0,87.3,0,0,NA,NA,NA,NA,NA
22,2,2,1.946,1.324,0,58.8,0.035,0.035,NA,0.035,NA,159.444,NA
23,2,3,1.942,1.356,0,149.8,0.067,0.058,NA,0.033,NA,97.125,-62.319
24,2,4,1.913,1.36,0,111.3,0.096,0.081,NA,0.029,NA,171.87,74.745
25,2,5,1.901,1.369,0,93.3,0.111,0.096,NA,0.015,NA,146.31,-25.56
26,2,6,1.897,1.369,0,33.1,0.115,0.099,NA,0.004,NA,180,33.69
27,2,7,1.881,1.369,0,38.1,0.131,0.113,NA,0.016,NA,180,0
28,2,8,1.877,1.369,0,72.6,0.135,0.116,NA,0.004,NA,180,0
29,2,9,1.872,1.373,0,83.2,0.141,0.122,NA,0.006,NA,135,-45
30,2,10,1.864,1.381,0,71.4,0.153,0.133,NA,0.011,NA,135,0
31,2,11,1.856,1.381,0,85.5,0.161,0.14,NA,0.008,NA,180,45
32,2,12,1.856,1.381,0,93,0.161,0.14,NA,0,NA,0,-180
33,2,13,1.844,1.381,0,102.7,0.173,0.151,NA,0.012,NA,180,180
34,2,14,1.836,1.385,0,107.8,0.182,0.16,NA,0.009,NA,153.435,-26.565
35,2,15,1.824,1.381,0,94.1,0.195,0.169,NA,0.013,NA,-161.565,45
36,2,16,1.816,1.393,0,124.2,0.209,0.182,NA,0.015,NA,123.69,-74.745
37,2,17,1.824,1.397,0,143.5,0.219,0.176,NA,0.009,NA,26.565,-97.125
38,2,18,1.832,1.409,0,107.4,0.233,0.176,NA,0.015,NA,56.31,29.745
39,2,19,1.816,1.421,0,137.8,0.253,0.196,NA,0.02,NA,143.13,86.82
40,2,20,1.807,1.438,0,103.5,0.272,0.212,NA,0.018,NA,116.565,-26.565
41,2,21,1.807,1.454,0,78.9,0.288,0.222,NA,0.016,NA,90,-26.565
42,2,22,1.803,1.47,0,104.4,0.305,0.236,NA,0.017,NA,104.036,14.036
43,2,23,1.799,1.478,0,78.4,0.314,0.244,NA,0.009,NA,116.565,12.529
44,2,24,1.795,1.49,0,46.8,0.327,0.256,NA,0.013,NA,108.435,-8.13
45,2,25,1.779,1.49,0,51.2,0.343,0.268,NA,0.016,NA,180,71.565
46,2,26,1.787,1.503,0,99,0.358,0.27,NA,0.015,NA,56.31,-123.69
47,2,27,1.787,1.503,0,20.5,0.358,0.27,NA,0,NA,0,-56.31
48,2,28,1.791,1.495,0,21.3,0.367,0.262,NA,0.009,NA,-63.435,-63.435
49,3,1,4.514,3.388,0,27,0,0,NA,NA,NA,NA,NA
50,3,2,4.466,3.397,0,41.4,0.049,0.049,NA,0.049,NA,170.538,NA
51,3,3,4.441,3.413,0,33.9,0.079,0.077,NA,0.029,NA,146.31,-24.228
52,3,4,4.413,3.453,0,44.1,0.128,0.121,NA,0.05,NA,124.992,-21.318
53,3,5,4.376,3.49,0,72.9,0.18,0.172,NA,0.052,NA,135,10.008
54,3,6,4.299,3.437,0,43.2,0.274,0.221,NA,0.094,NA,-145.62,79.38
55,3,7,4.27,3.449,0,30.9,0.305,0.251,NA,0.031,NA,156.801,-57.579
56,3,8,4.242,3.466,0,16.3,0.337,0.283,NA,0.033,NA,150.255,-6.546
57,3,9,4.209,3.482,0,25.5,0.374,0.319,NA,0.036,NA,153.435,3.18
58,3,10,4.193,3.494,0,29.3,0.394,0.338,NA,0.02,NA,143.13,-10.305
