Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,0.568,2.185,0,23.1,0,0,NA,NA,NA,NA,NA
2,1,2,0.608,2.157,0,55.8,0.05,0.05,NA,0.05,NA,-34.992,NA
3,1,3,0.604,2.12,0,50.6,0.086,0.075,NA,0.037,NA,-96.34,-61.348
4,1,4,0.576,2.084,0,59.7,0.133,0.102,NA,0.046,NA,-127.875,-31.535
5,1,5,0.56,2.064,0,124.7,0.159,0.122,NA,0.026,NA,-128.66,-0.785
6,1,6,0.531,2.043,0,66.1,0.194,0.147,NA,0.035,NA,-144.462,-15.803
7,1,7,0.511,2.043,0,154.9,0.214,0.153,NA,0.02,NA,180,-35.538
8,1,8,0.487,2.043,0,20.4,0.238,0.164,NA,0.024,NA,180,0
9,1,9,0.458,2.039,0,37.3,0.267,0.183,NA,0.029,NA,-171.87,8.13
10,1,10,0.426,2.031,0,10.5,0.301,0.21,NA,0.034,NA,-165.964,5.906
11,1,11,0.409,2.015,0,33.9,0.324,0.233,NA,0.023,NA,-135,30.964
12,1,12,0.381,1.982,0,9.9,0.367,0.276,NA,0.043,NA,-131.186,3.814
13,1,13,0.377,1.933,0,25.2,0.416,0.316,NA,0.049,NA,-94.764,36.422
14,1,14,0.369,1.897,0,39.3,0.453,0.351,NA,0.037,NA,-102.529,-7.765
15,1,15,0.336,1.812,0,5.7,0.545,0.44,NA,0.091,NA,-110.854,-8.326
16,1,16,0.3,1.791,0,6.9,0.586,0.477,NA,0.042,NA,-150.945,-40.091
17,1,17,0.243,1.771,0,36,0.647,0.527,NA,0.06,NA,-160.346,-9.401
18,1,18,0.222,1.759,0,47.5,0.671,0.549,NA,0.024,NA,-149.036,11.31
19,1,19,0.194,1.746,0,8.1,0.702,0.577,NA,0.031,NA,-156.801,-7.765
20,1,20,0.178,1.746,0,15.3,0.718,0.587,NA,0.016,NA,180,-23.199
21,1,21,0.165,1.738,0,32.7,0.732,0.601,NA,0.015,NA,-146.31,33.69
22,1,22,0.141,1.73,0,13.8,0.758,0.624,NA,0.026,NA,-161.565,-15.255
23,1,23,0.129,1.73,0,18,0.77,0.632,NA,0.012,NA,180,-18.435
24,1,24,0.113,1.726,0,9.3,0.787,0.647,NA,0.017,NA,-165.964,14.036
25,1,25,0.1,1.722,0,15.1,0.8,0.658,NA,0.013,NA,-161.565,4.399
26,1,26,0.096,1.722,0,3.3,0.804,0.661,NA,0.004,NA,180,-18.435
27,1,27,0.088,1.698,0,6.3,0.83,0.684,NA,0.026,NA,-108.435,71.565
28,1,28,0.076,1.698,0,0,0.842,0.693,NA,0.012,NA,180,-71.565
29,2,1,3.384,3.519,0,32.7,0,0,NA,NA,NA,NA,NA
30,2,2,3.421,3.519,0,21.8,0.037,0.037,NA,0.037,NA,0,NA
31,2,3,3.441,3.514,0,43.9,0.057,0.057,NA,0.021,NA,-11.31,-11.31
32,2,4,3.466,3.523,0,32,0.083,0.081,NA,0.026,NA,18.435,29.745
33,2,5,3.49,3.519,0,9.1,0.108,0.106,NA,0.025,NA,-9.462,-27.897
34,2,6,3.523,3.514,0,38.4,0.14,0.138,NA,0.033,NA,-7.125,2.337
35,2,7,3.653,3.486,0,28.5,0.274,0.27,NA,0.133,NA,-12.339,-5.214
36,2,8,3.718,3.474,0,31.6,0.34,0.336,NA,0.066,NA,-10.62,1.719
37,2,9,3.754,3.474,0,27.2,0.376,0.373,NA,0.037,NA,0,10.62
38,2,10,3.815,3.466,0,12.7,0.438,0.434,NA,0.062,NA,-7.595,-7.595
39,2,11,3.856,3.474,0,20.7,0.479,0.474,NA,0.041,NA,11.31,18.905
40,2,12,3.884,3.474,0,28.5,0.508,0.502,NA,0.028,NA,0,-11.31
41,2,13,3.925,3.462,0,27.9,0.55,0.544,NA,0.042,NA,-16.699,-16.699
42,2,14,3.953,3.453,0,32.4,0.58,0.573,NA,0.03,NA,-15.945,0.754
43,2,15,3.974,3.445,0,46.7,0.602,0.594,NA,0.022,NA,-21.801,-5.856
44,2,16,3.994,3.437,0,22.6,0.624,0.615,NA,0.022,NA,-21.801,0
