Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,2.707,2.422,0,12.3,0,0,NA,NA,NA,NA,NA
2,1,2,2.698,2.442,0,35.1,0.022,0.022,NA,0.022,NA,111.801,NA
3,1,3,2.694,2.459,0,68.9,0.039,0.039,NA,0.017,NA,104.036,-7.765
4,1,4,2.674,2.475,0,72.9,0.066,0.063,NA,0.026,NA,141.34,37.304
5,1,5,2.69,2.492,0,78.9,0.089,0.072,NA,0.023,NA,45,-96.34
6,1,6,2.674,2.508,0,81.8,0.113,0.093,NA,0.023,NA,135,90
7,1,7,2.661,2.508,0,82,0.125,0.098,NA,0.012,NA,180,45
8,1,8,2.653,2.512,0,78.3,0.134,0.106,NA,0.009,NA,153.435,-26.565
9,1,9,2.624,2.508,0,80.6,0.163,0.12,NA,0.029,NA,-171.87,34.695
10,1,10,2.608,2.5,0,61.8,0.182,0.127,NA,0.018,NA,-153.435,18.435
11,1,11,2.574,2.5,0,65.9,0.215,0.154,NA,0.033,NA,180,-26.565
12,1,12,2.562,2.496,0,74.4,0.228,0.163,NA,0.013,NA,-161.565,18.435
13,1,13,2.537,2.508,0,69.3,0.256,0.19,NA,0.028,NA,153.435,-45
14,1,14,2.541,2.517,0,67.2,0.265,0.191,NA,0.009,NA,63.435,-90
15,1,15,2.525,2.521,0,78.9,0.282,0.207,NA,0.017,NA,165.964,102.529
16,1,16,2.517,2.533,0,79.3,0.297,0.221,NA,0.015,NA,123.69,-42.274
17,1,17,2.512,2.533,0,76.5,0.301,0.224,NA,0.004,NA,180,56.31
18,1,18,2.5,2.537,0,55.8,0.314,0.237,NA,0.013,NA,161.565,-18.435
19,1,19,2.512,2.546,0,65,0.329,0.231,NA,0.015,NA,33.69,-127.875
20,1,20,2.5,2.55,0,71.3,0.342,0.243,NA,0.013,NA,161.565,127.875
21,1,21,2.492,2.517,0,75.1,0.376,0.235,NA,0.034,NA,-104.036,94.399
22,1,22,2.484,2.525,0,35.7,0.388,0.246,NA,0.012,NA,135,-120.964
23,1,23,2.475,2.525,0,65.8,0.396,0.254,NA,0.008,NA,180,45
24,1,24,2.455,2.517,0,57.5,0.418,0.27,NA,0.022,NA,-158.199,21.801
25,1,25,2.442,2.512,0,44.4,0.432,0.28,NA,0.013,NA,-161.565,-3.366
26,1,26,2.426,2.512,0,51,0.448,0.295,NA,0.017,NA,180,-18.435
27,2,1,0.805,4.435,0,27.3,0,0,NA,NA,NA,NA,NA
28,2,2,0.789,4.451,0,31.6,0.023,0.023,NA,0.023,NA,135,NA
29,2,3,0.747,4.431,0,32.1,0.07,0.058,NA,0.046,NA,-153.435,71.565
30,2,4,0.764,4.468,0,42.3,0.11,0.053,NA,0.041,NA,66.038,-140.528
31,2,5,0.735,4.46,0,34,0.14,0.075,NA,0.03,NA,-164.055,129.908
32,2,6,0.731,4.48,0,30,0.161,0.087,NA,0.021,NA,101.31,-94.635
33,2,7,0.698,4.468,0,27.6,0.197,0.112,NA,0.035,NA,-159.444,99.246
34,2,8,0.681,4.46,0,21.5,0.215,0.126,NA,0.018,NA,-153.435,6.009
35,2,9,0.665,4.468,0,29.7,0.234,0.144,NA,0.018,NA,153.435,-53.13
36,2,10,0.648,4.468,0,23.4,0.25,0.161,NA,0.017,NA,180,26.565
37,2,11,0.627,4.464,0,26.1,0.271,0.18,NA,0.021,NA,-168.69,11.31
38,2,12,0.615,4.468,0,24.9,0.284,0.193,NA,0.013,NA,161.565,-29.745
