
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1349.53,449.629,4835.02,µm,Spot,Position,1,14,
1320.22,389.527,4839.69,µm,Spot,Position,1,22,
1314.03,402.232,4840.77,µm,Spot,Position,1,29,
1350.16,466.03,4840.91,µm,Spot,Position,1,30,
1349.26,349.013,4846.15,µm,Spot,Position,1,33,
1340.44,429.726,4846.15,µm,Spot,Position,1,34,
1377.66,349.013,4835.02,µm,Spot,Position,1,54,
1365.43,354.58,4835.02,µm,Spot,Position,1,55,
1461.45,374.004,4835.02,µm,Spot,Position,1,62,
1362.29,386.29,4835.02,µm,Spot,Position,1,63,
1406.31,389.413,4835.02,µm,Spot,Position,1,64,
1403.33,417.189,4835.02,µm,Spot,Position,1,66,
1359.04,441.417,4835.02,µm,Spot,Position,1,68,
1415.12,379.088,4836.37,µm,Spot,Position,1,73,
1437.82,410.165,4837.83,µm,Spot,Position,1,74,
1388.99,397.15,4849.05,µm,Spot,Position,1,83,
1392.36,354.754,4856.96,µm,Spot,Position,1,89,
1475.57,449.822,4862.76,µm,Spot,Position,1,97,
1449.61,452.938,4862.29,µm,Spot,Position,1,98,
1556.1,446.884,4856.32,µm,Spot,Position,1,133,
1566.21,429.53,4859.02,µm,Spot,Position,1,135,
1597.46,408.524,4863.27,µm,Spot,Position,1,141,
1584.65,438.106,4862.78,µm,Spot,Position,1,142,
1587.43,415.969,4863.42,µm,Spot,Position,1,145,
1722.82,386.162,4838.34,µm,Spot,Position,1,161,
1647.98,435.565,4838.29,µm,Spot,Position,1,162,
1651.1,440.505,4852.8,µm,Spot,Position,1,182,
1688.5,396.771,4855.9,µm,Spot,Position,1,188,
1655.28,411.741,4860.12,µm,Spot,Position,1,197,
1612.01,428.221,4859.64,µm,Spot,Position,1,198,
1685.37,431.664,4859.85,µm,Spot,Position,1,199,
1763.24,434.193,4848.86,µm,Spot,Position,1,241,
1847.43,378.461,4853.01,µm,Spot,Position,1,251,
1852.4,464.244,4854.24,µm,Spot,Position,1,257,
1920.53,426.247,4838.63,µm,Spot,Position,1,281,
1882.2,397.413,4852.04,µm,Spot,Position,1,286,
1938.95,417.221,4851.74,µm,Spot,Position,1,289,
1938.95,376.236,4854.21,µm,Spot,Position,1,291,
1894.2,455.483,4856.07,µm,Spot,Position,1,292,
1282.61,479.567,4835.02,µm,Spot,Position,1,305,
1345.09,487.833,4835.02,µm,Spot,Position,1,306,
1317.5,492.968,4835.02,µm,Spot,Position,1,307,
1302.24,542.996,4835.02,µm,Spot,Position,1,310,
1333.44,556.524,4835.02,µm,Spot,Position,1,312,
1311.12,560.729,4835.02,µm,Spot,Position,1,314,
1325.87,573.14,4835.02,µm,Spot,Position,1,316,
1304.86,510.788,4844.74,µm,Spot,Position,1,323,
1350.57,504.368,4847.17,µm,Spot,Position,1,328,
1275.76,507.038,4846.9,µm,Spot,Position,1,329,
1273.89,542.977,4848.7,µm,Spot,Position,1,331,
1406.27,487.398,4835.02,µm,Spot,Position,1,346,
1461.84,478.834,4864.35,µm,Spot,Position,1,377,
1549.49,522.384,4854.29,µm,Spot,Position,1,406,
1503.96,523.638,4858.49,µm,Spot,Position,1,413,
1490.41,586.768,4864.03,µm,Spot,Position,1,421,
1723.52,480.692,4862.55,µm,Spot,Position,1,457,
1857.85,553.57,4841.43,µm,Spot,Position,1,471,
1830.41,555.562,4856.95,µm,Spot,Position,1,488,
1765.28,499.826,4862.35,µm,Spot,Position,1,495,
1776.01,524.899,4864.2,µm,Spot,Position,1,500,
1786.79,556.118,4864.32,µm,Spot,Position,1,502,
1775.61,560.112,4864.27,µm,Spot,Position,1,503,
1873.19,552.836,4835.02,µm,Spot,Position,1,506,
1897.79,514.49,4842.31,µm,Spot,Position,1,516,
1886.63,491.634,4847.26,µm,Spot,Position,1,519,
1871.1,535.724,4847.38,µm,Spot,Position,1,521,
1912.43,546.95,4850.75,µm,Spot,Position,1,525,
1919.18,549.009,4853.11,µm,Spot,Position,1,529,
1938.95,565.868,4859.17,µm,Spot,Position,1,533,
1863.8,541.098,4860.64,µm,Spot,Position,1,536,
1876.47,586.123,4862.94,µm,Spot,Position,1,539,
1904.63,515.074,4864.99,µm,Spot,Position,1,540,
1309.16,590.82,4835.02,µm,Spot,Position,1,543,
1298.8,662.024,4835.02,µm,Spot,Position,1,555,
1402.98,656.912,4857.84,µm,Spot,Position,1,603,
1462.71,699.103,4861.53,µm,Spot,Position,1,604,
1393.23,651.48,4863.98,µm,Spot,Position,1,605,
