
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
2006.47,1683.08,4182.96,µm,Surface,Position,1,596,
1801.81,1783.91,4179.77,µm,Surface,Position,1,597,
1692.55,1771.91,4179.2,µm,Surface,Position,1,598,
1654.82,1798.92,4178.24,µm,Surface,Position,1,599,
1774.52,1641.97,4180.64,µm,Surface,Position,1,600,
1646.53,1771.62,4201.61,µm,Surface,Position,1,601,
1820.76,1599.23,4180.8,µm,Surface,Position,1,602,
1643.27,1767.45,4187.3,µm,Surface,Position,1,603,
1591.82,1759.52,4338.88,µm,Surface,Position,1,604,
1785.98,1610.3,4184.57,µm,Surface,Position,1,605,
1668.68,1686.34,4252.99,µm,Surface,Position,1,606,
1763,1599.62,4201.85,µm,Surface,Position,1,607,
1668.88,1687.76,4189.24,µm,Surface,Position,1,608,
1668.37,1695.38,4206.18,µm,Surface,Position,1,609,
1641.65,1691.72,4219.11,µm,Surface,Position,1,610,
1727.7,1621.62,4191.27,µm,Surface,Position,1,611,
1720.95,1618.98,4180.09,µm,Surface,Position,1,612,
1572.68,1713.48,4182.28,µm,Surface,Position,1,613,
1697.6,1592.4,4211.8,µm,Surface,Position,1,614,
1690.97,1576.84,4215.07,µm,Surface,Position,1,615,
1670.92,1584.37,4178.84,µm,Surface,Position,1,616,
1686.85,1573.58,4183.8,µm,Surface,Position,1,617,
1662.42,1566.81,4179.61,µm,Surface,Position,1,618,
1627.42,1607.96,4186.62,µm,Surface,Position,1,619,
1916.11,1743.7,4148.48,µm,Surface,Position,2,620,
1928.76,1684.68,4151.78,µm,Surface,Position,2,621,
1797.44,1715.25,4152.01,µm,Surface,Position,2,622,
1847.53,1642.69,4160.39,µm,Surface,Position,2,623,
1818.49,1657.63,4163.41,µm,Surface,Position,2,624,
1819.38,1643.81,4166.73,µm,Surface,Position,2,625,
1691.71,1772.23,4172.19,µm,Surface,Position,2,626,
1777.82,1647.28,4175.97,µm,Surface,Position,2,627,
1773.81,1641.12,4180.58,µm,Surface,Position,2,628,
1789.91,1614.36,4185.88,µm,Surface,Position,2,629,
1645.53,1772.08,4197.81,µm,Surface,Position,2,630,
1784.93,1607.31,4184.89,µm,Surface,Position,2,631,
1671.91,1690.6,4259.12,µm,Surface,Position,2,632,
1742.42,1653.08,4165.34,µm,Surface,Position,2,633,
1669.55,1698.41,4210.76,µm,Surface,Position,2,634,
1729.02,1623.57,4197.25,µm,Surface,Position,2,635,
1722.22,1619.8,4183.45,µm,Surface,Position,2,636,
1701.16,1595.94,4223.94,µm,Surface,Position,2,637,
1691.71,1574.64,4228.98,µm,Surface,Position,2,638,
1670.3,1585.53,4177.93,µm,Surface,Position,2,639,
1664.13,1567.41,4182.74,µm,Surface,Position,2,640,
1876.77,1836.44,4124.32,µm,Surface,Position,3,641,
1856.99,1863.58,4113.52,µm,Surface,Position,3,642,
2005.99,1691.12,4119.86,µm,Surface,Position,3,643,
2006.43,1691.1,4160.28,µm,Surface,Position,3,644,
1912.81,1742.31,4140.1,µm,Surface,Position,3,645,
1797.91,1784.11,4165.96,µm,Surface,Position,3,646,
1925.18,1682.22,4145.26,µm,Surface,Position,3,647,
1850.95,1660.53,4191.15,µm,Surface,Position,3,648,
1695.75,1828.93,4160.29,µm,Surface,Position,3,649,
1794.89,1713.46,4147.63,µm,Surface,Position,3,650,
1632.26,1839.28,4167.92,µm,Surface,Position,3,651,
1846.12,1641.34,4158.77,µm,Surface,Position,3,652,
1713.49,1733.75,4227.3,µm,Surface,Position,3,653,
1816.75,1656.76,4163.55,µm,Surface,Position,3,654,
1607.94,1850.42,4161.99,µm,Surface,Position,3,655,
1688.85,1770.03,4168.6,µm,Surface,Position,3,656,
1729.24,1733.1,4152.75,µm,Surface,Position,3,657,
1817.06,1642.8,4168.53,µm,Surface,Position,3,658,
1820.84,1603.37,4178.95,µm,Surface,Position,3,659,
1746.85,1679.37,4160.8,µm,Surface,Position,3,660,
1649.05,1786.78,4183.24,µm,Surface,Position,3,661,
1644.37,1773.3,4200.05,µm,Surface,Position,3,662,
1775.73,1646.66,4177.13,µm,Surface,Position,3,663,
1601.84,1773.14,4339.17,µm,Surface,Position,3,664,
1771.95,1640.5,4182.83,µm,Surface,Position,3,665,
1589.28,1789.66,4282.93,µm,Surface,Position,3,666,
