
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1868.29,1038.7,4831.47,µm,Spot,Position,1,26,
1951.91,1059.74,4831.42,µm,Spot,Position,1,43,
1928.83,1106.27,4830.56,µm,Spot,Position,1,52,
1911.68,1114.83,4831.71,µm,Spot,Position,1,53,
2098.83,1031.47,4831.64,µm,Spot,Position,1,56,
2026.86,1087.65,4831.25,µm,Spot,Position,1,64,
1462.12,1145.43,4830.6,µm,Spot,Position,1,78,
1462.43,1169.14,4830.58,µm,Spot,Position,1,80,
1458.71,1184.78,4831.44,µm,Spot,Position,1,81,
1458.74,1226.28,4831.54,µm,Spot,Position,1,83,
1726.76,1175.41,4831.02,µm,Spot,Position,1,100,
1730.96,1223.13,4830.91,µm,Spot,Position,1,105,
1879.56,1159.84,4831.61,µm,Spot,Position,1,107,
1789.48,1186.09,4831.12,µm,Spot,Position,1,111,
1894.69,1237.18,4831.78,µm,Spot,Position,1,115,
1922.16,1217.91,4831.82,µm,Spot,Position,1,128,
1461.84,1316.37,4831,µm,Spot,Position,1,139,
1464.03,1338.22,4831.4,µm,Spot,Position,1,140,
1736.63,1275.06,4831.22,µm,Spot,Position,1,156,
1716.78,1292.71,4831.92,µm,Spot,Position,1,157,
1740.79,1339.11,4831.27,µm,Spot,Position,1,165,
1824.53,1245.35,4831.25,µm,Spot,Position,1,169,
1873.76,1270.71,4831.41,µm,Spot,Position,1,173,
1826.38,1291.97,4830.94,µm,Spot,Position,1,176,
1884.4,1304.28,4831.04,µm,Spot,Position,1,179,
1841.73,1306.73,4832.05,µm,Spot,Position,1,180,
1887.06,1323.15,4831.54,µm,Spot,Position,1,182,
1957.09,1268.57,4831.97,µm,Spot,Position,1,193,
1966.54,1283.13,4831.77,µm,Spot,Position,1,195,
1975.4,1317.63,4831.3,µm,Spot,Position,1,197,
1970.44,1348.56,4831.13,µm,Spot,Position,1,200,
1946.85,1358.22,4830.66,µm,Spot,Position,1,203,
1476.05,1422.06,4831.11,µm,Spot,Position,1,210,
1460.48,1433.6,4830.78,µm,Spot,Position,1,211,
1708.52,1381.23,4830.7,µm,Spot,Position,1,226,
1769.39,1398.47,4831.35,µm,Spot,Position,1,228,
1882.54,1381.02,4831.02,µm,Spot,Position,1,236,
1893.24,1403.64,4831.67,µm,Spot,Position,1,239,
1978.35,1373.35,4830.99,µm,Spot,Position,1,246,
1944.64,1373.61,4831.15,µm,Spot,Position,1,247,
1977.96,1381.21,4831.24,µm,Spot,Position,1,249,
1976.1,1398.24,4831.77,µm,Spot,Position,1,254,
1900.45,1419.79,4831.14,µm,Spot,Position,1,256,
1951.92,1428.04,4831.3,µm,Spot,Position,1,257,
1959.37,1459.76,4830.8,µm,Spot,Position,1,261,
1742.14,1555.4,4831.71,µm,Spot,Position,1,298,
1783.72,1570.1,4831.25,µm,Spot,Position,1,307,
1895.45,1584.9,4831.82,µm,Spot,Position,1,311,
1915.1,1505.29,4831.37,µm,Spot,Position,1,314,
1951,1548.61,4831,µm,Spot,Position,1,321,
1460.71,1623.54,4831.26,µm,Spot,Position,1,332,
1462.96,1030.2,4853.32,µm,Spot,Position,1,349,
1471.73,1033.57,4852.23,µm,Spot,Position,1,350,
1491.04,1026.18,4860.43,µm,Spot,Position,1,354,
1481.74,1081.84,4862.03,µm,Spot,Position,1,356,
1551.83,1035.63,4838.86,µm,Spot,Position,1,362,
1598.4,1098.29,4838.16,µm,Spot,Position,1,364,
1583.16,1061.3,4843.28,µm,Spot,Position,1,369,
1531.63,1031.55,4847.87,µm,Spot,Position,1,377,
1572.16,1059.17,4849.2,µm,Spot,Position,1,378,
1534.94,1039.33,4849.79,µm,Spot,Position,1,380,
1640.92,1111.53,4850.16,µm,Spot,Position,1,382,
1610.89,1033.44,4855.93,µm,Spot,Position,1,391,
1609.27,1088.99,4856.35,µm,Spot,Position,1,392,
1582.29,1063.06,4859.16,µm,Spot,Position,1,395,
1543.89,1038.9,4859.59,µm,Spot,Position,1,396,
1556.18,1076.84,4860.48,µm,Spot,Position,1,397,
1553.56,1027.23,4863.27,µm,Spot,Position,1,399,
1653.48,1034.59,4833.57,µm,Spot,Position,1,402,
1700.97,1034.79,4833.64,µm,Spot,Position,1,403,
1759.28,1084.95,4832.73,µm,Spot,Position,1,406,
1670.07,1064.82,4834.12,µm,Spot,Position,1,411,
1700.61,1070.15,4836.45,µm,Spot,Position,1,413,
1681.83,1082.92,4842.35,µm,Spot,Position,1,417,
1654.13,1092.03,4842.32,µm,Spot,Position,1,418,
1747.2,1103.87,4842.42,µm,Spot,Position,1,419,
1747.78,1045.02,4844.55,µm,Spot,Position,1,421,
1724.58,1027,4847.09,µm,Spot,Position,1,425,
1698.09,1114.7,4846.49,µm,Spot,Position,1,428,
1732.81,1114.94,4847.44,µm,Spot,Position,1,429,
1684.12,1032.19,4849.2,µm,Spot,Position,1,431,
1717.98,1037.18,4848.2,µm,Spot,Position,1,432,
1670.64,1027.31,4851.5,µm,Spot,Position,1,436,
1689.01,1049.64,4851.27,µm,Spot,Position,1,437,
1754.3,1026.44,4852.13,µm,Spot,Position,1,438,
1703.54,1022.78,4854.4,µm,Spot,Position,1,440,
1659.55,1068.65,4858.4,µm,Spot,Position,1,446,
1646.15,1094.02,4858.59,µm,Spot,Position,1,448,
1728.11,1115.77,4858.27,µm,Spot,Position,1,449,
1699.47,1043.7,4861.6,µm,Spot,Position,1,452,
1806.97,1054.04,4833.81,µm,Spot,Position,1,453,
1893.09,1113.18,4835.32,µm,Spot,Position,1,464,
1869.87,1117.5,4835.25,µm,Spot,Position,1,465,
1854.03,1117.1,4839.82,µm,Spot,Position,1,469,
1781.45,1063.17,4844.6,µm,Spot,Position,1,477,
1785.27,1084.06,4846.76,µm,Spot,Position,1,481,
1885.19,1114.19,4852.67,µm,Spot,Position,1,488,
1902.9,1026.68,4833.74,µm,Spot,Position,1,497,
1955.78,1080.19,4833.09,µm,Spot,Position,1,504,
1918.37,1098.72,4832.67,µm,Spot,Position,1,506,
1958.75,1101.14,4833.22,µm,Spot,Position,1,507,
1943.49,1061.26,4834.8,µm,Spot,Position,1,510,
1982.29,1110.08,4834.75,µm,Spot,Position,1,511,
1930.21,1048.11,4837.35,µm,Spot,Position,1,512,
1944.03,1033.46,4843.14,µm,Spot,Position,1,517,
1911.82,1021.75,4845.32,µm,Spot,Position,1,519,
2085.31,1026.26,4832.22,µm,Spot,Position,1,535,
2074.15,1085.71,4835.96,µm,Spot,Position,1,543,
2108.29,1113.89,4835.39,µm,Spot,Position,1,544,
2117.33,1022.62,4837.6,µm,Spot,Position,1,545,
2135.76,1023.13,4847.73,µm,Spot,Position,1,550,
2120.8,1047.99,4854.82,µm,Spot,Position,1,552,
2157.82,1044.73,4832.67,µm,Spot,Position,1,560,
2149.11,1025.68,4848,µm,Spot,Position,1,563,
2155.38,1071.74,4849.9,µm,Spot,Position,1,564,
2152.46,1035.94,4854.66,µm,Spot,Position,1,565,
2157.74,1046.11,4855.09,µm,Spot,Position,1,566,
2152.14,1054.87,4853.99,µm,Spot,Position,1,567,
1459.94,1202.36,4832.86,µm,Spot,Position,1,569,
1485.49,1238.44,4832.14,µm,Spot,Position,1,570,
1469.5,1142.35,4844.8,µm,Spot,Position,1,575,
1475.63,1238.98,4851.67,µm,Spot,Position,1,584,
1616.12,1159.94,4839.22,µm,Spot,Position,1,597,
1561.49,1179.86,4841.55,µm,Spot,Position,1,601,
1612,1196.88,4840.16,µm,Spot,Position,1,603,
1587.12,1170.15,4843.7,µm,Spot,Position,1,606,
1560.65,1189.01,4842.37,µm,Spot,Position,1,607,
1539.94,1227.02,4849.12,µm,Spot,Position,1,616,
1554.14,1233.89,4848.2,µm,Spot,Position,1,617,
1608.51,1190.44,4853.55,µm,Spot,Position,1,626,
1611.94,1143.49,4856.38,µm,Spot,Position,1,628,
1598.92,1218.28,4857.15,µm,Spot,Position,1,630,
1632.45,1169.5,4860.94,µm,Spot,Position,1,640,
1587.51,1225.96,4861.67,µm,Spot,Position,1,645,
1720.49,1187.59,4833.79,µm,Spot,Position,1,646,
1685.3,1218.45,4833.48,µm,Spot,Position,1,647,
1656.17,1180,4835.13,µm,Spot,Position,1,652,
1700.91,1155.1,4838.83,µm,Spot,Position,1,655,
1743.06,1154.9,4839.11,µm,Spot,Position,1,656,
1765.61,1140.63,4842.62,µm,Spot,Position,1,667,
1744.89,1188.3,4842.5,µm,Spot,Position,1,668,
1688.2,1227.67,4843.07,µm,Spot,Position,1,669,
1695.46,1171.52,4844.42,µm,Spot,Position,1,672,
1721.35,1184.73,4844.6,µm,Spot,Position,1,674,
1711.57,1192.35,4845.54,µm,Spot,Position,1,675,
1687.99,1240.4,4845.22,µm,Spot,Position,1,676,
1755.33,1182.76,4846.29,µm,Spot,Position,1,678,
1699.35,1194.68,4847.66,µm,Spot,Position,1,679,
1747.01,1221.17,4847.17,µm,Spot,Position,1,683,
1691.16,1215.41,4848.66,µm,Spot,Position,1,687,
1745.55,1207.26,4850.08,µm,Spot,Position,1,689,
