
Area
 ==================== 
Area,Unit,Category,Time,ID,
305.43,µm^2,Spot,1,5,
305.43,µm^2,Spot,1,23,
305.43,µm^2,Spot,1,29,
305.43,µm^2,Spot,1,68,
305.43,µm^2,Spot,1,75,
305.43,µm^2,Spot,1,77,
305.43,µm^2,Spot,1,88,
305.43,µm^2,Spot,1,127,
305.43,µm^2,Spot,1,142,
305.43,µm^2,Spot,1,143,
305.43,µm^2,Spot,1,162,
305.43,µm^2,Spot,1,164,
305.43,µm^2,Spot,1,167,
305.43,µm^2,Spot,1,171,
305.43,µm^2,Spot,1,173,
305.43,µm^2,Spot,1,174,
305.43,µm^2,Spot,1,182,
305.43,µm^2,Spot,1,188,
305.43,µm^2,Spot,1,190,
305.43,µm^2,Spot,1,192,
305.43,µm^2,Spot,1,201,
305.43,µm^2,Spot,1,217,
305.43,µm^2,Spot,1,222,
305.43,µm^2,Spot,1,237,
305.43,µm^2,Spot,1,239,
305.43,µm^2,Spot,1,241,
305.43,µm^2,Spot,1,242,
305.43,µm^2,Spot,1,244,
305.43,µm^2,Spot,1,246,
305.43,µm^2,Spot,1,250,
305.43,µm^2,Spot,1,257,
305.43,µm^2,Spot,1,300,
305.43,µm^2,Spot,1,303,
305.43,µm^2,Spot,1,305,
305.43,µm^2,Spot,1,309,
305.43,µm^2,Spot,1,313,
305.43,µm^2,Spot,1,350,
305.43,µm^2,Spot,1,354,
305.43,µm^2,Spot,1,364,
305.43,µm^2,Spot,1,369,
305.43,µm^2,Spot,1,378,
305.43,µm^2,Spot,1,380,
305.43,µm^2,Spot,1,387,
305.43,µm^2,Spot,1,397,
305.43,µm^2,Spot,1,400,
305.43,µm^2,Spot,1,404,
305.43,µm^2,Spot,1,406,
305.43,µm^2,Spot,1,412,
305.43,µm^2,Spot,1,413,
305.43,µm^2,Spot,1,457,
305.43,µm^2,Spot,1,458,
305.43,µm^2,Spot,1,461,
305.43,µm^2,Spot,1,484,
305.43,µm^2,Spot,1,485,
305.43,µm^2,Spot,1,487,
305.43,µm^2,Spot,1,498,
305.43,µm^2,Spot,1,509,
305.43,µm^2,Spot,1,510,
305.43,µm^2,Spot,1,513,
305.43,µm^2,Spot,1,518,
305.43,µm^2,Spot,1,520,
305.43,µm^2,Spot,1,522,
305.43,µm^2,Spot,1,528,
305.43,µm^2,Spot,1,552,
305.43,µm^2,Spot,1,565,
305.43,µm^2,Spot,1,572,
305.43,µm^2,Spot,1,604,
305.43,µm^2,Spot,1,615,
305.43,µm^2,Spot,1,616,
305.43,µm^2,Spot,1,626,
305.43,µm^2,Spot,1,631,
305.43,µm^2,Spot,1,661,
305.43,µm^2,Spot,1,688,
305.43,µm^2,Spot,1,693,
305.43,µm^2,Spot,1,696,
305.43,µm^2,Spot,1,704,
305.43,µm^2,Spot,1,707,
305.43,µm^2,Spot,1,714,
305.43,µm^2,Spot,1,716,
305.43,µm^2,Spot,1,718,
305.43,µm^2,Spot,1,730,
305.43,µm^2,Spot,1,748,
305.43,µm^2,Spot,1,762,
305.43,µm^2,Spot,1,780,
305.43,µm^2,Spot,1,782,
305.43,µm^2,Spot,1,783,
305.43,µm^2,Spot,1,789,
305.43,µm^2,Spot,1,790,
305.43,µm^2,Spot,1,792,
