
Average Distance To 5 Nearest Neighbours
 ==================== 
Average Distance To 5 Nearest Neighbours,Unit,Category,Time,ID,
52.4389,µm,Spot,1,5,
47.3823,µm,Spot,1,23,
46.4263,µm,Spot,1,29,
56.3159,µm,Spot,1,68,
46.3245,µm,Spot,1,75,
37.1871,µm,Spot,1,77,
39.2406,µm,Spot,1,88,
37.871,µm,Spot,1,127,
26.8593,µm,Spot,1,142,
29.8759,µm,Spot,1,143,
29.2418,µm,Spot,1,162,
27.5321,µm,Spot,1,164,
31.0419,µm,Spot,1,167,
36.1195,µm,Spot,1,171,
24.3021,µm,Spot,1,173,
47.675,µm,Spot,1,174,
26.9715,µm,Spot,1,182,
42.5526,µm,Spot,1,188,
42.7298,µm,Spot,1,190,
33.348,µm,Spot,1,192,
23.3065,µm,Spot,1,201,
33.329,µm,Spot,1,217,
29.9827,µm,Spot,1,222,
33.5598,µm,Spot,1,237,
27.0538,µm,Spot,1,239,
23.9998,µm,Spot,1,241,
37.4771,µm,Spot,1,242,
38.1384,µm,Spot,1,244,
29.2466,µm,Spot,1,246,
27.9193,µm,Spot,1,250,
45.0249,µm,Spot,1,257,
31.0373,µm,Spot,1,300,
36.6008,µm,Spot,1,303,
27.4495,µm,Spot,1,305,
34.6252,µm,Spot,1,309,
28.9187,µm,Spot,1,313,
39.8047,µm,Spot,1,350,
37.9588,µm,Spot,1,354,
35.6717,µm,Spot,1,364,
31.2304,µm,Spot,1,369,
34.6287,µm,Spot,1,378,
34.0674,µm,Spot,1,380,
33.3045,µm,Spot,1,387,
23.0659,µm,Spot,1,397,
38.17,µm,Spot,1,400,
21.5217,µm,Spot,1,404,
21.9758,µm,Spot,1,406,
30.8249,µm,Spot,1,412,
25.9819,µm,Spot,1,413,
50.6452,µm,Spot,1,457,
32.3963,µm,Spot,1,458,
29.3198,µm,Spot,1,461,
34.81,µm,Spot,1,484,
34.818,µm,Spot,1,485,
36.9118,µm,Spot,1,487,
29.9738,µm,Spot,1,498,
39.9228,µm,Spot,1,509,
38.4927,µm,Spot,1,510,
36.3302,µm,Spot,1,513,
36.8229,µm,Spot,1,518,
35.3831,µm,Spot,1,520,
37.8018,µm,Spot,1,522,
36.7656,µm,Spot,1,528,
33.4182,µm,Spot,1,552,
39.8465,µm,Spot,1,565,
45.237,µm,Spot,1,572,
48.9916,µm,Spot,1,604,
38.4555,µm,Spot,1,615,
38.6519,µm,Spot,1,616,
48.753,µm,Spot,1,626,
47.2714,µm,Spot,1,631,
38.04,µm,Spot,1,661,
40.1537,µm,Spot,1,688,
56.2986,µm,Spot,1,693,
27.6487,µm,Spot,1,696,
33.0981,µm,Spot,1,704,
32.9427,µm,Spot,1,707,
35.0198,µm,Spot,1,714,
30.1441,µm,Spot,1,716,
35.5829,µm,Spot,1,718,
76.1399,µm,Spot,1,730,
56.9654,µm,Spot,1,748,
64.9574,µm,Spot,1,762,
28.0535,µm,Spot,1,780,
29.3816,µm,Spot,1,782,
35.2982,µm,Spot,1,783,
34.3909,µm,Spot,1,789,
27.2331,µm,Spot,1,790,
29.9603,µm,Spot,1,792,
31.9546,µm,Spot,1,794,
28.8295,µm,Spot,1,797,
33.3497,µm,Spot,1,798,
34.273,µm,Spot,1,800,
20.514,µm,Spot,1,809,
29.5451,µm,Spot,1,812,
30.2206,µm,Spot,1,814,
31.672,µm,Spot,1,822,
30.0047,µm,Spot,1,823,
29.6234,µm,Spot,1,825,
46.6354,µm,Spot,1,829,
26.6261,µm,Spot,1,830,
38.3999,µm,Spot,1,835,
32.6258,µm,Spot,1,837,
34.2571,µm,Spot,1,845,
47.6295,µm,Spot,1,889,
37.5454,µm,Spot,1,900,
44.0228,µm,Spot,1,903,
35.0448,µm,Spot,1,905,
38.353,µm,Spot,1,906,
45.8556,µm,Spot,1,914,
36.4872,µm,Spot,1,917,
36.1447,µm,Spot,1,921,
32.5595,µm,Spot,1,923,
33.9782,µm,Spot,1,933,
39.8666,µm,Spot,1,936,
38.08,µm,Spot,1,937,
44.2255,µm,Spot,1,939,
32.8421,µm,Spot,1,941,
31.0473,µm,Spot,1,949,
41.0994,µm,Spot,1,952,
39.8405,µm,Spot,1,965,
43.5642,µm,Spot,1,978,
41.0136,µm,Spot,1,989,
31.5431,µm,Spot,1,994,
30.7978,µm,Spot,1,997,
33.7111,µm,Spot,1,1010,
46.0402,µm,Spot,1,1018,
37.5834,µm,Spot,1,1021,
28.4623,µm,Spot,1,1033,
23.3019,µm,Spot,1,1041,
34.858,µm,Spot,1,1043,
28.8645,µm,Spot,1,1048,
39.7138,µm,Spot,1,1054,
40.0119,µm,Spot,1,1064,
28.1101,µm,Spot,1,1065,
34.9818,µm,Spot,1,1070,
28.544,µm,Spot,1,1073,
37.9164,µm,Spot,1,1076,
24.2062,µm,Spot,1,1077,
33.6848,µm,Spot,1,1085,
20.9611,µm,Spot,1,1091,
23.5985,µm,Spot,1,1093,
37.9115,µm,Spot,1,1094,
20.1518,µm,Spot,1,1096,
32.7684,µm,Spot,1,1098,
21.4818,µm,Spot,1,1101,
32.0346,µm,Spot,1,1105,
25.1492,µm,Spot,1,1108,
22.3453,µm,Spot,1,1109,
25.2109,µm,Spot,1,1113,
20.7732,µm,Spot,1,1124,
25.1656,µm,Spot,1,1132,
27.6874,µm,Spot,1,1133,
31.0427,µm,Spot,1,1139,
22.3714,µm,Spot,1,1146,
29.7958,µm,Spot,1,1149,
27.8215,µm,Spot,1,1150,
28.0765,µm,Spot,1,1153,
31.0445,µm,Spot,1,1154,
25.582,µm,Spot,1,1158,
25.7966,µm,Spot,1,1165,
20.3587,µm,Spot,1,1169,
31.0832,µm,Spot,1,1180,
22.133,µm,Spot,1,1184,
26.5877,µm,Spot,1,1185,
20.5552,µm,Spot,1,1189,
17.2969,µm,Spot,1,1193,
19.5559,µm,Spot,1,1196,
17.9663,µm,Spot,1,1198,
20.3253,µm,Spot,1,1199,
20.7368,µm,Spot,1,1201,
17.7004,µm,Spot,1,1203,
29.6426,µm,Spot,1,1209,
20.7553,µm,Spot,1,1210,
28.075,µm,Spot,1,1211,
17.621,µm,Spot,1,1213,
19.1347,µm,Spot,1,1216,
21.0412,µm,Spot,1,1217,
22.7643,µm,Spot,1,1218,
19.6927,µm,Spot,1,1226,
22.9248,µm,Spot,1,1228,
19.883,µm,Spot,1,1229,
26.4052,µm,Spot,1,1232,
17.5958,µm,Spot,1,1237,
37.8158,µm,Spot,1,1241,
26.4352,µm,Spot,1,1242,
18.9881,µm,Spot,1,1243,
18.4479,µm,Spot,1,1246,
27.2527,µm,Spot,1,1258,
19.54,µm,Spot,1,1262,
40.0737,µm,Spot,1,1264,
33.5509,µm,Spot,1,1271,
18.3246,µm,Spot,1,1284,
27.3316,µm,Spot,1,1288,
21.6414,µm,Spot,1,1291,
20.832,µm,Spot,1,1301,
40.4623,µm,Spot,1,1303,
19.8811,µm,Spot,1,1326,
19.1811,µm,Spot,1,1327,
24.2213,µm,Spot,1,1328,
26.7329,µm,Spot,1,1331,
22.7896,µm,Spot,1,1332,
27.0616,µm,Spot,1,1334,
23.3004,µm,Spot,1,1336,
22.8094,µm,Spot,1,1339,
33.2994,µm,Spot,1,1341,
23.4097,µm,Spot,1,1346,
23.7916,µm,Spot,1,1347,
21.315,µm,Spot,1,1351,
28.8538,µm,Spot,1,1353,
29.6408,µm,Spot,1,1354,
18.5811,µm,Spot,1,1355,
19.2157,µm,Spot,1,1357,
23.9254,µm,Spot,1,1358,
32.2966,µm,Spot,1,1359,
25.5989,µm,Spot,1,1361,
24.8773,µm,Spot,1,1362,
22.6268,µm,Spot,1,1364,
21.3848,µm,Spot,1,1370,
20.848,µm,Spot,1,1371,
18.1836,µm,Spot,1,1372,
27.2035,µm,Spot,1,1373,
17.1461,µm,Spot,1,1375,
16.325,µm,Spot,1,1376,
20.9375,µm,Spot,1,1382,
30.975,µm,Spot,1,1383,
25.7765,µm,Spot,1,1389,
26.5598,µm,Spot,1,1390,
27.428,µm,Spot,1,1392,
33.3671,µm,Spot,1,1399,
35.3573,µm,Spot,1,1402,
28.609,µm,Spot,1,1406,
31.3854,µm,Spot,1,1410,
32.8308,µm,Spot,1,1411,
32.1426,µm,Spot,1,1415,
38.1098,µm,Spot,1,1420,
21.7206,µm,Spot,1,1435,
27.0961,µm,Spot,1,1436,
21.6479,µm,Spot,1,1439,
23.4608,µm,Spot,1,1440,
21.8229,µm,Spot,1,1444,
22.583,µm,Spot,1,1445,
22.5534,µm,Spot,1,1446,
22.8149,µm,Spot,1,1447,
25.6641,µm,Spot,1,1448,
20.5493,µm,Spot,1,1452,
39.2143,µm,Spot,1,1456,
22.4323,µm,Spot,1,1457,
25.1731,µm,Spot,1,1460,
26.195,µm,Spot,1,1461,
23.0635,µm,Spot,1,1463,
35.4476,µm,Spot,1,1471,
24.6478,µm,Spot,1,1478,
29.4981,µm,Spot,1,1480,
28.15,µm,Spot,1,1489,
26.5199,µm,Spot,1,1493,
21.2181,µm,Spot,1,1495,
28.992,µm,Spot,1,1496,
38.441,µm,Spot,1,1506,
28.6465,µm,Spot,1,1508,
32.968,µm,Spot,1,1509,
24.8597,µm,Spot,1,1513,
29.8167,µm,Spot,1,1534,
32.669,µm,Spot,1,1537,
28.8993,µm,Spot,1,1543,
29.649,µm,Spot,1,1546,
26.1813,µm,Spot,1,1547,
23.7987,µm,Spot,1,1552,
32.7976,µm,Spot,1,1553,
33.3519,µm,Spot,1,1555,
24.935,µm,Spot,1,1567,
30.5329,µm,Spot,1,1569,
28.7853,µm,Spot,1,1572,
36.892,µm,Spot,1,1576,
28.0779,µm,Spot,1,1589,
33.6886,µm,Spot,1,1595,
31.003,µm,Spot,1,1615,
24.25,µm,Spot,1,1620,
55.1982,µm,Spot,1,1634,
22.9968,µm,Spot,1,1650,
22.2239,µm,Spot,1,1651,
21.4712,µm,Spot,1,1656,
22.5966,µm,Spot,1,1657,
36.5204,µm,Spot,1,1662,
35.7562,µm,Spot,1,1665,
21.8766,µm,Spot,1,1684,
16.8666,µm,Spot,1,1690,
27.7323,µm,Spot,1,1692,
22.0905,µm,Spot,1,1694,
41.0538,µm,Spot,1,1695,
27.741,µm,Spot,1,1697,
31.5313,µm,Spot,1,1699,
22.1715,µm,Spot,1,1700,
30.4846,µm,Spot,1,1706,
39.3687,µm,Spot,1,1710,
24.9616,µm,Spot,1,1721,
35.7512,µm,Spot,1,1725,
32.1608,µm,Spot,1,1726,
36.1142,µm,Spot,1,1732,
42.2266,µm,Spot,1,1752,
43.4731,µm,Spot,1,1768,
43.6297,µm,Spot,1,1769,
40.1062,µm,Spot,1,1775,
38.0199,µm,Spot,1,1788,
29.2076,µm,Spot,1,1815,
25.1089,µm,Spot,1,1818,
30.1867,µm,Spot,1,1824,
