
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,5,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,23,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,29,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,68,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,75,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,77,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,88,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,127,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,142,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,143,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,162,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,164,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,167,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,171,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,173,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,174,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,182,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,188,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,190,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,192,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,201,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,217,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,222,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,237,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,239,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,241,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,242,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,244,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,246,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,250,
9.86009,9.86009,9.86009,µm,Spot,Diameter,1,257,
