
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,ID,
35.9067,µm,Spot,1,5,
31.9514,µm,Spot,1,23,
32.1316,µm,Spot,1,29,
43.6069,µm,Spot,1,68,
29.9909,µm,Spot,1,75,
29.5044,µm,Spot,1,77,
21.4947,µm,Spot,1,88,
31.798,µm,Spot,1,127,
17.9553,µm,Spot,1,142,
14.5863,µm,Spot,1,143,
16.2543,µm,Spot,1,162,
16.2543,µm,Spot,1,164,
23.7496,µm,Spot,1,167,
25.9152,µm,Spot,1,171,
16.0726,µm,Spot,1,173,
42.2357,µm,Spot,1,174,
7.43727,µm,Spot,1,182,
35.3444,µm,Spot,1,188,
32.4227,µm,Spot,1,190,
25.6554,µm,Spot,1,192,
16.0726,µm,Spot,1,201,
24.9194,µm,Spot,1,217,
19.618,µm,Spot,1,222,
22.6042,µm,Spot,1,237,
7.43727,µm,Spot,1,239,
15.0876,µm,Spot,1,241,
29.2679,µm,Spot,1,242,
22.4472,µm,Spot,1,244,
9.91655,µm,Spot,1,246,
9.91655,µm,Spot,1,250,
39.1619,µm,Spot,1,257,
12.7894,µm,Spot,1,300,
30.8521,µm,Spot,1,303,
12.7894,µm,Spot,1,305,
21.3551,µm,Spot,1,309,
22.7841,µm,Spot,1,313,
30.004,µm,Spot,1,350,
30.8521,µm,Spot,1,354,
21.5379,µm,Spot,1,364,
21.7617,µm,Spot,1,369,
28.0422,µm,Spot,1,378,
26.1933,µm,Spot,1,380,
23.4674,µm,Spot,1,387,
18.233,µm,Spot,1,397,
27.7294,µm,Spot,1,400,
13.008,µm,Spot,1,404,
13.1179,µm,Spot,1,406,
22.462,µm,Spot,1,412,
18.2975,µm,Spot,1,413,
47.6906,µm,Spot,1,457,
14.6438,µm,Spot,1,458,
14.6438,µm,Spot,1,461,
14.0279,µm,Spot,1,484,
14.0279,µm,Spot,1,485,
18.9853,µm,Spot,1,487,
14.4444,µm,Spot,1,498,
21.5868,µm,Spot,1,509,
27.8461,µm,Spot,1,510,
20.2544,µm,Spot,1,513,
21.5868,µm,Spot,1,518,
21.3083,µm,Spot,1,520,
26.4618,µm,Spot,1,522,
21.3083,µm,Spot,1,528,
22.1362,µm,Spot,1,552,
26.4618,µm,Spot,1,565,
27.7294,µm,Spot,1,572,
45.2739,µm,Spot,1,604,
9.36836,µm,Spot,1,615,
9.36836,µm,Spot,1,616,
44.6484,µm,Spot,1,626,
37.7417,µm,Spot,1,631,
27.9807,µm,Spot,1,661,
31.4146,µm,Spot,1,688,
41.622,µm,Spot,1,693,
20.3911,µm,Spot,1,696,
23.1011,µm,Spot,1,704,
23.1011,µm,Spot,1,707,
20.3911,µm,Spot,1,714,
13.154,µm,Spot,1,716,
22.5547,µm,Spot,1,718,
63.7328,µm,Spot,1,730,
45.0028,µm,Spot,1,748,
45.0028,µm,Spot,1,762,
16.9464,µm,Spot,1,780,
15.298,µm,Spot,1,782,
15.298,µm,Spot,1,783,
27.2838,µm,Spot,1,789,
16.9464,µm,Spot,1,790,
22.7891,µm,Spot,1,792,
23.6729,µm,Spot,1,794,
24.1361,µm,Spot,1,797,
23.6729,µm,Spot,1,798,
18.9853,µm,Spot,1,800,
11.5645,µm,Spot,1,809,
18.9094,µm,Spot,1,812,
18.9094,µm,Spot,1,814,
16.651,µm,Spot,1,822,
16.3082,µm,Spot,1,823,
22.4417,µm,Spot,1,825,
35.5414,µm,Spot,1,829,
16.3082,µm,Spot,1,830,
31.5501,µm,Spot,1,835,
25.0898,µm,Spot,1,837,
28.3651,µm,Spot,1,845,
32.6918,µm,Spot,1,889,
30.7137,µm,Spot,1,900,
32.2823,µm,Spot,1,903,
15.4186,µm,Spot,1,905,
24.8438,µm,Spot,1,906,
24.5034,µm,Spot,1,914,
26.0305,µm,Spot,1,917,
22.7483,µm,Spot,1,921,
22.5981,µm,Spot,1,923,
22.5981,µm,Spot,1,933,
20.8822,µm,Spot,1,936,
24.0125,µm,Spot,1,937,
32.2823,µm,Spot,1,939,
24.0125,µm,Spot,1,941,
23.469,µm,Spot,1,949,
24.5034,µm,Spot,1,952,
33.7311,µm,Spot,1,965,
34.5131,µm,Spot,1,978,
20.8822,µm,Spot,1,989,
25.4007,µm,Spot,1,994,
18.0921,µm,Spot,1,997,
30.0255,µm,Spot,1,1010,
29.3184,µm,Spot,1,1018,
29.9909,µm,Spot,1,1021,
19.9609,µm,Spot,1,1033,
15.9788,µm,Spot,1,1041,
21.4947,µm,Spot,1,1043,
20.1611,µm,Spot,1,1048,
32.7287,µm,Spot,1,1054,
30.3312,µm,Spot,1,1064,
20.1611,µm,Spot,1,1065,
27.93,µm,Spot,1,1070,
17.5379,µm,Spot,1,1073,
29.3184,µm,Spot,1,1076,
17.5379,µm,Spot,1,1077,
25.8262,µm,Spot,1,1085,
10.9391,µm,Spot,1,1091,
11.8699,µm,Spot,1,1093,
26.6821,µm,Spot,1,1094,
10.9391,µm,Spot,1,1096,
22.0383,µm,Spot,1,1098,
14.5863,µm,Spot,1,1101,
26.8509,µm,Spot,1,1105,
11.497,µm,Spot,1,1108,
11.497,µm,Spot,1,1109,
19.323,µm,Spot,1,1113,
18.3189,µm,Spot,1,1124,
19.1196,µm,Spot,1,1132,
19.323,µm,Spot,1,1133,
23.8269,µm,Spot,1,1139,
15.1568,µm,Spot,1,1146,
14.4882,µm,Spot,1,1149,
14.4882,µm,Spot,1,1150,
14.4987,µm,Spot,1,1153,
22.8546,µm,Spot,1,1154,
16.0737,µm,Spot,1,1158,
22.1361,µm,Spot,1,1165,
15.5014,µm,Spot,1,1169,
25.6554,µm,Spot,1,1180,
13.3777,µm,Spot,1,1184,
12.7436,µm,Spot,1,1185,
15.0554,µm,Spot,1,1189,
12.3871,µm,Spot,1,1193,
12.6233,µm,Spot,1,1196,
9.90055,µm,Spot,1,1198,
12.3871,µm,Spot,1,1199,
15.0554,µm,Spot,1,1201,
13.6586,µm,Spot,1,1203,
28.5537,µm,Spot,1,1209,
15.1568,µm,Spot,1,1210,
20.4919,µm,Spot,1,1211,
9.90055,µm,Spot,1,1213,
13.3777,µm,Spot,1,1216,
15.7892,µm,Spot,1,1217,
18.2405,µm,Spot,1,1218,
13.7571,µm,Spot,1,1226,
20.1886,µm,Spot,1,1228,
10.3869,µm,Spot,1,1229,
12.7436,µm,Spot,1,1232,
8.31327,µm,Spot,1,1237,
30.9134,µm,Spot,1,1241,
17.117,µm,Spot,1,1242,
8.31327,µm,Spot,1,1243,
9.23738,µm,Spot,1,1246,
19.2438,µm,Spot,1,1258,
12.4159,µm,Spot,1,1262,
22.4472,µm,Spot,1,1264,
29.5626,µm,Spot,1,1271,
14.2336,µm,Spot,1,1284,
20.1458,µm,Spot,1,1288,
13.8785,µm,Spot,1,1291,
12.4159,µm,Spot,1,1301,
33.282,µm,Spot,1,1303,
13.7899,µm,Spot,1,1326,
11.4427,µm,Spot,1,1327,
16.9352,µm,Spot,1,1328,
17.058,µm,Spot,1,1331,
