
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
5073.96,µm,Spot,Distance from Origin,1,5,
5112.83,µm,Spot,Distance from Origin,1,23,
5101.57,µm,Spot,Distance from Origin,1,29,
5145.59,µm,Spot,Distance from Origin,1,68,
5122.3,µm,Spot,Distance from Origin,1,75,
5119.08,µm,Spot,Distance from Origin,1,77,
5136.32,µm,Spot,Distance from Origin,1,88,
5172.18,µm,Spot,Distance from Origin,1,127,
5181.3,µm,Spot,Distance from Origin,1,142,
5196.97,µm,Spot,Distance from Origin,1,143,
5217.56,µm,Spot,Distance from Origin,1,162,
5215.16,µm,Spot,Distance from Origin,1,164,
5226.25,µm,Spot,Distance from Origin,1,167,
5224.65,µm,Spot,Distance from Origin,1,171,
5223.51,µm,Spot,Distance from Origin,1,173,
5189.77,µm,Spot,Distance from Origin,1,174,
5242.74,µm,Spot,Distance from Origin,1,182,
5216.37,µm,Spot,Distance from Origin,1,188,
5232.3,µm,Spot,Distance from Origin,1,190,
5220.06,µm,Spot,Distance from Origin,1,192,
5233.77,µm,Spot,Distance from Origin,1,201,
5256.72,µm,Spot,Distance from Origin,1,217,
5249.7,µm,Spot,Distance from Origin,1,222,
5275.11,µm,Spot,Distance from Origin,1,237,
5247.6,µm,Spot,Distance from Origin,1,239,
5250.53,µm,Spot,Distance from Origin,1,241,
5278.67,µm,Spot,Distance from Origin,1,242,
5284.71,µm,Spot,Distance from Origin,1,244,
5263,µm,Spot,Distance from Origin,1,246,
5267.9,µm,Spot,Distance from Origin,1,250,
5271.35,µm,Spot,Distance from Origin,1,257,
5129.58,µm,Spot,Distance from Origin,1,300,
5159.99,µm,Spot,Distance from Origin,1,303,
5130.04,µm,Spot,Distance from Origin,1,305,
5154.6,µm,Spot,Distance from Origin,1,309,
5166.01,µm,Spot,Distance from Origin,1,313,
5204.49,µm,Spot,Distance from Origin,1,350,
5173.7,µm,Spot,Distance from Origin,1,354,
5200.28,µm,Spot,Distance from Origin,1,364,
5188.03,µm,Spot,Distance from Origin,1,369,
5222.61,µm,Spot,Distance from Origin,1,378,
5227.25,µm,Spot,Distance from Origin,1,380,
5212.99,µm,Spot,Distance from Origin,1,387,
5245.4,µm,Spot,Distance from Origin,1,397,
5223.92,µm,Spot,Distance from Origin,1,400,
5257.79,µm,Spot,Distance from Origin,1,404,
5247.01,µm,Spot,Distance from Origin,1,406,
5245.27,µm,Spot,Distance from Origin,1,412,
5251.92,µm,Spot,Distance from Origin,1,413,
5298.03,µm,Spot,Distance from Origin,1,457,
5280.14,µm,Spot,Distance from Origin,1,458,
5276.35,µm,Spot,Distance from Origin,1,461,
5120.48,µm,Spot,Distance from Origin,1,484,
5116.61,µm,Spot,Distance from Origin,1,485,
5140.29,µm,Spot,Distance from Origin,1,487,
5124.73,µm,Spot,Distance from Origin,1,498,
5143.86,µm,Spot,Distance from Origin,1,509,
5158.72,µm,Spot,Distance from Origin,1,510,
5164.96,µm,Spot,Distance from Origin,1,513,
5146.52,µm,Spot,Distance from Origin,1,518,
5136.9,µm,Spot,Distance from Origin,1,520,
5161.19,µm,Spot,Distance from Origin,1,522,
5133.5,µm,Spot,Distance from Origin,1,528,
5151.25,µm,Spot,Distance from Origin,1,552,
5186.02,µm,Spot,Distance from Origin,1,565,
5198.87,µm,Spot,Distance from Origin,1,572,
5204.87,µm,Spot,Distance from Origin,1,604,
5179.26,µm,Spot,Distance from Origin,1,615,
5183.2,µm,Spot,Distance from Origin,1,616,
5195.7,µm,Spot,Distance from Origin,1,626,
5220.9,µm,Spot,Distance from Origin,1,631,
5225.93,µm,Spot,Distance from Origin,1,661,
5241.47,µm,Spot,Distance from Origin,1,688,
5266.31,µm,Spot,Distance from Origin,1,693,
5237.57,µm,Spot,Distance from Origin,1,696,
5236.52,µm,Spot,Distance from Origin,1,704,
5243.78,µm,Spot,Distance from Origin,1,707,
5239.02,µm,Spot,Distance from Origin,1,714,
5244.92,µm,Spot,Distance from Origin,1,716,
5263.24,µm,Spot,Distance from Origin,1,718,
5289.2,µm,Spot,Distance from Origin,1,730,
5271.77,µm,Spot,Distance from Origin,1,748,
5285.78,µm,Spot,Distance from Origin,1,762,
5142.44,µm,Spot,Distance from Origin,1,780,
5136.37,µm,Spot,Distance from Origin,1,782,
5133.9,µm,Spot,Distance from Origin,1,783,
5141.75,µm,Spot,Distance from Origin,1,789,
5147.26,µm,Spot,Distance from Origin,1,790,
5131.68,µm,Spot,Distance from Origin,1,792,
5132,µm,Spot,Distance from Origin,1,794,
5128.43,µm,Spot,Distance from Origin,1,797,
5135.59,µm,Spot,Distance from Origin,1,798,
5150.43,µm,Spot,Distance from Origin,1,800,
5150.15,µm,Spot,Distance from Origin,1,809,
5162.48,µm,Spot,Distance from Origin,1,812,
5165.81,µm,Spot,Distance from Origin,1,814,
5152.73,µm,Spot,Distance from Origin,1,822,
5150.94,µm,Spot,Distance from Origin,1,823,
5172.27,µm,Spot,Distance from Origin,1,825,
5195.65,µm,Spot,Distance from Origin,1,829,
5157.86,µm,Spot,Distance from Origin,1,830,
5189.41,µm,Spot,Distance from Origin,1,835,
5177.77,µm,Spot,Distance from Origin,1,837,
5186.26,µm,Spot,Distance from Origin,1,845,
5222.9,µm,Spot,Distance from Origin,1,889,
5231.7,µm,Spot,Distance from Origin,1,900,
5247.76,µm,Spot,Distance from Origin,1,903,
5213.94,µm,Spot,Distance from Origin,1,905,
5229.26,µm,Spot,Distance from Origin,1,906,
5261.21,µm,Spot,Distance from Origin,1,914,
5235.82,µm,Spot,Distance from Origin,1,917,
5257.27,µm,Spot,Distance from Origin,1,921,
5254.06,µm,Spot,Distance from Origin,1,923,
5252.46,µm,Spot,Distance from Origin,1,933,
5276.52,µm,Spot,Distance from Origin,1,936,
5248.21,µm,Spot,Distance from Origin,1,937,
