
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
46.0736,µm,Spot,Image 1,1,5,
82.3224,µm,Spot,Image 1,1,23,
8.50772,µm,Spot,Image 1,1,29,
0,µm,Spot,Image 1,1,68,
81.0688,µm,Spot,Image 1,1,75,
5.54245,µm,Spot,Image 1,1,77,
0,µm,Spot,Image 1,1,88,
0,µm,Spot,Image 1,1,127,
39.3768,µm,Spot,Image 1,1,142,
58.5109,µm,Spot,Image 1,1,143,
111.636,µm,Spot,Image 1,1,162,
112.262,µm,Spot,Image 1,1,164,
73.1733,µm,Spot,Image 1,1,167,
50.3199,µm,Spot,Image 1,1,171,
94.4101,µm,Spot,Image 1,1,173,
0,µm,Spot,Image 1,1,174,
105.635,µm,Spot,Image 1,1,182,
22.9293,µm,Spot,Image 1,1,188,
14.16,µm,Spot,Image 1,1,190,
114.247,µm,Spot,Image 1,1,192,
99.7824,µm,Spot,Image 1,1,201,
19.0936,µm,Spot,Image 1,1,217,
17.4824,µm,Spot,Image 1,1,222,
46.5964,µm,Spot,Image 1,1,237,
107.695,µm,Spot,Image 1,1,239,
34.8856,µm,Spot,Image 1,1,241,
3.51056,µm,Spot,Image 1,1,242,
31.4169,µm,Spot,Image 1,1,244,
7.11945,µm,Spot,Image 1,1,246,
14.904,µm,Spot,Image 1,1,250,
2.67896,µm,Spot,Image 1,1,257,
137.693,µm,Spot,Image 1,1,300,
151.443,µm,Spot,Image 1,1,303,
125.741,µm,Spot,Image 1,1,305,
189.783,µm,Spot,Image 1,1,309,
172.654,µm,Spot,Image 1,1,313,
234.767,µm,Spot,Image 1,1,350,
152.82,µm,Spot,Image 1,1,354,
209.708,µm,Spot,Image 1,1,364,
185.021,µm,Spot,Image 1,1,369,
173.933,µm,Spot,Image 1,1,378,
174.833,µm,Spot,Image 1,1,380,
183.85,µm,Spot,Image 1,1,387,
176.931,µm,Spot,Image 1,1,397,
232.848,µm,Spot,Image 1,1,400,
139.918,µm,Spot,Image 1,1,404,
177.195,µm,Spot,Image 1,1,406,
144.807,µm,Spot,Image 1,1,412,
158.099,µm,Spot,Image 1,1,413,
7.48877,µm,Spot,Image 1,1,457,
56.8369,µm,Spot,Image 1,1,458,
67.4332,µm,Spot,Image 1,1,461,
53.0145,µm,Spot,Image 1,1,484,
39.3514,µm,Spot,Image 1,1,485,
101.365,µm,Spot,Image 1,1,487,
45.8374,µm,Spot,Image 1,1,498,
176.014,µm,Spot,Image 1,1,509,
162.558,µm,Spot,Image 1,1,510,
135.565,µm,Spot,Image 1,1,513,
183.842,µm,Spot,Image 1,1,518,
