
Intensity Center Ch=7 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
0,,Spot,7,Image 1,1,5,
557,,Spot,7,Image 1,1,23,
217,,Spot,7,Image 1,1,29,
1103,,Spot,7,Image 1,1,68,
341,,Spot,7,Image 1,1,75,
1011,,Spot,7,Image 1,1,77,
1079,,Spot,7,Image 1,1,88,
794,,Spot,7,Image 1,1,127,
368,,Spot,7,Image 1,1,142,
353,,Spot,7,Image 1,1,143,
491,,Spot,7,Image 1,1,162,
415,,Spot,7,Image 1,1,164,
587,,Spot,7,Image 1,1,167,
1115,,Spot,7,Image 1,1,171,
839,,Spot,7,Image 1,1,173,
711,,Spot,7,Image 1,1,174,
378,,Spot,7,Image 1,1,182,
460,,Spot,7,Image 1,1,188,
862,,Spot,7,Image 1,1,190,
1014,,Spot,7,Image 1,1,192,
1265,,Spot,7,Image 1,1,201,
811,,Spot,7,Image 1,1,217,
258,,Spot,7,Image 1,1,222,
448,,Spot,7,Image 1,1,237,
530,,Spot,7,Image 1,1,239,
1174,,Spot,7,Image 1,1,241,
1197,,Spot,7,Image 1,1,242,
1023,,Spot,7,Image 1,1,244,
335,,Spot,7,Image 1,1,246,
793,,Spot,7,Image 1,1,250,
973,,Spot,7,Image 1,1,257,
590,,Spot,7,Image 1,1,300,
510,,Spot,7,Image 1,1,303,
343,,Spot,7,Image 1,1,305,
58,,Spot,7,Image 1,1,309,
448,,Spot,7,Image 1,1,313,
844,,Spot,7,Image 1,1,350,
192,,Spot,7,Image 1,1,354,
1102,,Spot,7,Image 1,1,364,
773,,Spot,7,Image 1,1,369,
273,,Spot,7,Image 1,1,378,
780,,Spot,7,Image 1,1,380,
812,,Spot,7,Image 1,1,387,
399,,Spot,7,Image 1,1,397,
740,,Spot,7,Image 1,1,400,
207,,Spot,7,Image 1,1,404,
1245,,Spot,7,Image 1,1,406,
659,,Spot,7,Image 1,1,412,
1114,,Spot,7,Image 1,1,413,
1247,,Spot,7,Image 1,1,457,
735,,Spot,7,Image 1,1,458,
1117,,Spot,7,Image 1,1,461,
208,,Spot,7,Image 1,1,484,
187,,Spot,7,Image 1,1,485,
104,,Spot,7,Image 1,1,487,
490,,Spot,7,Image 1,1,498,
75,,Spot,7,Image 1,1,509,
350,,Spot,7,Image 1,1,510,
459,,Spot,7,Image 1,1,513,
477,,Spot,7,Image 1,1,518,
554,,Spot,7,Image 1,1,520,
386,,Spot,7,Image 1,1,522,
738,,Spot,7,Image 1,1,528,
240,,Spot,7,Image 1,1,552,
179,,Spot,7,Image 1,1,565,
277,,Spot,7,Image 1,1,572,
603,,Spot,7,Image 1,1,604,
933,,Spot,7,Image 1,1,615,
978,,Spot,7,Image 1,1,616,
336,,Spot,7,Image 1,1,626,
571,,Spot,7,Image 1,1,631,
126,,Spot,7,Image 1,1,661,
221,,Spot,7,Image 1,1,688,
505,,Spot,7,Image 1,1,693,
1033,,Spot,7,Image 1,1,696,
1080,,Spot,7,Image 1,1,704,
853,,Spot,7,Image 1,1,707,
1259,,Spot,7,Image 1,1,714,
783,,Spot,7,Image 1,1,716,
573,,Spot,7,Image 1,1,718,
499,,Spot,7,Image 1,1,730,
1216,,Spot,7,Image 1,1,748,
606,,Spot,7,Image 1,1,762,
0,,Spot,7,Image 1,1,780,
