
Intensity Max Ch=8 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
695,,Spot,8,Image 1,1,5,
1023,,Spot,8,Image 1,1,23,
882,,Spot,8,Image 1,1,29,
909,,Spot,8,Image 1,1,68,
680,,Spot,8,Image 1,1,75,
950,,Spot,8,Image 1,1,77,
762,,Spot,8,Image 1,1,88,
800,,Spot,8,Image 1,1,127,
957,,Spot,8,Image 1,1,142,
825,,Spot,8,Image 1,1,143,
817,,Spot,8,Image 1,1,162,
637,,Spot,8,Image 1,1,164,
634,,Spot,8,Image 1,1,167,
951,,Spot,8,Image 1,1,171,
880,,Spot,8,Image 1,1,173,
846,,Spot,8,Image 1,1,174,
705,,Spot,8,Image 1,1,182,
635,,Spot,8,Image 1,1,188,
639,,Spot,8,Image 1,1,190,
678,,Spot,8,Image 1,1,192,
646,,Spot,8,Image 1,1,201,
883,,Spot,8,Image 1,1,217,
646,,Spot,8,Image 1,1,222,
719,,Spot,8,Image 1,1,237,
605,,Spot,8,Image 1,1,239,
751,,Spot,8,Image 1,1,241,
611,,Spot,8,Image 1,1,242,
1023,,Spot,8,Image 1,1,244,
712,,Spot,8,Image 1,1,246,
594,,Spot,8,Image 1,1,250,
915,,Spot,8,Image 1,1,257,
826,,Spot,8,Image 1,1,300,
804,,Spot,8,Image 1,1,303,
652,,Spot,8,Image 1,1,305,
717,,Spot,8,Image 1,1,309,
525,,Spot,8,Image 1,1,313,
879,,Spot,8,Image 1,1,350,
813,,Spot,8,Image 1,1,354,
831,,Spot,8,Image 1,1,364,
859,,Spot,8,Image 1,1,369,
648,,Spot,8,Image 1,1,378,
655,,Spot,8,Image 1,1,380,
667,,Spot,8,Image 1,1,387,
558,,Spot,8,Image 1,1,397,
953,,Spot,8,Image 1,1,400,
530,,Spot,8,Image 1,1,404,
833,,Spot,8,Image 1,1,406,
623,,Spot,8,Image 1,1,412,
753,,Spot,8,Image 1,1,413,
1005,,Spot,8,Image 1,1,457,
680,,Spot,8,Image 1,1,458,
704,,Spot,8,Image 1,1,461,
948,,Spot,8,Image 1,1,484,
1011,,Spot,8,Image 1,1,485,
890,,Spot,8,Image 1,1,487,
886,,Spot,8,Image 1,1,498,
873,,Spot,8,Image 1,1,509,
622,,Spot,8,Image 1,1,510,
620,,Spot,8,Image 1,1,513,
1023,,Spot,8,Image 1,1,518,
1001,,Spot,8,Image 1,1,520,
878,,Spot,8,Image 1,1,522,
1023,,Spot,8,Image 1,1,528,
844,,Spot,8,Image 1,1,552,
558,,Spot,8,Image 1,1,565,
594,,Spot,8,Image 1,1,572,
686,,Spot,8,Image 1,1,604,
837,,Spot,8,Image 1,1,615,
783,,Spot,8,Image 1,1,616,
952,,Spot,8,Image 1,1,626,
688,,Spot,8,Image 1,1,631,
1023,,Spot,8,Image 1,1,661,
973,,Spot,8,Image 1,1,688,
705,,Spot,8,Image 1,1,693,
834,,Spot,8,Image 1,1,696,
743,,Spot,8,Image 1,1,704,
613,,Spot,8,Image 1,1,707,
1023,,Spot,8,Image 1,1,714,
992,,Spot,8,Image 1,1,716,
640,,Spot,8,Image 1,1,718,
536,,Spot,8,Image 1,1,730,
1011,,Spot,8,Image 1,1,748,
706,,Spot,8,Image 1,1,762,
980,,Spot,8,Image 1,1,780,
881,,Spot,8,Image 1,1,782,
956,,Spot,8,Image 1,1,783,
1015,,Spot,8,Image 1,1,789,
826,,Spot,8,Image 1,1,790,
1023,,Spot,8,Image 1,1,792,
946,,Spot,8,Image 1,1,794,
1023,,Spot,8,Image 1,1,797,
707,,Spot,8,Image 1,1,798,
993,,Spot,8,Image 1,1,800,
920,,Spot,8,Image 1,1,809,
801,,Spot,8,Image 1,1,812,
559,,Spot,8,Image 1,1,814,
803,,Spot,8,Image 1,1,822,
1023,,Spot,8,Image 1,1,823,
762,,Spot,8,Image 1,1,825,
955,,Spot,8,Image 1,1,829,
984,,Spot,8,Image 1,1,830,
751,,Spot,8,Image 1,1,835,
706,,Spot,8,Image 1,1,837,
676,,Spot,8,Image 1,1,845,
590,,Spot,8,Image 1,1,889,
722,,Spot,8,Image 1,1,900,
563,,Spot,8,Image 1,1,903,
881,,Spot,8,Image 1,1,905,
831,,Spot,8,Image 1,1,906,
873,,Spot,8,Image 1,1,914,
572,,Spot,8,Image 1,1,917,
758,,Spot,8,Image 1,1,921,
692,,Spot,8,Image 1,1,923,
701,,Spot,8,Image 1,1,933,
1019,,Spot,8,Image 1,1,936,
825,,Spot,8,Image 1,1,937,
755,,Spot,8,Image 1,1,939,
1010,,Spot,8,Image 1,1,941,
827,,Spot,8,Image 1,1,949,
784,,Spot,8,Image 1,1,952,
960,,Spot,8,Image 1,1,965,
713,,Spot,8,Image 1,1,978,
722,,Spot,8,Image 1,1,989,
521,,Spot,8,Image 1,1,994,
946,,Spot,8,Image 1,1,997,
1023,,Spot,8,Image 1,1,1010,
1023,,Spot,8,Image 1,1,1018,
670,,Spot,8,Image 1,1,1021,
850,,Spot,8,Image 1,1,1033,
771,,Spot,8,Image 1,1,1041,
634,,Spot,8,Image 1,1,1043,
732,,Spot,8,Image 1,1,1048,
959,,Spot,8,Image 1,1,1054,
760,,Spot,8,Image 1,1,1064,
1007,,Spot,8,Image 1,1,1065,
1023,,Spot,8,Image 1,1,1070,
585,,Spot,8,Image 1,1,1073,
1023,,Spot,8,Image 1,1,1076,
651,,Spot,8,Image 1,1,1077,
898,,Spot,8,Image 1,1,1085,
840,,Spot,8,Image 1,1,1091,
692,,Spot,8,Image 1,1,1093,
1023,,Spot,8,Image 1,1,1094,
1014,,Spot,8,Image 1,1,1096,
898,,Spot,8,Image 1,1,1098,
878,,Spot,8,Image 1,1,1101,
623,,Spot,8,Image 1,1,1105,
1023,,Spot,8,Image 1,1,1108,
878,,Spot,8,Image 1,1,1109,
1023,,Spot,8,Image 1,1,1113,
882,,Spot,8,Image 1,1,1124,
842,,Spot,8,Image 1,1,1132,
760,,Spot,8,Image 1,1,1133,
1023,,Spot,8,Image 1,1,1139,
868,,Spot,8,Image 1,1,1146,
879,,Spot,8,Image 1,1,1149,
1023,,Spot,8,Image 1,1,1150,
936,,Spot,8,Image 1,1,1153,
699,,Spot,8,Image 1,1,1154,
939,,Spot,8,Image 1,1,1158,
1023,,Spot,8,Image 1,1,1165,
1023,,Spot,8,Image 1,1,1169,
878,,Spot,8,Image 1,1,1180,
997,,Spot,8,Image 1,1,1184,
647,,Spot,8,Image 1,1,1185,
997,,Spot,8,Image 1,1,1189,
1023,,Spot,8,Image 1,1,1193,
1000,,Spot,8,Image 1,1,1196,
705,,Spot,8,Image 1,1,1198,
974,,Spot,8,Image 1,1,1199,
632,,Spot,8,Image 1,1,1201,
633,,Spot,8,Image 1,1,1203,
696,,Spot,8,Image 1,1,1209,
882,,Spot,8,Image 1,1,1210,
678,,Spot,8,Image 1,1,1211,
