
Intensity Mean Ch=9 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.13736,,Spot,9,Image 1,1,5,
2.60424,,Spot,9,Image 1,1,23,
0.646429,,Spot,9,Image 1,1,29,
28.2885,,Spot,9,Image 1,1,68,
5.14337,,Spot,9,Image 1,1,75,
27.0353,,Spot,9,Image 1,1,77,
30.4013,,Spot,9,Image 1,1,88,
42.0377,,Spot,9,Image 1,1,127,
15.0214,,Spot,9,Image 1,1,142,
16.1179,,Spot,9,Image 1,1,143,
6.56226,,Spot,9,Image 1,1,162,
2.47826,,Spot,9,Image 1,1,164,
64.652,,Spot,9,Image 1,1,167,
36.4676,,Spot,9,Image 1,1,171,
42.3102,,Spot,9,Image 1,1,173,
8.63057,,Spot,9,Image 1,1,174,
13.4929,,Spot,9,Image 1,1,182,
48.4373,,Spot,9,Image 1,1,188,
63.1011,,Spot,9,Image 1,1,190,
67.9749,,Spot,9,Image 1,1,192,
175.181,,Spot,9,Image 1,1,201,
32.0964,,Spot,9,Image 1,1,217,
12.0612,,Spot,9,Image 1,1,222,
17.1624,,Spot,9,Image 1,1,237,
27.2109,,Spot,9,Image 1,1,239,
74.6799,,Spot,9,Image 1,1,241,
258.221,,Spot,9,Image 1,1,242,
16.3284,,Spot,9,Image 1,1,244,
36.2553,,Spot,9,Image 1,1,246,
88.4281,,Spot,9,Image 1,1,250,
13.9892,,Spot,9,Image 1,1,257,
5.37407,,Spot,9,Image 1,1,300,
5.15942,,Spot,9,Image 1,1,303,
2.28996,,Spot,9,Image 1,1,305,
1.96498,,Spot,9,Image 1,1,309,
40.9025,,Spot,9,Image 1,1,313,
6.56989,,Spot,9,Image 1,1,350,
4.51064,,Spot,9,Image 1,1,354,
83.3421,,Spot,9,Image 1,1,364,
91.7216,,Spot,9,Image 1,1,369,
10.465,,Spot,9,Image 1,1,378,
8.08745,,Spot,9,Image 1,1,380,
108.933,,Spot,9,Image 1,1,387,
14.3558,,Spot,9,Image 1,1,397,
60.4286,,Spot,9,Image 1,1,400,
60.6558,,Spot,9,Image 1,1,404,
80.6384,,Spot,9,Image 1,1,406,
78.9203,,Spot,9,Image 1,1,412,
147.585,,Spot,9,Image 1,1,413,
100.344,,Spot,9,Image 1,1,457,
203.28,,Spot,9,Image 1,1,458,
78.9025,,Spot,9,Image 1,1,461,
0,,Spot,9,Image 1,1,484,
0.0744681,,Spot,9,Image 1,1,485,
0.577617,,Spot,9,Image 1,1,487,
1.66917,,Spot,9,Image 1,1,498,
1.31868,,Spot,9,Image 1,1,509,
2.82222,,Spot,9,Image 1,1,510,
0.916667,,Spot,9,Image 1,1,513,
2.27636,,Spot,9,Image 1,1,518,
0,,Spot,9,Image 1,1,520,
0.0928571,,Spot,9,Image 1,1,522,
1.97849,,Spot,9,Image 1,1,528,
1.05415,,Spot,9,Image 1,1,552,
4.65734,,Spot,9,Image 1,1,565,
28.5866,,Spot,9,Image 1,1,572,
21.2143,,Spot,9,Image 1,1,604,
4.47445,,Spot,9,Image 1,1,615,
7.03203,,Spot,9,Image 1,1,616,
1.06714,,Spot,9,Image 1,1,626,
29.8612,,Spot,9,Image 1,1,631,
0.777778,,Spot,9,Image 1,1,661,
0.402214,,Spot,9,Image 1,1,688,
50.321,,Spot,9,Image 1,1,693,
6.08127,,Spot,9,Image 1,1,696,
236.912,,Spot,9,Image 1,1,704,
61.8484,,Spot,9,Image 1,1,707,
81.7673,,Spot,9,Image 1,1,714,
54,,Spot,9,Image 1,1,716,
50.0282,,Spot,9,Image 1,1,718,
129.098,,Spot,9,Image 1,1,730,
29.7921,,Spot,9,Image 1,1,748,
7.42909,,Spot,9,Image 1,1,762,
0,,Spot,9,Image 1,1,780,
0.153005,,Spot,9,Image 1,1,782,
0,,Spot,9,Image 1,1,783,
1.92607,,Spot,9,Image 1,1,789,
0.26259,,Spot,9,Image 1,1,790,
0.382979,,Spot,9,Image 1,1,792,
0.0251799,,Spot,9,Image 1,1,794,
0,,Spot,9,Image 1,1,797,
0,,Spot,9,Image 1,1,798,
1.20922,,Spot,9,Image 1,1,800,
2.68727,,Spot,9,Image 1,1,809,
1.26966,,Spot,9,Image 1,1,812,
2.06704,,Spot,9,Image 1,1,814,
1.87946,,Spot,9,Image 1,1,822,
1.20295,,Spot,9,Image 1,1,823,
0.946619,,Spot,9,Image 1,1,825,
2.66547,,Spot,9,Image 1,1,829,
1.41729,,Spot,9,Image 1,1,830,
1.04676,,Spot,9,Image 1,1,835,
1.77857,,Spot,9,Image 1,1,837,
9.63273,,Spot,9,Image 1,1,845,
4.34296,,Spot,9,Image 1,1,889,
14.0789,,Spot,9,Image 1,1,900,
27.7391,,Spot,9,Image 1,1,903,
1.95848,,Spot,9,Image 1,1,905,
15.273,,Spot,9,Image 1,1,906,
5.14444,,Spot,9,Image 1,1,914,
5.06593,,Spot,9,Image 1,1,917,
5.8764,,Spot,9,Image 1,1,921,
2.66851,,Spot,9,Image 1,1,923,
1.8806,,Spot,9,Image 1,1,933,
7.50179,,Spot,9,Image 1,1,936,
12.6331,,Spot,9,Image 1,1,937,
5.17754,,Spot,9,Image 1,1,939,
7.17563,,Spot,9,Image 1,1,941,
1.80142,,Spot,9,Image 1,1,949,
5.36299,,Spot,9,Image 1,1,952,
1.13187,,Spot,9,Image 1,1,965,
14.7244,,Spot,9,Image 1,1,978,
20.4733,,Spot,9,Image 1,1,989,
1.2446,,Spot,9,Image 1,1,994,
2.26354,,Spot,9,Image 1,1,997,
1.3705,,Spot,9,Image 1,1,1010,
0.150943,,Spot,9,Image 1,1,1018,
61.7212,,Spot,9,Image 1,1,1021,
32.3964,,Spot,9,Image 1,1,1033,
6.05797,,Spot,9,Image 1,1,1041,
48.5189,,Spot,9,Image 1,1,1043,
29.6534,,Spot,9,Image 1,1,1048,
145.542,,Spot,9,Image 1,1,1054,
74.9604,,Spot,9,Image 1,1,1064,
37.5111,,Spot,9,Image 1,1,1065,
5.91727,,Spot,9,Image 1,1,1070,
59.2617,,Spot,9,Image 1,1,1073,
164.621,,Spot,9,Image 1,1,1076,
43.5109,,Spot,9,Image 1,1,1077,
113.744,,Spot,9,Image 1,1,1085,
24.8505,,Spot,9,Image 1,1,1091,
55.1815,,Spot,9,Image 1,1,1093,
46.3797,,Spot,9,Image 1,1,1094,
25.6545,,Spot,9,Image 1,1,1096,
109.606,,Spot,9,Image 1,1,1098,
30.1661,,Spot,9,Image 1,1,1101,
88.9964,,Spot,9,Image 1,1,1105,
65.6561,,Spot,9,Image 1,1,1108,
83.8786,,Spot,9,Image 1,1,1109,
10.0542,,Spot,9,Image 1,1,1113,
46,,Spot,9,Image 1,1,1124,
66.4235,,Spot,9,Image 1,1,1132,
23.8,,Spot,9,Image 1,1,1133,
130.985,,Spot,9,Image 1,1,1139,
179.6,,Spot,9,Image 1,1,1146,
11.6583,,Spot,9,Image 1,1,1149,
22.88,,Spot,9,Image 1,1,1150,
11.4856,,Spot,9,Image 1,1,1153,
6.01444,,Spot,9,Image 1,1,1154,
