
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
241.648,,Spot,2,Image 1,1,5,
174.86,,Spot,2,Image 1,1,23,
172.784,,Spot,2,Image 1,1,29,
242.476,,Spot,2,Image 1,1,68,
113.008,,Spot,2,Image 1,1,75,
181.956,,Spot,2,Image 1,1,77,
216.136,,Spot,2,Image 1,1,88,
171.9,,Spot,2,Image 1,1,127,
85.16,,Spot,2,Image 1,1,142,
96.52,,Spot,2,Image 1,1,143,
111.208,,Spot,2,Image 1,1,162,
133.728,,Spot,2,Image 1,1,164,
136.016,,Spot,2,Image 1,1,167,
98.507,,Spot,2,Image 1,1,171,
108.48,,Spot,2,Image 1,1,173,
191.081,,Spot,2,Image 1,1,174,
95.82,,Spot,2,Image 1,1,182,
103.066,,Spot,2,Image 1,1,188,
93.988,,Spot,2,Image 1,1,190,
51.128,,Spot,2,Image 1,1,192,
56.936,,Spot,2,Image 1,1,201,
81.832,,Spot,2,Image 1,1,217,
75.508,,Spot,2,Image 1,1,222,
49.744,,Spot,2,Image 1,1,237,
93.023,,Spot,2,Image 1,1,239,
95.864,,Spot,2,Image 1,1,241,
50.976,,Spot,2,Image 1,1,242,
46.192,,Spot,2,Image 1,1,244,
52.47,,Spot,2,Image 1,1,246,
51.051,,Spot,2,Image 1,1,250,
47.992,,Spot,2,Image 1,1,257,
109.538,,Spot,2,Image 1,1,300,
107.896,,Spot,2,Image 1,1,303,
85.172,,Spot,2,Image 1,1,305,
52.953,,Spot,2,Image 1,1,309,
70.092,,Spot,2,Image 1,1,313,
50.04,,Spot,2,Image 1,1,350,
98.04,,Spot,2,Image 1,1,354,
52.952,,Spot,2,Image 1,1,364,
48.176,,Spot,2,Image 1,1,369,
59.114,,Spot,2,Image 1,1,378,
69.16,,Spot,2,Image 1,1,380,
59,,Spot,2,Image 1,1,387,
49.968,,Spot,2,Image 1,1,397,
50.904,,Spot,2,Image 1,1,400,
44.564,,Spot,2,Image 1,1,404,
52.04,,Spot,2,Image 1,1,406,
51.224,,Spot,2,Image 1,1,412,
49.08,,Spot,2,Image 1,1,413,
46.12,,Spot,2,Image 1,1,457,
48.959,,Spot,2,Image 1,1,458,
48.016,,Spot,2,Image 1,1,461,
134.448,,Spot,2,Image 1,1,484,
133.75,,Spot,2,Image 1,1,485,
84.172,,Spot,2,Image 1,1,487,
124.192,,Spot,2,Image 1,1,498,
98.104,,Spot,2,Image 1,1,509,
47.016,,Spot,2,Image 1,1,510,
68.987,,Spot,2,Image 1,1,513,
86.93,,Spot,2,Image 1,1,518,
97.072,,Spot,2,Image 1,1,520,
71.744,,Spot,2,Image 1,1,522,
71.144,,Spot,2,Image 1,1,528,
92.986,,Spot,2,Image 1,1,552,
45.936,,Spot,2,Image 1,1,565,
87.068,,Spot,2,Image 1,1,572,
63.046,,Spot,2,Image 1,1,604,
51.528,,Spot,2,Image 1,1,615,
51.116,,Spot,2,Image 1,1,616,
53.935,,Spot,2,Image 1,1,626,
47.945,,Spot,2,Image 1,1,631,
52.836,,Spot,2,Image 1,1,661,
54.122,,Spot,2,Image 1,1,688,
45.784,,Spot,2,Image 1,1,693,
48.84,,Spot,2,Image 1,1,696,
45.905,,Spot,2,Image 1,1,704,
46.04,,Spot,2,Image 1,1,707,
45.032,,Spot,2,Image 1,1,714,
45.08,,Spot,2,Image 1,1,716,
45.096,,Spot,2,Image 1,1,718,
45.6,,Spot,2,Image 1,1,730,
46.07,,Spot,2,Image 1,1,748,
46.16,,Spot,2,Image 1,1,762,
67.091,,Spot,2,Image 1,1,780,
64.098,,Spot,2,Image 1,1,782,
