
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
34,,Spot,2,Image 1,1,5,
21,,Spot,2,Image 1,1,23,
28,,Spot,2,Image 1,1,29,
30,,Spot,2,Image 1,1,68,
23,,Spot,2,Image 1,1,75,
29,,Spot,2,Image 1,1,77,
34,,Spot,2,Image 1,1,88,
31,,Spot,2,Image 1,1,127,
26,,Spot,2,Image 1,1,142,
23,,Spot,2,Image 1,1,143,
24,,Spot,2,Image 1,1,162,
20,,Spot,2,Image 1,1,164,
24,,Spot,2,Image 1,1,167,
22,,Spot,2,Image 1,1,171,
21,,Spot,2,Image 1,1,173,
24,,Spot,2,Image 1,1,174,
24,,Spot,2,Image 1,1,182,
20,,Spot,2,Image 1,1,188,
25,,Spot,2,Image 1,1,190,
14,,Spot,2,Image 1,1,192,
21,,Spot,2,Image 1,1,201,
22,,Spot,2,Image 1,1,217,
24,,Spot,2,Image 1,1,222,
23,,Spot,2,Image 1,1,237,
19,,Spot,2,Image 1,1,239,
12,,Spot,2,Image 1,1,241,
18,,Spot,2,Image 1,1,242,
20,,Spot,2,Image 1,1,244,
23,,Spot,2,Image 1,1,246,
19,,Spot,2,Image 1,1,250,
0,,Spot,2,Image 1,1,257,
19,,Spot,2,Image 1,1,300,
25,,Spot,2,Image 1,1,303,
22,,Spot,2,Image 1,1,305,
25,,Spot,2,Image 1,1,309,
27,,Spot,2,Image 1,1,313,
18,,Spot,2,Image 1,1,350,
15,,Spot,2,Image 1,1,354,
23,,Spot,2,Image 1,1,364,
18,,Spot,2,Image 1,1,369,
23,,Spot,2,Image 1,1,378,
28,,Spot,2,Image 1,1,380,
19,,Spot,2,Image 1,1,387,
22,,Spot,2,Image 1,1,397,
20,,Spot,2,Image 1,1,400,
20,,Spot,2,Image 1,1,404,
17,,Spot,2,Image 1,1,406,
20,,Spot,2,Image 1,1,412,
23,,Spot,2,Image 1,1,413,
18,,Spot,2,Image 1,1,457,
18,,Spot,2,Image 1,1,458,
23,,Spot,2,Image 1,1,461,
27,,Spot,2,Image 1,1,484,
28,,Spot,2,Image 1,1,485,
20,,Spot,2,Image 1,1,487,
17,,Spot,2,Image 1,1,498,
15,,Spot,2,Image 1,1,509,
24,,Spot,2,Image 1,1,510,
28,,Spot,2,Image 1,1,513,
17,,Spot,2,Image 1,1,518,
24,,Spot,2,Image 1,1,520,
21,,Spot,2,Image 1,1,522,
16,,Spot,2,Image 1,1,528,
19,,Spot,2,Image 1,1,552,
19,,Spot,2,Image 1,1,565,
24,,Spot,2,Image 1,1,572,
22,,Spot,2,Image 1,1,604,
22,,Spot,2,Image 1,1,615,
22,,Spot,2,Image 1,1,616,
19,,Spot,2,Image 1,1,626,
20,,Spot,2,Image 1,1,631,
12,,Spot,2,Image 1,1,661,
19,,Spot,2,Image 1,1,688,
19,,Spot,2,Image 1,1,693,
20,,Spot,2,Image 1,1,696,
17,,Spot,2,Image 1,1,704,
21,,Spot,2,Image 1,1,707,
16,,Spot,2,Image 1,1,714,
14,,Spot,2,Image 1,1,716,
14,,Spot,2,Image 1,1,718,
21,,Spot,2,Image 1,1,730,
22,,Spot,2,Image 1,1,748,
16,,Spot,2,Image 1,1,762,
16,,Spot,2,Image 1,1,780,
21,,Spot,2,Image 1,1,782,
26,,Spot,2,Image 1,1,783,
20,,Spot,2,Image 1,1,789,
17,,Spot,2,Image 1,1,790,
0,,Spot,2,Image 1,1,792,
21,,Spot,2,Image 1,1,794,
15,,Spot,2,Image 1,1,797,
26,,Spot,2,Image 1,1,798,
26,,Spot,2,Image 1,1,800,
21,,Spot,2,Image 1,1,809,
24,,Spot,2,Image 1,1,812,
14,,Spot,2,Image 1,1,814,
21,,Spot,2,Image 1,1,822,
20,,Spot,2,Image 1,1,823,
21,,Spot,2,Image 1,1,825,
23,,Spot,2,Image 1,1,829,
25,,Spot,2,Image 1,1,830,
22,,Spot,2,Image 1,1,835,
20,,Spot,2,Image 1,1,837,
16,,Spot,2,Image 1,1,845,
15,,Spot,2,Image 1,1,889,
20,,Spot,2,Image 1,1,900,
20,,Spot,2,Image 1,1,903,
21,,Spot,2,Image 1,1,905,
18,,Spot,2,Image 1,1,906,
11,,Spot,2,Image 1,1,914,
22,,Spot,2,Image 1,1,917,
24,,Spot,2,Image 1,1,921,
18,,Spot,2,Image 1,1,923,
0,,Spot,2,Image 1,1,933,
0,,Spot,2,Image 1,1,936,
21,,Spot,2,Image 1,1,937,
0,,Spot,2,Image 1,1,939,
21,,Spot,2,Image 1,1,941,
20,,Spot,2,Image 1,1,949,
19,,Spot,2,Image 1,1,952,
22,,Spot,2,Image 1,1,965,
20,,Spot,2,Image 1,1,978,
23,,Spot,2,Image 1,1,989,
18,,Spot,2,Image 1,1,994,
20,,Spot,2,Image 1,1,997,
26,,Spot,2,Image 1,1,1010,
29,,Spot,2,Image 1,1,1018,
21,,Spot,2,Image 1,1,1021,
0,,Spot,2,Image 1,1,1033,
23,,Spot,2,Image 1,1,1041,
23,,Spot,2,Image 1,1,1043,
26,,Spot,2,Image 1,1,1048,
26,,Spot,2,Image 1,1,1054,
22,,Spot,2,Image 1,1,1064,
21,,Spot,2,Image 1,1,1065,
22,,Spot,2,Image 1,1,1070,
14,,Spot,2,Image 1,1,1073,
18,,Spot,2,Image 1,1,1076,
24,,Spot,2,Image 1,1,1077,
23,,Spot,2,Image 1,1,1085,
20,,Spot,2,Image 1,1,1091,
17,,Spot,2,Image 1,1,1093,
20,,Spot,2,Image 1,1,1094,
22,,Spot,2,Image 1,1,1096,
