
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
170.021,,Spot,4,Image 1,1,5,
290.925,,Spot,4,Image 1,1,23,
205.166,,Spot,4,Image 1,1,29,
136.892,,Spot,4,Image 1,1,68,
148.853,,Spot,4,Image 1,1,75,
218.295,,Spot,4,Image 1,1,77,
109.583,,Spot,4,Image 1,1,88,
159.823,,Spot,4,Image 1,1,127,
180.978,,Spot,4,Image 1,1,142,
178.854,,Spot,4,Image 1,1,143,
164.76,,Spot,4,Image 1,1,162,
132.854,,Spot,4,Image 1,1,164,
113.105,,Spot,4,Image 1,1,167,
218.706,,Spot,4,Image 1,1,171,
159.411,,Spot,4,Image 1,1,173,
189.197,,Spot,4,Image 1,1,174,
123.838,,Spot,4,Image 1,1,182,
108.191,,Spot,4,Image 1,1,188,
134.527,,Spot,4,Image 1,1,190,
118.256,,Spot,4,Image 1,1,192,
114.721,,Spot,4,Image 1,1,201,
190.057,,Spot,4,Image 1,1,217,
121.104,,Spot,4,Image 1,1,222,
143.378,,Spot,4,Image 1,1,237,
100.397,,Spot,4,Image 1,1,239,
151.295,,Spot,4,Image 1,1,241,
123.938,,Spot,4,Image 1,1,242,
232.456,,Spot,4,Image 1,1,244,
133.208,,Spot,4,Image 1,1,246,
108.281,,Spot,4,Image 1,1,250,
211.532,,Spot,4,Image 1,1,257,
188.682,,Spot,4,Image 1,1,300,
187.298,,Spot,4,Image 1,1,303,
125.661,,Spot,4,Image 1,1,305,
137.484,,Spot,4,Image 1,1,309,
98.0191,,Spot,4,Image 1,1,313,
150.742,,Spot,4,Image 1,1,350,
156.166,,Spot,4,Image 1,1,354,
169.038,,Spot,4,Image 1,1,364,
165.772,,Spot,4,Image 1,1,369,
108.6,,Spot,4,Image 1,1,378,
130.9,,Spot,4,Image 1,1,380,
104.884,,Spot,4,Image 1,1,387,
101.516,,Spot,4,Image 1,1,397,
166.604,,Spot,4,Image 1,1,400,
88.385,,Spot,4,Image 1,1,404,
155.126,,Spot,4,Image 1,1,406,
111.335,,Spot,4,Image 1,1,412,
159.822,,Spot,4,Image 1,1,413,
200.316,,Spot,4,Image 1,1,457,
106.761,,Spot,4,Image 1,1,458,
142.825,,Spot,4,Image 1,1,461,
230.906,,Spot,4,Image 1,1,484,
249.872,,Spot,4,Image 1,1,485,
187.229,,Spot,4,Image 1,1,487,
214.454,,Spot,4,Image 1,1,498,
182.297,,Spot,4,Image 1,1,509,
123.313,,Spot,4,Image 1,1,510,
143.979,,Spot,4,Image 1,1,513,
290.127,,Spot,4,Image 1,1,518,
181.99,,Spot,4,Image 1,1,520,
153.276,,Spot,4,Image 1,1,522,
335.137,,Spot,4,Image 1,1,528,
175.227,,Spot,4,Image 1,1,552,
99.8342,,Spot,4,Image 1,1,565,
119.908,,Spot,4,Image 1,1,572,
139.263,,Spot,4,Image 1,1,604,
164.653,,Spot,4,Image 1,1,615,
130.14,,Spot,4,Image 1,1,616,
185.607,,Spot,4,Image 1,1,626,
133.435,,Spot,4,Image 1,1,631,
242.656,,Spot,4,Image 1,1,661,
186.199,,Spot,4,Image 1,1,688,
137.041,,Spot,4,Image 1,1,693,
150.472,,Spot,4,Image 1,1,696,
121.447,,Spot,4,Image 1,1,704,
106.841,,Spot,4,Image 1,1,707,
200.873,,Spot,4,Image 1,1,714,
183.904,,Spot,4,Image 1,1,716,
103.579,,Spot,4,Image 1,1,718,
90.0267,,Spot,4,Image 1,1,730,
213.21,,Spot,4,Image 1,1,748,
147.846,,Spot,4,Image 1,1,762,
274.921,,Spot,4,Image 1,1,780,
210.925,,Spot,4,Image 1,1,782,
239.179,,Spot,4,Image 1,1,783,
213.575,,Spot,4,Image 1,1,789,
159.113,,Spot,4,Image 1,1,790,
294.587,,Spot,4,Image 1,1,792,
185.91,,Spot,4,Image 1,1,794,
234.991,,Spot,4,Image 1,1,797,
108.021,,Spot,4,Image 1,1,798,
189.353,,Spot,4,Image 1,1,800,
225.876,,Spot,4,Image 1,1,809,
168.297,,Spot,4,Image 1,1,812,
118.999,,Spot,4,Image 1,1,814,
201.183,,Spot,4,Image 1,1,822,
250.564,,Spot,4,Image 1,1,823,
129.228,,Spot,4,Image 1,1,825,
209.754,,Spot,4,Image 1,1,829,
219.555,,Spot,4,Image 1,1,830,
167.242,,Spot,4,Image 1,1,835,
116.399,,Spot,4,Image 1,1,837,
119.048,,Spot,4,Image 1,1,845,
101.224,,Spot,4,Image 1,1,889,
134.913,,Spot,4,Image 1,1,900,
110.043,,Spot,4,Image 1,1,903,
181.993,,Spot,4,Image 1,1,905,
150.325,,Spot,4,Image 1,1,906,
195.707,,Spot,4,Image 1,1,914,
127.323,,Spot,4,Image 1,1,917,
126.723,,Spot,4,Image 1,1,921,
109.222,,Spot,4,Image 1,1,923,
142.935,,Spot,4,Image 1,1,933,
185.266,,Spot,4,Image 1,1,936,
135.745,,Spot,4,Image 1,1,937,
168.708,,Spot,4,Image 1,1,939,
212.599,,Spot,4,Image 1,1,941,
207.657,,Spot,4,Image 1,1,949,
167.147,,Spot,4,Image 1,1,952,
233.989,,Spot,4,Image 1,1,965,
150.466,,Spot,4,Image 1,1,978,
125.352,,Spot,4,Image 1,1,989,
117.301,,Spot,4,Image 1,1,994,
203.278,,Spot,4,Image 1,1,997,
231.151,,Spot,4,Image 1,1,1010,
228.931,,Spot,4,Image 1,1,1018,
130.567,,Spot,4,Image 1,1,1021,
174.724,,Spot,4,Image 1,1,1033,
145.685,,Spot,4,Image 1,1,1041,
115.618,,Spot,4,Image 1,1,1043,
137.547,,Spot,4,Image 1,1,1048,
169.423,,Spot,4,Image 1,1,1054,
95.7813,,Spot,4,Image 1,1,1064,
198.682,,Spot,4,Image 1,1,1065,
196.214,,Spot,4,Image 1,1,1070,
96.3511,,Spot,4,Image 1,1,1073,
283.137,,Spot,4,Image 1,1,1076,
107.769,,Spot,4,Image 1,1,1077,
185.309,,Spot,4,Image 1,1,1085,
174.841,,Spot,4,Image 1,1,1091,
123.398,,Spot,4,Image 1,1,1093,
240.439,,Spot,4,Image 1,1,1094,
189.861,,Spot,4,Image 1,1,1096,
199.031,,Spot,4,Image 1,1,1098,
