
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
46036,,Spot,2,Image 1,1,5,
52295,,Spot,2,Image 1,1,23,
52051,,Spot,2,Image 1,1,29,
69087,,Spot,2,Image 1,1,68,
38752,,Spot,2,Image 1,1,75,
56613,,Spot,2,Image 1,1,77,
36806,,Spot,2,Image 1,1,88,
27915,,Spot,2,Image 1,1,127,
29747,,Spot,2,Image 1,1,142,
34950,,Spot,2,Image 1,1,143,
36270,,Spot,2,Image 1,1,162,
41902,,Spot,2,Image 1,1,164,
39758,,Spot,2,Image 1,1,167,
33998,,Spot,2,Image 1,1,171,
34565,,Spot,2,Image 1,1,173,
30029,,Spot,2,Image 1,1,174,
33143,,Spot,2,Image 1,1,182,
34787,,Spot,2,Image 1,1,188,
30381,,Spot,2,Image 1,1,190,
20814,,Spot,2,Image 1,1,192,
23849,,Spot,2,Image 1,1,201,
31744,,Spot,2,Image 1,1,217,
30141,,Spot,2,Image 1,1,222,
21215,,Spot,2,Image 1,1,237,
31996,,Spot,2,Image 1,1,239,
32823,,Spot,2,Image 1,1,241,
21520,,Spot,2,Image 1,1,242,
19128,,Spot,2,Image 1,1,244,
21567,,Spot,2,Image 1,1,246,
22863,,Spot,2,Image 1,1,250,
20775,,Spot,2,Image 1,1,257,
33366,,Spot,2,Image 1,1,300,
34143,,Spot,2,Image 1,1,303,
31642,,Spot,2,Image 1,1,305,
19517,,Spot,2,Image 1,1,309,
26547,,Spot,2,Image 1,1,313,
20089,,Spot,2,Image 1,1,350,
34464,,Spot,2,Image 1,1,354,
20171,,Spot,2,Image 1,1,364,
18719,,Spot,2,Image 1,1,369,
21723,,Spot,2,Image 1,1,378,
24288,,Spot,2,Image 1,1,380,
24298,,Spot,2,Image 1,1,387,
20763,,Spot,2,Image 1,1,397,
22117,,Spot,2,Image 1,1,400,
16502,,Spot,2,Image 1,1,404,
19087,,Spot,2,Image 1,1,406,
21741,,Spot,2,Image 1,1,412,
19778,,Spot,2,Image 1,1,413,
17040,,Spot,2,Image 1,1,457,
18574,,Spot,2,Image 1,1,458,
19686,,Spot,2,Image 1,1,461,
41818,,Spot,2,Image 1,1,484,
43114,,Spot,2,Image 1,1,485,
30206,,Spot,2,Image 1,1,487,
42965,,Spot,2,Image 1,1,498,
22008,,Spot,2,Image 1,1,509,
12076,,Spot,2,Image 1,1,510,
16987,,Spot,2,Image 1,1,513,
32002,,Spot,2,Image 1,1,518,
33125,,Spot,2,Image 1,1,520,
27993,,Spot,2,Image 1,1,522,
30636,,Spot,2,Image 1,1,528,
32387,,Spot,2,Image 1,1,552,
17622,,Spot,2,Image 1,1,565,
19906,,Spot,2,Image 1,1,572,
24964,,Spot,2,Image 1,1,604,
21259,,Spot,2,Image 1,1,615,
19770,,Spot,2,Image 1,1,616,
24096,,Spot,2,Image 1,1,626,
19066,,Spot,2,Image 1,1,631,
14615,,Spot,2,Image 1,1,661,
20656,,Spot,2,Image 1,1,688,
17127,,Spot,2,Image 1,1,693,
19489,,Spot,2,Image 1,1,696,
17993,,Spot,2,Image 1,1,704,
18618,,Spot,2,Image 1,1,707,
18438,,Spot,2,Image 1,1,714,
17648,,Spot,2,Image 1,1,716,
17755,,Spot,2,Image 1,1,718,
11807,,Spot,2,Image 1,1,730,
19295,,Spot,2,Image 1,1,748,
18178,,Spot,2,Image 1,1,762,
17746,,Spot,2,Image 1,1,780,
17642,,Spot,2,Image 1,1,782,
17232,,Spot,2,Image 1,1,783,
28314,,Spot,2,Image 1,1,789,
24558,,Spot,2,Image 1,1,790,
31011,,Spot,2,Image 1,1,792,
37667,,Spot,2,Image 1,1,794,
34435,,Spot,2,Image 1,1,797,
27581,,Spot,2,Image 1,1,798,
23992,,Spot,2,Image 1,1,800,
27834,,Spot,2,Image 1,1,809,
18322,,Spot,2,Image 1,1,812,
15050,,Spot,2,Image 1,1,814,
19558,,Spot,2,Image 1,1,822,
21701,,Spot,2,Image 1,1,823,
24268,,Spot,2,Image 1,1,825,
20692,,Spot,2,Image 1,1,829,
25434,,Spot,2,Image 1,1,830,
18238,,Spot,2,Image 1,1,835,
18012,,Spot,2,Image 1,1,837,
17833,,Spot,2,Image 1,1,845,
19542,,Spot,2,Image 1,1,889,
16524,,Spot,2,Image 1,1,900,
15026,,Spot,2,Image 1,1,903,
16895,,Spot,2,Image 1,1,905,
17436,,Spot,2,Image 1,1,906,
