
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.27468e+06,,Spot,1,Image 1,1,5,
5.337e+06,,Spot,1,Image 1,1,23,
4.44161e+06,,Spot,1,Image 1,1,29,
6.95455e+06,,Spot,1,Image 1,1,68,
2.47752e+06,,Spot,1,Image 1,1,75,
4.07404e+06,,Spot,1,Image 1,1,77,
4.57895e+06,,Spot,1,Image 1,1,88,
2.1252e+06,,Spot,1,Image 1,1,127,
2.59932e+06,,Spot,1,Image 1,1,142,
2.78191e+06,,Spot,1,Image 1,1,143,
2.54602e+06,,Spot,1,Image 1,1,162,
2.58252e+06,,Spot,1,Image 1,1,164,
2.76685e+06,,Spot,1,Image 1,1,167,
2.60484e+06,,Spot,1,Image 1,1,171,
2.65674e+06,,Spot,1,Image 1,1,173,
1.98698e+06,,Spot,1,Image 1,1,174,
2.12672e+06,,Spot,1,Image 1,1,182,
2.0246e+06,,Spot,1,Image 1,1,188,
1.97176e+06,,Spot,1,Image 1,1,190,
1.17062e+06,,Spot,1,Image 1,1,192,
1.62703e+06,,Spot,1,Image 1,1,201,
2.36078e+06,,Spot,1,Image 1,1,217,
2.58687e+06,,Spot,1,Image 1,1,222,
1.30296e+06,,Spot,1,Image 1,1,237,
2.16294e+06,,Spot,1,Image 1,1,239,
1.93862e+06,,Spot,1,Image 1,1,241,
1.17515e+06,,Spot,1,Image 1,1,242,
1.37349e+06,,Spot,1,Image 1,1,244,
1.28785e+06,,Spot,1,Image 1,1,246,
1.2551e+06,,Spot,1,Image 1,1,250,
1.53588e+06,,Spot,1,Image 1,1,257,
2.13022e+06,,Spot,1,Image 1,1,300,
2.99361e+06,,Spot,1,Image 1,1,303,
2.44754e+06,,Spot,1,Image 1,1,305,
1.79444e+06,,Spot,1,Image 1,1,309,
1.78256e+06,,Spot,1,Image 1,1,313,
1.20038e+06,,Spot,1,Image 1,1,350,
2.68625e+06,,Spot,1,Image 1,1,354,
1.34011e+06,,Spot,1,Image 1,1,364,
1.63283e+06,,Spot,1,Image 1,1,369,
1.23516e+06,,Spot,1,Image 1,1,378,
1.58064e+06,,Spot,1,Image 1,1,380,
1.60366e+06,,Spot,1,Image 1,1,387,
1.25051e+06,,Spot,1,Image 1,1,397,
1.26523e+06,,Spot,1,Image 1,1,400,
1.09045e+06,,Spot,1,Image 1,1,404,
1.17838e+06,,Spot,1,Image 1,1,406,
1.1077e+06,,Spot,1,Image 1,1,412,
1.2896e+06,,Spot,1,Image 1,1,413,
