
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Spots per Time Point,395,,1,,
Number of Spots per Time Point,337,,2,,
Number of Spots per Time Point,314,,3,,
Number of Spots per Time Point,301,,4,,
Number of Spots per Time Point,258,,5,,
Number of Spots per Time Point,229,,6,,
Number of Spots per Time Point,238,,7,,
Number of Spots per Time Point,245,,8,,
Number of Spots per Time Point,255,,9,,
Number of Spots per Time Point,245,,10,,
Number of Spots per Time Point,195,,11,,
Number of Spots per Time Point,226,,12,,
Number of Spots per Time Point,227,,13,,
Number of Spots per Time Point,217,,14,,
Total Number of Spots,3682,,,,
