
Shortest Distance to Spots Spots=Spots 1
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
78.8199,µm,Spot,Spots 1,1,5,
47.8016,µm,Spot,Spots 1,1,23,
81.3544,µm,Spot,Spots 1,1,29,
112.449,µm,Spot,Spots 1,1,68,
51.9036,µm,Spot,Spots 1,1,75,
74.0618,µm,Spot,Spots 1,1,77,
102.863,µm,Spot,Spots 1,1,88,
123.549,µm,Spot,Spots 1,1,127,
93.2877,µm,Spot,Spots 1,1,142,
51.7833,µm,Spot,Spots 1,1,143,
82.0805,µm,Spot,Spots 1,1,162,
75.8911,µm,Spot,Spots 1,1,164,
79.0511,µm,Spot,Spots 1,1,167,
91.5114,µm,Spot,Spots 1,1,171,
77.4878,µm,Spot,Spots 1,1,173,
101.749,µm,Spot,Spots 1,1,174,
58.9244,µm,Spot,Spots 1,1,182,
92.3166,µm,Spot,Spots 1,1,188,
112.832,µm,Spot,Spots 1,1,190,
50.5263,µm,Spot,Spots 1,1,192,
71.1702,µm,Spot,Spots 1,1,201,
145.412,µm,Spot,Spots 1,1,217,
131.783,µm,Spot,Spots 1,1,222,
94.535,µm,Spot,Spots 1,1,237,
56.5676,µm,Spot,Spots 1,1,239,
98.4249,µm,Spot,Spots 1,1,241,
158.66,µm,Spot,Spots 1,1,242,
114.035,µm,Spot,Spots 1,1,244,
129.898,µm,Spot,Spots 1,1,246,
125.63,µm,Spot,Spots 1,1,250,
172.723,µm,Spot,Spots 1,1,257,
47.7167,µm,Spot,Spots 1,1,300,
43.7018,µm,Spot,Spots 1,1,303,
45.8707,µm,Spot,Spots 1,1,305,
42.1257,µm,Spot,Spots 1,1,309,
34.4992,µm,Spot,Spots 1,1,313,
17.4772,µm,Spot,Spots 1,1,350,
29.2493,µm,Spot,Spots 1,1,354,
17.6164,µm,Spot,Spots 1,1,364,
23.8626,µm,Spot,Spots 1,1,369,
87.3353,µm,Spot,Spots 1,1,378,
61.8147,µm,Spot,Spots 1,1,380,
52.9049,µm,Spot,Spots 1,1,387,
37.6788,µm,Spot,Spots 1,1,397,
44.3042,µm,Spot,Spots 1,1,400,
48.605,µm,Spot,Spots 1,1,404,
70.6646,µm,Spot,Spots 1,1,406,
68.5004,µm,Spot,Spots 1,1,412,
65.7293,µm,Spot,Spots 1,1,413,
102.619,µm,Spot,Spots 1,1,457,
60.8701,µm,Spot,Spots 1,1,458,
62.6929,µm,Spot,Spots 1,1,461,
53.425,µm,Spot,Spots 1,1,484,
58.706,µm,Spot,Spots 1,1,485,
42.9973,µm,Spot,Spots 1,1,487,
45.3334,µm,Spot,Spots 1,1,498,
47.376,µm,Spot,Spots 1,1,509,
40.8433,µm,Spot,Spots 1,1,510,
36.237,µm,Spot,Spots 1,1,513,
43.9298,µm,Spot,Spots 1,1,518,
43.691,µm,Spot,Spots 1,1,520,
37.128,µm,Spot,Spots 1,1,522,
42.8257,µm,Spot,Spots 1,1,528,
34.7226,µm,Spot,Spots 1,1,552,
20.8772,µm,Spot,Spots 1,1,565,
41.7057,µm,Spot,Spots 1,1,572,
25.6425,µm,Spot,Spots 1,1,604,
26.3328,µm,Spot,Spots 1,1,615,
31.9644,µm,Spot,Spots 1,1,616,
13.7054,µm,Spot,Spots 1,1,626,
13.7067,µm,Spot,Spots 1,1,631,
36.2501,µm,Spot,Spots 1,1,661,
36.859,µm,Spot,Spots 1,1,688,
19.4344,µm,Spot,Spots 1,1,693,
8.32905,µm,Spot,Spots 1,1,696,
12.974,µm,Spot,Spots 1,1,704,
12.2013,µm,Spot,Spots 1,1,707,
22.5817,µm,Spot,Spots 1,1,714,
16.0881,µm,Spot,Spots 1,1,716,
39.2404,µm,Spot,Spots 1,1,718,
97.815,µm,Spot,Spots 1,1,730,
43.1421,µm,Spot,Spots 1,1,748,
84.6279,µm,Spot,Spots 1,1,762,
48.1195,µm,Spot,Spots 1,1,780,
50.2875,µm,Spot,Spots 1,1,782,
49.3533,µm,Spot,Spots 1,1,783,
46.0154,µm,Spot,Spots 1,1,789,
40.9093,µm,Spot,Spots 1,1,790,
49.4939,µm,Spot,Spots 1,1,792,
42.7511,µm,Spot,Spots 1,1,794,
34.6829,µm,Spot,Spots 1,1,797,
34.2043,µm,Spot,Spots 1,1,798,
30.7164,µm,Spot,Spots 1,1,800,
26.6029,µm,Spot,Spots 1,1,809,
37.7464,µm,Spot,Spots 1,1,812,
35.0116,µm,Spot,Spots 1,1,814,
36.4333,µm,Spot,Spots 1,1,822,
37.4025,µm,Spot,Spots 1,1,823,
27.9477,µm,Spot,Spots 1,1,825,
11.7425,µm,Spot,Spots 1,1,829,
29.9074,µm,Spot,Spots 1,1,830,
16.8342,µm,Spot,Spots 1,1,835,
16.2596,µm,Spot,Spots 1,1,837,
27.9727,µm,Spot,Spots 1,1,845,
13.9451,µm,Spot,Spots 1,1,889,
14.6757,µm,Spot,Spots 1,1,900,
14.0273,µm,Spot,Spots 1,1,903,
10.6449,µm,Spot,Spots 1,1,905,
16.6638,µm,Spot,Spots 1,1,906,
25.6537,µm,Spot,Spots 1,1,914,
29.2419,µm,Spot,Spots 1,1,917,
13.1403,µm,Spot,Spots 1,1,921,
28.4195,µm,Spot,Spots 1,1,923,
35.9769,µm,Spot,Spots 1,1,933,
37.246,µm,Spot,Spots 1,1,936,
27.1761,µm,Spot,Spots 1,1,937,
41.0859,µm,Spot,Spots 1,1,939,
31.5973,µm,Spot,Spots 1,1,941,
19.2848,µm,Spot,Spots 1,1,949,
