
Shortest Distance to Surfaces Surfaces=tumor_core
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
191.224,µm,Spot,tumor_core,11,22736,
414.332,µm,Spot,tumor_core,11,22758,
375.701,µm,Spot,tumor_core,11,22759,
325.765,µm,Spot,tumor_core,11,22766,
432.655,µm,Spot,tumor_core,11,22774,
70.1107,µm,Spot,tumor_core,11,22797,
204.964,µm,Spot,tumor_core,11,22810,
194.99,µm,Spot,tumor_core,11,22826,
223.764,µm,Spot,tumor_core,11,22859,
15.9839,µm,Spot,tumor_core,11,22887,
-5.45557,µm,Spot,tumor_core,11,22901,
-9.63379,µm,Spot,tumor_core,11,22906,
49.8058,µm,Spot,tumor_core,11,22912,
50.226,µm,Spot,tumor_core,11,22925,
24.5163,µm,Spot,tumor_core,11,22927,
72.9962,µm,Spot,tumor_core,11,22930,
15.1756,µm,Spot,tumor_core,11,22937,
46.5172,µm,Spot,tumor_core,11,22949,
165.804,µm,Spot,tumor_core,11,22987,
106.795,µm,Spot,tumor_core,11,22993,
196.322,µm,Spot,tumor_core,11,22997,
146.347,µm,Spot,tumor_core,11,22999,
185.619,µm,Spot,tumor_core,11,23002,
136.914,µm,Spot,tumor_core,11,23006,
146.685,µm,Spot,tumor_core,11,23010,
188.339,µm,Spot,tumor_core,11,23030,
221.128,µm,Spot,tumor_core,11,23031,
168.578,µm,Spot,tumor_core,11,23035,
166.344,µm,Spot,tumor_core,11,23036,
180.355,µm,Spot,tumor_core,11,23037,
174.927,µm,Spot,tumor_core,11,23046,
129.262,µm,Spot,tumor_core,11,23051,
297.026,µm,Spot,tumor_core,11,23054,
8.04248,µm,Spot,tumor_core,11,23100,
5.69824,µm,Spot,tumor_core,11,23103,
1.81592,µm,Spot,tumor_core,11,23105,
-0.771095,µm,Spot,tumor_core,11,23110,
-5.66113,µm,Spot,tumor_core,11,23122,
-6.22168,µm,Spot,tumor_core,11,23123,
-7.69238,µm,Spot,tumor_core,11,23126,
-10.9761,µm,Spot,tumor_core,11,23130,
-11.7598,µm,Spot,tumor_core,11,23131,
-12.0361,µm,Spot,tumor_core,11,23132,
-12.3804,µm,Spot,tumor_core,11,23133,
23.2816,µm,Spot,tumor_core,11,23147,
6.49609,µm,Spot,tumor_core,11,23154,
4.26465,µm,Spot,tumor_core,11,23156,
4.34473,µm,Spot,tumor_core,11,23157,
-5.375,µm,Spot,tumor_core,11,23169,
-6.48779,µm,Spot,tumor_core,11,23170,
-5.99609,µm,Spot,tumor_core,11,23171,
3.24148,µm,Spot,tumor_core,11,23174,
43.2998,µm,Spot,tumor_core,11,23183,
31.0363,µm,Spot,tumor_core,11,23200,
71.6199,µm,Spot,tumor_core,11,23217,
-9.38525,µm,Spot,tumor_core,11,23232,
1.62518,µm,Spot,tumor_core,11,23238,
18.2453,µm,Spot,tumor_core,11,23239,
138.754,µm,Spot,tumor_core,11,23251,
104.458,µm,Spot,tumor_core,11,23257,
90.4518,µm,Spot,tumor_core,11,23261,
84.4774,µm,Spot,tumor_core,11,23262,
119.704,µm,Spot,tumor_core,11,23271,
149.033,µm,Spot,tumor_core,11,23273,
140.489,µm,Spot,tumor_core,11,23274,
111.18,µm,Spot,tumor_core,11,23276,
96.9204,µm,Spot,tumor_core,11,23282,
157.226,µm,Spot,tumor_core,11,23284,
75.4112,µm,Spot,tumor_core,11,23286,
156.669,µm,Spot,tumor_core,11,23288,
161.494,µm,Spot,tumor_core,11,23293,
-1.38834,µm,Spot,tumor_core,11,23333,
-4.41268,µm,Spot,tumor_core,11,23349,
118.788,µm,Spot,tumor_core,11,23354,
170.837,µm,Spot,tumor_core,11,23364,
222.762,µm,Spot,tumor_core,11,23401,
216.389,µm,Spot,tumor_core,11,23412,
322.691,µm,Spot,tumor_core,11,23433,
221.421,µm,Spot,tumor_core,11,23453,
344.424,µm,Spot,tumor_core,11,23469,
369.23,µm,Spot,tumor_core,11,23470,
378.701,µm,Spot,tumor_core,11,23472,
375.6,µm,Spot,tumor_core,11,23477,
378.112,µm,Spot,tumor_core,11,23478,
364.095,µm,Spot,tumor_core,11,23479,
378.812,µm,Spot,tumor_core,11,23483,
348.852,µm,Spot,tumor_core,11,23484,
362.724,µm,Spot,tumor_core,11,23485,
355.261,µm,Spot,tumor_core,11,23487,
386.564,µm,Spot,tumor_core,11,23490,
403.986,µm,Spot,tumor_core,11,23491,
404.981,µm,Spot,tumor_core,11,23492,
23.9437,µm,Spot,tumor_core,11,23538,
17.0489,µm,Spot,tumor_core,11,23551,
61.5528,µm,Spot,tumor_core,11,23552,
107.342,µm,Spot,tumor_core,11,23569,
161.132,µm,Spot,tumor_core,11,23577,
178.399,µm,Spot,tumor_core,11,23578,
119.867,µm,Spot,tumor_core,11,23580,
116.507,µm,Spot,tumor_core,11,23582,
93.656,µm,Spot,tumor_core,11,23591,
115.534,µm,Spot,tumor_core,11,23593,
269.033,µm,Spot,tumor_core,11,23612,
198.568,µm,Spot,tumor_core,11,23616,
256.416,µm,Spot,tumor_core,11,23630,
253.616,µm,Spot,tumor_core,11,23636,
271.416,µm,Spot,tumor_core,11,23650,
263.107,µm,Spot,tumor_core,11,23651,
301.429,µm,Spot,tumor_core,11,23652,
278.281,µm,Spot,tumor_core,11,23654,
300.905,µm,Spot,tumor_core,11,23656,
307.456,µm,Spot,tumor_core,11,23657,
272.737,µm,Spot,tumor_core,11,23658,
274.022,µm,Spot,tumor_core,11,23661,
305.615,µm,Spot,tumor_core,11,23667,
291.255,µm,Spot,tumor_core,11,23671,
239.995,µm,Spot,tumor_core,11,23682,
335.52,µm,Spot,tumor_core,11,23691,
315.274,µm,Spot,tumor_core,11,23695,
433.181,µm,Spot,tumor_core,11,23705,
-3.33609,µm,Spot,tumor_core,11,23726,
-1.83693,µm,Spot,tumor_core,11,23727,
-17.5814,µm,Spot,tumor_core,11,23728,
-14.4556,µm,Spot,tumor_core,11,23732,
14.0016,µm,Spot,tumor_core,11,23742,
11.0799,µm,Spot,tumor_core,11,23756,
4.2536,µm,Spot,tumor_core,11,23757,
-13.8987,µm,Spot,tumor_core,11,23760,
-7.55586,µm,Spot,tumor_core,11,23765,
56.849,µm,Spot,tumor_core,11,23802,
188.313,µm,Spot,tumor_core,11,23808,
98.6254,µm,Spot,tumor_core,11,23822,
