
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1481.12,845.994,4267.47,µm,Surface,Position,1,5346,
1415.77,939.225,4249.31,µm,Surface,Position,1,5347,
1471.46,880.606,4260.47,µm,Surface,Position,1,5348,
1439.24,915.78,4265.92,µm,Surface,Position,1,5349,
1476.06,889.325,4259.4,µm,Surface,Position,1,5350,
1411.45,897.413,4271.63,µm,Surface,Position,1,5351,
1407.34,907.804,4272.44,µm,Surface,Position,1,5352,
1480.41,805.736,4275.48,µm,Surface,Position,1,5353,
1393.56,893.305,4272.99,µm,Surface,Position,1,5354,
1359.62,916.665,4290.78,µm,Surface,Position,1,5355,
1329.87,920.506,4292.34,µm,Surface,Position,1,5356,
1375.82,845.534,4285.98,µm,Surface,Position,1,5357,
1322.92,928.997,4263.47,µm,Surface,Position,1,5358,
1344.07,914.331,4241.96,µm,Surface,Position,1,5359,
1288.43,967.401,4255.71,µm,Surface,Position,1,5360,
1345.5,878.762,4243.44,µm,Surface,Position,1,5361,
1375.1,841.867,4270.16,µm,Surface,Position,1,5362,
1252.84,963.019,4278.52,µm,Surface,Position,1,5363,
1359.53,866.542,4255.08,µm,Surface,Position,1,5364,
1358.78,856.472,4282.62,µm,Surface,Position,1,5365,
1352.52,847.975,4259.47,µm,Surface,Position,1,5366,
1236.75,960.153,4285,µm,Surface,Position,1,5367,
1252.29,939.823,4289.7,µm,Surface,Position,1,5368,
1346.3,866.663,4269.26,µm,Surface,Position,1,5369,
1405.69,802.944,4275.61,µm,Surface,Position,1,5370,
1312.76,908.835,4241.52,µm,Surface,Position,1,5371,
1373.13,850.29,4243.5,µm,Surface,Position,1,5372,
1220.31,970.722,4279.36,µm,Surface,Position,1,5373,
1443.26,757.953,4274.01,µm,Surface,Position,1,5374,
1361.02,826.913,4280.95,µm,Surface,Position,1,5375,
1330.15,847.032,4256.05,µm,Surface,Position,1,5376,
1268.05,911.418,4261.53,µm,Surface,Position,1,5377,
1274.23,919.686,4250.16,µm,Surface,Position,1,5378,
1324.91,858.085,4276.08,µm,Surface,Position,1,5379,
1326.32,848.806,4269.07,µm,Surface,Position,1,5380,
1366.48,790.909,4278.06,µm,Surface,Position,1,5381,
1271.71,891.279,4255.38,µm,Surface,Position,1,5382,
1259.92,904,4261.93,µm,Surface,Position,1,5383,
1444.66,723.435,4237.23,µm,Surface,Position,1,5384,
1375.06,786,4276.02,µm,Surface,Position,1,5385,
1411.61,754.697,4275.99,µm,Surface,Position,1,5386,
1221.71,936.963,4285.78,µm,Surface,Position,1,5387,
1410.29,740.488,4239.93,µm,Surface,Position,1,5388,
1232.33,900.581,4289.22,µm,Surface,Position,1,5389,
1443.67,724.951,4272.79,µm,Surface,Position,1,5390,
1273.85,867.444,4288.35,µm,Surface,Position,1,5391,
1409.57,724.591,4274.14,µm,Surface,Position,1,5392,
1217.48,920.76,4236.71,µm,Surface,Position,1,5393,
1398.43,734.259,4279.03,µm,Surface,Position,1,5394,
1235.13,893.852,4256.59,µm,Surface,Position,1,5395,
1221.27,909.62,4262.57,µm,Surface,Position,1,5396,
1417.56,703.473,4273.35,µm,Surface,Position,1,5397,
1225.99,900.005,4278.51,µm,Surface,Position,1,5398,
1419.5,712.365,4279.47,µm,Surface,Position,1,5399,
1224.35,883.972,4268.15,µm,Surface,Position,1,5400,
1262.39,854.87,4286.56,µm,Surface,Position,1,5401,
1357.13,784.767,4243.38,µm,Surface,Position,1,5402,
1316.62,780.776,4258.33,µm,Surface,Position,1,5403,
1129.97,952.426,4284.85,µm,Surface,Position,1,5404,
