
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1662.08,941.732,3773.17,um,Surface,Position,1,22709,
1685.72,902.008,3796.97,um,Surface,Position,1,22710,
1642.37,957.035,3776.24,um,Surface,Position,1,22711,
1638.79,948.59,3816.09,um,Surface,Position,1,22712,
1647.24,968.673,3767.86,um,Surface,Position,1,22713,
1680.53,927.056,3767.74,um,Surface,Position,1,22714,
1693.11,920.415,3774.56,um,Surface,Position,1,22715,
1686.65,905.736,3814.99,um,Surface,Position,1,22716,
1709.62,906.183,3763.29,um,Surface,Position,1,22717,
1692.84,906.643,3807.92,um,Surface,Position,1,22718,
1663.76,972.879,3778.18,um,Surface,Position,1,22719,
1680.51,957.21,3775.61,um,Surface,Position,1,22720,
1699.15,955.3,3784.82,um,Surface,Position,1,22721,
1707.32,926.526,3795.57,um,Surface,Position,1,22722,
1672.82,980.605,3770.86,um,Surface,Position,1,22723,
1711.23,899.864,3847.86,um,Surface,Position,1,22724,
1695.76,961.602,3764.77,um,Surface,Position,1,22725,
1668.25,951.023,3847.53,um,Surface,Position,1,22726,
1689.08,940.639,3849.89,um,Surface,Position,1,22727,
1712.54,926.008,3811.69,um,Surface,Position,1,22728,
1696.73,979.197,3789.73,um,Surface,Position,1,22729,
1547.03,965.247,3835.61,um,Surface,Position,1,22730,
1665.14,838.244,3843.16,um,Surface,Position,1,22731,
1589.14,960.983,3769.21,um,Surface,Position,1,22732,
1610.21,933.466,3786.49,um,Surface,Position,1,22733,
1695.08,848.128,3766.25,um,Surface,Position,1,22734,
1687.47,861.676,3794.15,um,Surface,Position,1,22735,
1609.11,940.215,3768.94,um,Surface,Position,1,22736,
1628.5,927.59,3763.56,um,Surface,Position,1,22737,
1688.71,824.357,3849.34,um,Surface,Position,1,22738,
1710.98,830.092,3803.72,um,Surface,Position,1,22739,
1702.4,857.865,3765.31,um,Surface,Position,1,22740,
1681.56,858.268,3823.87,um,Surface,Position,1,22741,
1621.59,948.155,3769.24,um,Surface,Position,1,22742,
1605.42,949.82,3808.94,um,Surface,Position,1,22743,
1603.16,964.046,3775.24,um,Surface,Position,1,22744,
1690.55,851.579,3820.68,um,Surface,Position,1,22745,
1667.18,868.89,3843.96,um,Surface,Position,1,22746,
1611.58,963.308,3771.73,um,Surface,Position,1,22747,
1704.68,869.918,3792.57,um,Surface,Position,1,22748,
1641.15,931.546,3764.79,um,Surface,Position,1,22749,
1575.93,980.392,3797.51,um,Surface,Position,1,22750,
1632.87,941.103,3770.78,um,Surface,Position,1,22751,
1585.55,978.197,3826.07,um,Surface,Position,1,22752,
1651.83,926.471,3777.28,um,Surface,Position,1,22753,
1675.63,882.471,3795.01,um,Surface,Position,1,22754,
1666.49,910.279,3768.11,um,Surface,Position,1,22755,
1672.14,914.61,3790.27,um,Surface,Position,1,22756,
1628.43,958.558,3764.37,um,Surface,Position,1,22757,
1703.83,861.053,3793.6,um,Surface,Position,1,22758,
1710,829.589,3851.06,um,Surface,Position,1,22759,
1603.98,974.245,3764.42,um,Surface,Position,1,22760,
1711.67,854.434,3807.68,um,Surface,Position,1,22761,
1609.23,964.648,3798.59,um,Surface,Position,1,22762,
1585.54,968.276,3837.36,um,Surface,Position,1,22763,
1683.15,895.971,3782.04,um,Surface,Position,1,22764,
1622.1,975.565,3802.74,um,Surface,Position,1,22765,
1653.2,929.287,3802.24,um,Surface,Position,1,22766,
1615.38,975.444,3765.08,um,Surface,Position,1,22767,
1650.16,940.891,3769.46,um,Surface,Position,1,22768,
1704.79,894.786,3772.34,um,Surface,Position,1,22769,
1561.23,915.923,3828.98,um,Surface,Position,1,22770,
1664.24,833.959,3800.23,um,Surface,Position,1,22771,
1650.72,812.591,3852.9,um,Surface,Position,1,22772,
1670.31,829.219,3780.66,um,Surface,Position,1,22773,
1575.86,873.107,3888.32,um,Surface,Position,1,22774,
1536.72,978.607,3770.57,um,Surface,Position,1,22775,
1639.37,834.711,3839.14,um,Surface,Position,1,22776,
1533.32,951.226,3821.8,um,Surface,Position,1,22777,
1579.8,940.489,3782.77,um,Surface,Position,1,22778,
1546.07,961.543,3777.28,um,Surface,Position,1,22779,
1690.38,815.091,3799.18,um,Surface,Position,1,22780,
1712.49,774.371,3818.35,um,Surface,Position,1,22781,
1586.42,924.28,3769.49,um,Surface,Position,1,22782,
1550.07,957.156,3796.46,um,Surface,Position,1,22783,
1660.45,850.773,3771.43,um,Surface,Position,1,22784,
1552.25,966.621,3797.22,um,Surface,Position,1,22785,
1561.71,944.285,3820.85,um,Surface,Position,1,22786,
1709.36,788.329,3813.96,um,Surface,Position,1,22787,
1557.42,967.589,3776.69,um,Surface,Position,1,22788,
1701.32,818.174,3771.88,um,Surface,Position,1,22789,
1595.08,926.981,3770.89,um,Surface,Position,1,22790,
1671.77,832.348,3811.43,um,Surface,Position,1,22791,
1711.41,795.999,3816.68,um,Surface,Position,1,22792,
1682.24,832.38,3784.42,um,Surface,Position,1,22793,
1604.69,910.248,3799.62,um,Surface,Position,1,22794,
1674.33,849.148,3770.57,um,Surface,Position,1,22795,
1709.82,822.724,3769.42,um,Surface,Position,1,22796,
1614.18,912.732,3810.34,um,Surface,Position,1,22797,
1662.62,868.315,3765.17,um,Surface,Position,1,22798,
1663.46,853.295,3805.56,um,Surface,Position,1,22799,
1655.09,846.023,3854.61,um,Surface,Position,1,22800,
1655.28,878.404,3804.57,um,Surface,Position,1,22801,
1645.41,909.456,3769.11,um,Surface,Position,1,22802,
1546.5,979.968,3791.32,um,Surface,Position,1,22803,
1562.06,978.198,3763.15,um,Surface,Position,1,22804,
1709.34,809.733,3814,um,Surface,Position,1,22805,
1704.73,741.592,3818.78,um,Surface,Position,1,22806,
1689.03,759.821,3817.56,um,Surface,Position,1,22807,
1684.61,790.349,3765.98,um,Surface,Position,1,22808,
1478.32,980.69,3788.64,um,Surface,Position,1,22809,
1543.2,915.342,3801.9,um,Surface,Position,1,22810,
1595.24,869.085,3782.2,um,Surface,Position,1,22811,
1500.9,979.012,3769.09,um,Surface,Position,1,22812,
1637.66,833.185,3801.81,um,Surface,Position,1,22813,
1591.09,866.393,3808.56,um,Surface,Position,1,22814,
1675.32,779.568,3811.33,um,Surface,Position,1,22815,
1711.49,756.339,3785.94,um,Surface,Position,1,22816,
1476.59,980.277,3803.82,um,Surface,Position,1,22817,
1674.83,768.664,3842.85,um,Surface,Position,1,22818,
1676.27,776.925,3835.28,um,Surface,Position,1,22819,
1668.77,801.398,3788.65,um,Surface,Position,1,22820,
1538.49,893.099,3857.8,um,Surface,Position,1,22821,
1701.91,750.548,3821.85,um,Surface,Position,1,22822,
1605.89,852.655,3818.05,um,Surface,Position,1,22823,
1557.17,927.261,3770.51,um,Surface,Position,1,22824,
1703.31,780.134,3783.17,um,Surface,Position,1,22825,
1676.15,797.29,3781.28,um,Surface,Position,1,22826,
1548.61,887.625,3861.95,um,Surface,Position,1,22827,
1574.03,901.149,3810.32,um,Surface,Position,1,22828,
1670.85,807.564,3809.3,um,Surface,Position,1,22829,
1681.46,787.311,3813.09,um,Surface,Position,1,22830,
1710.22,772.763,3773.77,um,Surface,Position,1,22831,
1679.57,799.248,3807.87,um,Surface,Position,1,22832,
1521.07,955.31,3808.95,um,Surface,Position,1,22833,
1566.46,927.538,3763.67,um,Surface,Position,1,22834,
1594.95,908.494,3784.21,um,Surface,Position,1,22835,
1575.18,916.428,3764.77,um,Surface,Position,1,22836,
1651.82,826.407,3790.33,um,Surface,Position,1,22837,
1638.37,816.279,3865.22,um,Surface,Position,1,22838,
1647.05,867.092,3768.48,um,Surface,Position,1,22839,
1592.55,867.142,3827.29,um,Surface,Position,1,22840,
1540.73,952.946,3797.53,um,Surface,Position,1,22841,
1615.49,850.03,3847.83,um,Surface,Position,1,22842,
1683.75,808.277,3764.39,um,Surface,Position,1,22843,
1685.05,802.585,3779.26,um,Surface,Position,1,22844,
1683.94,800.584,3843.89,um,Surface,Position,1,22845,
1596.14,868.202,3839.03,um,Surface,Position,1,22846,
1549.8,926.22,3804.18,um,Surface,Position,1,22847,
1579.75,922.343,3795.54,um,Surface,Position,1,22848,
1639.95,809.465,3858.57,um,Surface,Position,1,22849,
1657.96,823.592,3794.39,um,Surface,Position,1,22850,
1516.08,979.753,3796.88,um,Surface,Position,1,22851,
1654.08,835.593,3809.14,um,Surface,Position,1,22852,
1540.26,920.843,3850.67,um,Surface,Position,1,22853,
1618.79,842.26,3853.86,um,Surface,Position,1,22854,
1678.07,814.564,3797.54,um,Surface,Position,1,22855,
1675.7,827.695,3766.69,um,Surface,Position,1,22856,
1556.88,929.463,3805.7,um,Surface,Position,1,22857,
1687.89,714.429,3860.22,um,Surface,Position,1,22858,
1528.75,867.032,3859.86,um,Surface,Position,1,22859,
1655.96,752.131,3836.07,um,Surface,Position,1,22860,
1557.27,828.742,3883.44,um,Surface,Position,1,22861,
1504.26,905.151,3849.82,um,Surface,Position,1,22862,
1486.23,913.859,3883.42,um,Surface,Position,1,22863,
1501.71,931.716,3807.4,um,Surface,Position,1,22864,
1562.11,873.606,3804.35,um,Surface,Position,1,22865,
1678.76,760.464,3774.11,um,Surface,Position,1,22866,
1550.87,881.989,3791.33,um,Surface,Position,1,22867,
1647.34,799.484,3763.05,um,Surface,Position,1,22868,
1663.58,768.428,3795.75,um,Surface,Position,1,22869,
1641.47,771.485,3849.1,um,Surface,Position,1,22870,
1657.44,774.199,3821.32,um,Surface,Position,1,22871,
1653,757.972,3860.94,um,Surface,Position,1,22872,
1507.22,932.802,3794.52,um,Surface,Position,1,22873,
1551.44,884.165,3819.59,um,Surface,Position,1,22874,
1666.98,775.081,3783.58,um,Surface,Position,1,22875,
1669.78,760.855,3813.54,um,Surface,Position,1,22876,
