
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
204.922,,Spot,11,Image 1,1,Tracked,1000000000,0,
218.803,,Spot,11,Image 1,1,Tracked,1000000013,13,
245.418,,Spot,11,Image 1,1,Tracked,1000000026,26,
262.066,,Spot,11,Image 1,1,Tracked,1000000039,39,
191.204,,Spot,11,Image 1,1,Tracked,1000000052,52,
190.804,,Spot,11,Image 1,1,Tracked,1000000066,66,
170.149,,Spot,11,Image 1,1,Tracked,1000000080,80,
163.724,,Spot,11,Image 1,1,Tracked,1000000094,94,
159.479,,Spot,11,Image 1,1,Tracked,1000000108,108,
169.586,,Spot,11,Image 1,1,Tracked,1000000122,122,
176.023,,Spot,11,Image 1,1,Tracked,1000000135,135,
162.868,,Spot,11,Image 1,1,Tracked,1000000148,148,
144.132,,Spot,11,Image 1,1,Tracked,1000000162,162,
135.594,,Spot,11,Image 1,1,Tracked,1000000176,176,
171.033,,Spot,11,Image 1,1,Tracked,1000000190,190,
204.948,,Spot,11,Image 1,1,Tracked,1000000203,203,
184.364,,Spot,11,Image 1,1,Tracked,1000000216,216,
141.692,,Spot,11,Image 1,1,Tracked,1000000230,230,
135.288,,Spot,11,Image 1,1,Tracked,1000000244,244,
111.866,,Spot,11,Image 1,1,Tracked,1000000259,259,
139.082,,Spot,11,Image 1,1,Tracked,1000000273,273,
146.716,,Spot,11,Image 1,1,Tracked,1000000287,287,
169.273,,Spot,11,Image 1,1,Tracked,1000000302,302,
168.54,,Spot,11,Image 1,1,Tracked,1000000314,314,
156.56,,Spot,11,Image 1,1,Tracked,1000000325,325,
153.543,,Spot,11,Image 1,1,Tracked,1000000338,338,
145.223,,Spot,11,Image 1,1,Tracked,1000000358,358,
128.281,,Spot,11,Image 1,1,Tracked,1000000371,371,
128.368,,Spot,11,Image 1,1,Tracked,1000000385,385,
114.161,,Spot,11,Image 1,1,Tracked,1000000400,400,
124.332,,Spot,11,Image 1,1,Tracked,1000000414,414,
134.054,,Spot,11,Image 1,1,Tracked,1000000428,428,
127.405,,Spot,11,Image 1,1,Tracked,1000000442,442,
117.51,,Spot,11,Image 1,1,Tracked,1000000479,479,
120.469,,Spot,11,Image 1,1,Tracked,1000000493,493,
104.81,,Spot,11,Image 1,1,Tracked,1000000507,507,
88.8425,,Spot,11,Image 1,1,Tracked,1000000521,521,
82.0174,,Spot,11,Image 1,1,Tracked,1000000535,535,
114.238,,Spot,11,Image 1,1,Tracked,1000000549,549,
139.867,,Spot,11,Image 1,1,Tracked,1000000563,563,
130.846,,Spot,11,Image 1,1,Tracked,1000000577,577,
128.463,,Spot,11,Image 1,1,Tracked,1000000590,590,
114.238,,Spot,11,Image 1,1,Tracked,1000000604,604,
109.992,,Spot,11,Image 1,1,Tracked,1000000618,618,
101.939,,Spot,11,Image 1,1,Tracked,1000000632,632,
132.479,,Spot,11,Image 1,1,Tracked,1000000646,646,
143.567,,Spot,11,Image 1,1,Tracked,1000000664,664,
119.123,,Spot,11,Image 1,1,Tracked,1000000678,678,
120.43,,Spot,11,Image 1,1,Tracked,1000000692,692,
169.764,,Spot,11,Image 1,1,Tracked,1000000701,701,
159.48,,Spot,11,Image 1,1,Tracked,1000000706,706,
174.839,,Spot,11,Image 1,1,Tracked,1000000724,724,
90.0441,,Spot,11,Image 1,1,Tracked,1000000738,738,
89.0275,,Spot,11,Image 1,1,Tracked,1000000752,752,
79.69,,Spot,11,Image 1,1,Tracked,1000000766,766,
