
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Set 1,TrackID,ID,
1042.47,1889.79,4995.39,um,Spot,Position,1,Tracked,1000000000,0,
1093.97,1884.39,5028.64,um,Spot,Position,1,Tracked,1000000013,13,
1108.26,1907.75,5005.17,um,Spot,Position,1,Tracked,1000000026,26,
1123.65,1917.08,4981.7,um,Spot,Position,1,Tracked,1000000039,39,
1091.64,1853.58,4987.57,um,Spot,Position,1,Tracked,1000000052,52,
1124.85,1835.77,5028.64,um,Spot,Position,1,Tracked,1000000066,66,
1100.64,1823.18,4979.75,um,Spot,Position,1,Tracked,1000000080,80,
1103.68,1811.19,5054.91,um,Spot,Position,1,Tracked,1000000094,94,
1114.76,1805.05,4987.57,um,Spot,Position,1,Tracked,1000000108,108,
1001,1863.62,5011.04,um,Spot,Position,1,Tracked,1000000122,122,
973.938,1871.95,5056.02,um,Spot,Position,1,Tracked,1000000135,135,
978.93,1859.34,5036.46,um,Spot,Position,1,Tracked,1000000148,148,
980.151,1840.54,5030.6,um,Spot,Position,1,Tracked,1000000162,162,
983.523,1827.33,5054.3,um,Spot,Position,1,Tracked,1000000176,176,
944.576,1876.13,5030.6,um,Spot,Position,1,Tracked,1000000190,190,
940.81,1912.83,5048.2,um,Spot,Position,1,Tracked,1000000203,203,
924.569,1894.67,5020.82,um,Spot,Position,1,Tracked,1000000216,216,
1028.68,1824.88,5042.33,um,Spot,Position,1,Tracked,1000000230,230,
1031.32,1820.63,5007.11,um,Spot,Position,1,Tracked,1000000244,244,
990.99,1791.57,5128.39,um,Spot,Position,1,Tracked,1000000259,259,
989.051,1823.01,5114.7,um,Spot,Position,1,Tracked,1000000273,273,
992.397,1823.94,5161.64,um,Spot,Position,1,Tracked,1000000287,287,
927.89,1877.96,5018.86,um,Spot,Position,1,Tracked,1000000302,302,
904.428,1885.09,5036.46,um,Spot,Position,1,Tracked,1000000314,314,
882.997,1879.14,5036.46,um,Spot,Position,1,Tracked,1000000325,325,
900.701,1867.89,5011.05,um,Spot,Position,1,Tracked,1000000338,338,
893.345,1867.33,5071.67,um,Spot,Position,1,Tracked,1000000358,358,
894.657,1841.45,5122.52,um,Spot,Position,1,Tracked,1000000371,371,
877.371,1847.3,5124.48,um,Spot,Position,1,Tracked,1000000385,385,
870.011,1839.42,5085.36,um,Spot,Position,1,Tracked,1000000400,400,
909.357,1836.98,5028.64,um,Spot,Position,1,Tracked,1000000414,414,
934.982,1840.58,5036.46,um,Spot,Position,1,Tracked,1000000428,428,
955.305,1827.9,5038.42,um,Spot,Position,1,Tracked,1000000442,442,
985.495,1813.39,5007.66,um,Spot,Position,1,Tracked,1000000479,479,
944.929,1824.41,5029.54,um,Spot,Position,1,Tracked,1000000493,493,
981.806,1800.8,5005.51,um,Spot,Position,1,Tracked,1000000507,507,
976.385,1785.65,5018.86,um,Spot,Position,1,Tracked,1000000521,521,
1002.26,1773.2,5010.26,um,Spot,Position,1,Tracked,1000000535,535,
1039.8,1796.37,5014.95,um,Spot,Position,1,Tracked,1000000549,549,
1074.23,1801.99,4977.24,um,Spot,Position,1,Tracked,1000000563,563,
1065.74,1797.48,4981.7,um,Spot,Position,1,Tracked,1000000577,577,
1080.76,1787.57,4987.89,um,Spot,Position,1,Tracked,1000000590,590,
1083.08,1772.53,5014.95,um,Spot,Position,1,Tracked,1000000604,604,
1064.56,1776.65,4995.39,um,Spot,Position,1,Tracked,1000000618,618,
1054.03,1772.57,4993.44,um,Spot,Position,1,Tracked,1000000632,632,
1099.46,1785.43,5020.82,um,Spot,Position,1,Tracked,1000000646,646,
1113.09,1783.26,5063.85,um,Spot,Position,1,Tracked,1000000664,664,
855.128,1850.68,5036.46,um,Spot,Position,1,Tracked,1000000678,678,
878.888,1842.52,5038.42,um,Spot,Position,1,Tracked,1000000692,692,
859.472,1904.32,5056.02,um,Spot,Position,1,Tracked,1000000701,701,
856.541,1892.81,5052.11,um,Spot,Position,1,Tracked,1000000706,706,
808.479,1916.95,5075.58,um,Spot,Position,1,Tracked,1000000724,724,
1081.15,1745.92,5014.95,um,Spot,Position,1,Tracked,1000000738,738,
1058.43,1756.93,5005.17,um,Spot,Position,1,Tracked,1000000752,752,
1036.11,1758.05,5001.26,um,Spot,Position,1,Tracked,1000000766,766,
1037.3,1719.84,5003.22,um,Spot,Position,1,Tracked,1000000780,780,
1035.32,1749.26,5050.15,um,Spot,Position,1,Tracked,1000000794,794,
1029.09,1743,4995.39,um,Spot,Position,1,Tracked,1000000808,808,
1058.23,1740.5,5018.86,um,Spot,Position,1,Tracked,1000000822,822,
1016.64,1748.8,4989.52,um,Spot,Position,1,Tracked,1000000827,827,
1060.88,1717.71,5063.85,um,Spot,Position,1,Tracked,1000000841,841,
1063.76,1726.18,5018.86,um,Spot,Position,1,Tracked,1000000869,869,
1063.22,1724.18,4987.57,um,Spot,Position,1,Tracked,1000000883,883,
