
Speed
 ==================== 
Speed,Unit,Category,Time,Set 1,TrackID,ID,
9.95446,um/h,Spot,1,Tracked,1000000000,0,
14.8708,um/h,Spot,1,Tracked,1000000013,13,
25.5601,um/h,Spot,1,Tracked,1000000026,26,
13.6303,um/h,Spot,1,Tracked,1000000039,39,
8.93829,um/h,Spot,1,Tracked,1000000052,52,
11.0207,um/h,Spot,1,Tracked,1000000066,66,
11.3138,um/h,Spot,1,Tracked,1000000080,80,
12.8757,um/h,Spot,1,Tracked,1000000094,94,
8.9177,um/h,Spot,1,Tracked,1000000108,108,
19.0373,um/h,Spot,1,Tracked,1000000122,122,
5.28409,um/h,Spot,1,Tracked,1000000135,135,
7.27385,um/h,Spot,1,Tracked,1000000148,148,
15.2552,um/h,Spot,1,Tracked,1000000162,162,
5.53877,um/h,Spot,1,Tracked,1000000176,176,
3.98028,um/h,Spot,1,Tracked,1000000190,190,
8.83421,um/h,Spot,1,Tracked,1000000203,203,
12.1363,um/h,Spot,1,Tracked,1000000216,216,
10.5148,um/h,Spot,1,Tracked,1000000230,230,
7.2023,um/h,Spot,1,Tracked,1000000244,244,
33.1707,um/h,Spot,1,Tracked,1000000259,259,
13.7506,um/h,Spot,1,Tracked,1000000273,273,
37.6859,um/h,Spot,1,Tracked,1000000287,287,
10.448,um/h,Spot,1,Tracked,1000000302,302,
5.27766,um/h,Spot,1,Tracked,1000000314,314,
10.5361,um/h,Spot,1,Tracked,1000000325,325,
8.97363,um/h,Spot,1,Tracked,1000000338,338,
8.74387,um/h,Spot,1,Tracked,1000000358,358,
18.0236,um/h,Spot,1,Tracked,1000000371,371,
14.817,um/h,Spot,1,Tracked,1000000385,385,
14.4519,um/h,Spot,1,Tracked,1000000400,400,
4.38148,um/h,Spot,1,Tracked,1000000414,414,
5.03753,um/h,Spot,1,Tracked,1000000428,428,
7.21526,um/h,Spot,1,Tracked,1000000442,442,
10.2181,um/h,Spot,1,Tracked,1000000479,479,
5.98348,um/h,Spot,1,Tracked,1000000493,493,
8.57407,um/h,Spot,1,Tracked,1000000507,507,
8.36559,um/h,Spot,1,Tracked,1000000521,521,
5.40318,um/h,Spot,1,Tracked,1000000535,535,
2.35056,um/h,Spot,1,Tracked,1000000549,549,
6.45115,um/h,Spot,1,Tracked,1000000563,563,
4.0085,um/h,Spot,1,Tracked,1000000577,577,
8.51871,um/h,Spot,1,Tracked,1000000590,590,
6.53582,um/h,Spot,1,Tracked,1000000604,604,
4.20806,um/h,Spot,1,Tracked,1000000618,618,
1.92637,um/h,Spot,1,Tracked,1000000632,632,
10.893,um/h,Spot,1,Tracked,1000000646,646,
23.4198,um/h,Spot,1,Tracked,1000000664,664,
8.5198,um/h,Spot,1,Tracked,1000000678,678,
14.9116,um/h,Spot,1,Tracked,1000000692,692,
7.89413,um/h,Spot,1,Tracked,1000000701,701,
4.05081,um/h,Spot,1,Tracked,1000000706,706,
14.37,um/h,Spot,1,Tracked,1000000724,724,
12.3643,um/h,Spot,1,Tracked,1000000738,738,
10.2378,um/h,Spot,1,Tracked,1000000752,752,
7.68182,um/h,Spot,1,Tracked,1000000766,766,
2.98999,um/h,Spot,1,Tracked,1000000780,780,
15.3701,um/h,Spot,1,Tracked,1000000794,794,
9.26378,um/h,Spot,1,Tracked,1000000808,808,
96.8166,um/h,Spot,1,Tracked,1000000822,822,
8.78708,um/h,Spot,1,Tracked,1000000827,827,
14.2953,um/h,Spot,1,Tracked,1000000841,841,
12.7885,um/h,Spot,1,Tracked,1000000869,869,
9.27459,um/h,Spot,1,Tracked,1000000883,883,
12.2222,um/h,Spot,1,Tracked,1000000897,897,
1.73458,um/h,Spot,1,Tracked,1000000911,911,
16.0671,um/h,Spot,1,Tracked,1000000925,925,
7.13873,um/h,Spot,1,Tracked,1000000939,939,
7.47042,um/h,Spot,1,Tracked,1000000953,953,
8.67577,um/h,Spot,1,Tracked,1000000966,966,
25.3535,um/h,Spot,1,Tracked,1000000980,980,
16.3982,um/h,Spot,1,Tracked,1000000994,994,
7.99885,um/h,Spot,1,Tracked,1000001004,1004,
7.75655,um/h,Spot,1,Tracked,1000001018,1018,
21.7892,um/h,Spot,1,Tracked,1000001031,1031,
5.82868,um/h,Spot,1,Tracked,1000001045,1045,
14.6822,um/h,Spot,1,Tracked,1000001059,1059,
15.8557,um/h,Spot,1,Tracked,1000001073,1073,
24.4627,um/h,Spot,1,Tracked,1000001075,1075,
3.65027,um/h,Spot,1,Tracked,1000001089,1089,
8.1031,um/h,Spot,1,Tracked,1000001103,1103,
7.87212,um/h,Spot,1,Tracked,1000001117,1117,
8.19226,um/h,Spot,1,Tracked,1000001131,1131,
5.86625,um/h,Spot,1,Tracked,1000001145,1145,
32.9683,um/h,Spot,1,Tracked,1000001159,1159,
5.11583,um/h,Spot,1,Tracked,1000001173,1173,
12.8982,um/h,Spot,1,Tracked,1000001193,1193,
6.75994,um/h,Spot,1,Tracked,1000001207,1207,
13.0606,um/h,Spot,1,Tracked,1000001235,1235,
12.9686,um/h,Spot,1,Tracked,1000001249,1249,
7.38504,um/h,Spot,1,Tracked,1000001263,1263,
15.9382,um/h,Spot,1,Tracked,1000001277,1277,
10.0707,um/h,Spot,1,Tracked,1000001291,1291,
13.8395,um/h,Spot,1,Tracked,1000001305,1305,
3.09397,um/h,Spot,1,Tracked,1000001333,1333,
6.56846,um/h,Spot,1,Tracked,1000001347,1347,
7.15866,um/h,Spot,1,Tracked,1000001361,1361,
5.53067,um/h,Spot,1,Tracked,1000001375,1375,
6.77358,um/h,Spot,1,Tracked,1000001389,1389,
16.815,um/h,Spot,1,Tracked,1000001403,1403,
3.70678,um/h,Spot,2,Tracked,1000000000,1404,
6.53685,um/h,Spot,2,Tracked,1000000013,1405,
17.0386,um/h,Spot,2,Tracked,1000000026,1406,
16.6065,um/h,Spot,2,Tracked,1000000039,1407,
4.74519,um/h,Spot,2,Tracked,1000000052,1408,
7.97153,um/h,Spot,2,Tracked,1000000066,1409,
9.78653,um/h,Spot,2,Tracked,1000000080,1410,
12.6243,um/h,Spot,2,Tracked,1000000094,1411,
3.82199,um/h,Spot,2,Tracked,1000000108,1412,
16.8596,um/h,Spot,2,Tracked,1000000122,1413,
7.10445,um/h,Spot,2,Tracked,1000000135,1414,
4.56574,um/h,Spot,2,Tracked,1000000148,1415,
20.3241,um/h,Spot,2,Tracked,1000000162,1416,
11.6636,um/h,Spot,2,Tracked,1000000176,1417,
3.10028,um/h,Spot,2,Tracked,1000000190,1418,
2.37756,um/h,Spot,2,Tracked,1000000203,1419,
14.4931,um/h,Spot,2,Tracked,1000000216,1420,
6.64147,um/h,Spot,2,Tracked,1000000230,1421,
5.47192,um/h,Spot,2,Tracked,1000000244,1422,
22.2465,um/h,Spot,2,Tracked,1000000259,1423,
8.99256,um/h,Spot,2,Tracked,1000000273,1424,
24.8367,um/h,Spot,2,Tracked,1000000287,1425,
9.166,um/h,Spot,2,Tracked,1000000302,1426,
1.61411,um/h,Spot,2,Tracked,1000000314,1427,
2.78426,um/h,Spot,2,Tracked,1000000325,1428,
8.70891,um/h,Spot,2,Tracked,1000000338,1429,
10.4243,um/h,Spot,2,Tracked,1000000358,1430,
6.9204,um/h,Spot,2,Tracked,1000000371,1431,
10.4525,um/h,Spot,2,Tracked,1000000385,1432,
15.1959,um/h,Spot,2,Tracked,1000000400,1433,
3.00013,um/h,Spot,2,Tracked,1000000414,1434,
3.28706,um/h,Spot,2,Tracked,1000000428,1435,
5.38282,um/h,Spot,2,Tracked,1000000442,1436,
27.7212,um/h,Spot,2,Tracked,1000000479,1437,
6.29015,um/h,Spot,2,Tracked,1000000493,1438,
4.38345,um/h,Spot,2,Tracked,1000000507,1439,
5.41641,um/h,Spot,2,Tracked,1000000521,1440,
3.21051,um/h,Spot,2,Tracked,1000000535,1441,
2.57553,um/h,Spot,2,Tracked,1000000549,1442,
3.99879,um/h,Spot,2,Tracked,1000000563,1443,
4.56274,um/h,Spot,2,Tracked,1000000577,1444,
5.32411,um/h,Spot,2,Tracked,1000000590,1445,
4.86301,um/h,Spot,2,Tracked,1000000604,1446,
2.4727,um/h,Spot,2,Tracked,1000000618,1447,
3.65539,um/h,Spot,2,Tracked,1000000632,1448,
7.33877,um/h,Spot,2,Tracked,1000000646,1449,
28.2986,um/h,Spot,2,Tracked,1000000664,1450,
6.04848,um/h,Spot,2,Tracked,1000000678,1451,
12.8244,um/h,Spot,2,Tracked,1000000692,1452,
10.3276,um/h,Spot,2,Tracked,1000000701,1453,
2.40816,um/h,Spot,2,Tracked,1000000706,1454,
9.1039,um/h,Spot,2,Tracked,1000000724,1455,
6.80069,um/h,Spot,2,Tracked,1000000738,1456,
5.04421,um/h,Spot,2,Tracked,1000000752,1457,
6.14637,um/h,Spot,2,Tracked,1000000766,1458,
5.50065,um/h,Spot,2,Tracked,1000000780,1459,
8.97921,um/h,Spot,2,Tracked,1000000794,1460,
7.89577,um/h,Spot,2,Tracked,1000000808,1461,
49.5002,um/h,Spot,2,Tracked,1000000822,1462,
6.14662,um/h,Spot,2,Tracked,1000000827,1463,
8.96212,um/h,Spot,2,Tracked,1000000841,1464,
7.82733,um/h,Spot,2,Tracked,1000000869,1465,
9.57011,um/h,Spot,2,Tracked,1000000883,1466,
8.24965,um/h,Spot,2,Tracked,1000000897,1467,
19.439,um/h,Spot,2,Tracked,1000000911,1468,
6.53611,um/h,Spot,2,Tracked,1000000925,1469,
