
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,Set 1,TrackID,ID,
0,um,Spot,1,Untracked,1000024857,24857,
0,um,Spot,1,Untracked,1000024859,24859,
0,um,Spot,1,Untracked,1000024860,24860,
0,um,Spot,1,Untracked,1000024861,24861,
0,um,Spot,1,Untracked,1000024862,24862,
0,um,Spot,1,Untracked,1000024863,24863,
0,um,Spot,1,Untracked,1000024864,24864,
0,um,Spot,1,Untracked,1000024865,24865,
0,um,Spot,1,Untracked,1000024866,24866,
0,um,Spot,1,Untracked,1000024868,24868,
0,um,Spot,1,Untracked,1000024869,24869,
0,um,Spot,1,Untracked,1000024871,24871,
0,um,Spot,1,Untracked,1000024873,24873,
0,um,Spot,1,Untracked,1000024875,24875,
0,um,Spot,1,Untracked,1000024876,24876,
0,um,Spot,1,Untracked,1000024877,24877,
0,um,Spot,1,Untracked,1000024878,24878,
0,um,Spot,1,Untracked,1000024879,24879,
0,um,Spot,1,Untracked,1000024880,24880,
0,um,Spot,1,Untracked,1000024881,24881,
0,um,Spot,1,Untracked,1000024882,24882,
0,um,Spot,1,Untracked,1000024883,24883,
0,um,Spot,1,Untracked,1000024884,24884,
0,um,Spot,1,Untracked,1000024885,24885,
0,um,Spot,1,Untracked,1000024901,24901,
0,um,Spot,1,Untracked,1000024902,24902,
0,um,Spot,1,Untracked,1000024903,24903,
0,um,Spot,1,Untracked,1000024904,24904,
0,um,Spot,1,Untracked,1000024907,24907,
0,um,Spot,1,Untracked,1000024908,24908,
0,um,Spot,1,Untracked,1000024909,24909,
0,um,Spot,1,Untracked,1000024910,24910,
0,um,Spot,1,Untracked,1000024911,24911,
0,um,Spot,1,Untracked,1000024914,24914,
0,um,Spot,1,Untracked,1000024916,24916,
0,um,Spot,1,Untracked,1000024938,24938,
0,um,Spot,1,Untracked,1000024941,24941,
0,um,Spot,1,Untracked,1000024942,24942,
0,um,Spot,1,Untracked,1000024943,24943,
0,um,Spot,1,Untracked,1000024945,24945,
0,um,Spot,1,Untracked,1000024946,24946,
0,um,Spot,1,Untracked,1000024947,24947,
0,um,Spot,1,Untracked,1000024948,24948,
0,um,Spot,1,Untracked,1000024949,24949,
0,um,Spot,1,Untracked,1000024950,24950,
0,um,Spot,1,Untracked,1000024951,24951,
0,um,Spot,1,Untracked,1000024952,24952,
0,um,Spot,1,Untracked,1000024953,24953,
0,um,Spot,1,Untracked,1000024954,24954,
0,um,Spot,1,Untracked,1000024956,24956,
0,um,Spot,1,Untracked,1000024957,24957,
0,um,Spot,1,Untracked,1000024958,24958,
0,um,Spot,1,Untracked,1000024959,24959,
0,um,Spot,1,Untracked,1000024962,24962,
0,um,Spot,1,Untracked,1000024974,24974,
0,um,Spot,1,Untracked,1000024975,24975,
0,um,Spot,1,Untracked,1000024976,24976,
0,um,Spot,1,Untracked,1000024977,24977,
0,um,Spot,1,Untracked,1000024978,24978,
0,um,Spot,1,Untracked,1000024979,24979,
0,um,Spot,1,Untracked,1000024980,24980,
0,um,Spot,1,Untracked,1000024982,24982,
0,um,Spot,1,Untracked,1000024983,24983,
0,um,Spot,1,Untracked,1000024985,24985,
0,um,Spot,1,Untracked,1000024986,24986,
0,um,Spot,1,Untracked,1000024987,24987,
0,um,Spot,1,Untracked,1000024988,24988,
0,um,Spot,1,Untracked,1000024989,24989,
0,um,Spot,1,Untracked,1000024991,24991,
0,um,Spot,1,Untracked,1000024992,24992,
0,um,Spot,1,Untracked,1000024993,24993,
0,um,Spot,1,Untracked,1000024994,24994,
0,um,Spot,1,Untracked,1000025000,25000,
0,um,Spot,1,Untracked,1000025001,25001,
0,um,Spot,1,Untracked,1000025002,25002,
0,um,Spot,1,Untracked,1000025003,25003,
0,um,Spot,1,Untracked,1000025004,25004,
0,um,Spot,1,Untracked,1000025005,25005,
0,um,Spot,1,Untracked,1000025007,25007,
0,um,Spot,1,Untracked,1000025008,25008,
0,um,Spot,1,Untracked,1000025010,25010,
0,um,Spot,1,Untracked,1000025012,25012,
0,um,Spot,1,Untracked,1000025014,25014,
0,um,Spot,1,Untracked,1000025016,25016,
0,um,Spot,1,Untracked,1000025018,25018,
0,um,Spot,1,Untracked,1000025021,25021,
0,um,Spot,1,Untracked,1000025022,25022,
0,um,Spot,1,Untracked,1000025023,25023,
0,um,Spot,1,Untracked,1000025024,25024,
0,um,Spot,1,Untracked,1000025025,25025,
0,um,Spot,1,Untracked,1000025026,25026,
0,um,Spot,1,Untracked,1000025028,25028,
0,um,Spot,1,Untracked,1000025029,25029,
0,um,Spot,1,Untracked,1000025030,25030,
0,um,Spot,1,Untracked,1000025031,25031,
0,um,Spot,1,Untracked,1000025034,25034,
0,um,Spot,1,Untracked,1000025035,25035,
0,um,Spot,1,Untracked,1000025036,25036,
0,um,Spot,1,Untracked,1000025037,25037,
0,um,Spot,1,Untracked,1000025039,25039,
0,um,Spot,1,Untracked,1000025041,25041,
0,um,Spot,1,Untracked,1000025042,25042,
0,um,Spot,1,Untracked,1000025043,25043,
0,um,Spot,1,Untracked,1000025044,25044,
0,um,Spot,1,Untracked,1000025056,25056,
0,um,Spot,1,Untracked,1000025057,25057,
0,um,Spot,1,Untracked,1000025059,25059,
0,um,Spot,1,Untracked,1000025060,25060,
0,um,Spot,1,Untracked,1000025061,25061,
0,um,Spot,1,Untracked,1000025062,25062,
0,um,Spot,1,Untracked,1000025063,25063,
0,um,Spot,1,Untracked,1000025064,25064,
0,um,Spot,1,Untracked,1000025066,25066,
0,um,Spot,1,Untracked,1000025067,25067,
0,um,Spot,1,Untracked,1000025068,25068,
0,um,Spot,1,Untracked,1000025070,25070,
0,um,Spot,1,Untracked,1000025071,25071,
0,um,Spot,1,Untracked,1000025072,25072,
0,um,Spot,1,Untracked,1000025073,25073,
0,um,Spot,1,Untracked,1000025074,25074,
0,um,Spot,1,Untracked,1000025075,25075,
0,um,Spot,1,Untracked,1000025080,25080,
0,um,Spot,1,Untracked,1000025081,25081,
0,um,Spot,1,Untracked,1000025082,25082,
