
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
0,,Spot,11,Image 1,1,Untracked,1000024857,24857,
2.71918,,Spot,11,Image 1,1,Untracked,1000024859,24859,
0,,Spot,11,Image 1,1,Untracked,1000024860,24860,
0,,Spot,11,Image 1,1,Untracked,1000024861,24861,
0,,Spot,11,Image 1,1,Untracked,1000024862,24862,
0,,Spot,11,Image 1,1,Untracked,1000024863,24863,
0,,Spot,11,Image 1,1,Untracked,1000024864,24864,
0.944546,,Spot,11,Image 1,1,Untracked,1000024865,24865,
0,,Spot,11,Image 1,1,Untracked,1000024866,24866,
0,,Spot,11,Image 1,1,Untracked,1000024868,24868,
0.944546,,Spot,11,Image 1,1,Untracked,1000024869,24869,
0,,Spot,11,Image 1,1,Untracked,1000024871,24871,
0,,Spot,11,Image 1,1,Untracked,1000024873,24873,
0,,Spot,11,Image 1,1,Untracked,1000024875,24875,
0,,Spot,11,Image 1,1,Untracked,1000024876,24876,
0,,Spot,11,Image 1,1,Untracked,1000024877,24877,
0,,Spot,11,Image 1,1,Untracked,1000024878,24878,
0,,Spot,11,Image 1,1,Untracked,1000024879,24879,
0,,Spot,11,Image 1,1,Untracked,1000024880,24880,
0,,Spot,11,Image 1,1,Untracked,1000024881,24881,
0,,Spot,11,Image 1,1,Untracked,1000024882,24882,
0,,Spot,11,Image 1,1,Untracked,1000024883,24883,
0,,Spot,11,Image 1,1,Untracked,1000024884,24884,
0,,Spot,11,Image 1,1,Untracked,1000024885,24885,
0,,Spot,11,Image 1,1,Untracked,1000024901,24901,
0,,Spot,11,Image 1,1,Untracked,1000024902,24902,
1.88909,,Spot,11,Image 1,1,Untracked,1000024903,24903,
0,,Spot,11,Image 1,1,Untracked,1000024904,24904,
0,,Spot,11,Image 1,1,Untracked,1000024907,24907,
0,,Spot,11,Image 1,1,Untracked,1000024908,24908,
0,,Spot,11,Image 1,1,Untracked,1000024909,24909,
0,,Spot,11,Image 1,1,Untracked,1000024910,24910,
