
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Set 1,TrackID,ID,
838.79,1626.11,4984.12,um,Spot,Position,1,Untracked,1000024857,24857,
833.486,1584.66,4988.2,um,Spot,Position,1,Untracked,1000024859,24859,
840.738,1596.4,4991.08,um,Spot,Position,1,Untracked,1000024860,24860,
835.417,1612.56,4991.14,um,Spot,Position,1,Untracked,1000024861,24861,
814.853,1635.62,4994.08,um,Spot,Position,1,Untracked,1000024862,24862,
800.309,1617.4,4996.07,um,Spot,Position,1,Untracked,1000024863,24863,
846.163,1632.39,4995.29,um,Spot,Position,1,Untracked,1000024864,24864,
812.796,1583.55,5003.1,um,Spot,Position,1,Untracked,1000024865,24865,
827.737,1633.39,5002.41,um,Spot,Position,1,Untracked,1000024866,24866,
820.562,1595.98,5006.41,um,Spot,Position,1,Untracked,1000024868,24868,
819.169,1583.55,5011.35,um,Spot,Position,1,Untracked,1000024869,24869,
800.532,1603.88,5012.46,um,Spot,Position,1,Untracked,1000024871,24871,
844.889,1610.85,5015.69,um,Spot,Position,1,Untracked,1000024873,24873,
811.896,1625.05,5022.24,um,Spot,Position,1,Untracked,1000024875,24875,
815.008,1591.7,5024.93,um,Spot,Position,1,Untracked,1000024876,24876,
810.815,1605.84,5023.85,um,Spot,Position,1,Untracked,1000024877,24877,
799.305,1617.96,5024.23,um,Spot,Position,1,Untracked,1000024878,24878,
849.221,1590.29,5044.64,um,Spot,Position,1,Untracked,1000024879,24879,
806.578,1627,5047.06,um,Spot,Position,1,Untracked,1000024880,24880,
802.412,1606.22,5048.45,um,Spot,Position,1,Untracked,1000024881,24881,
854.604,1632.17,5047.57,um,Spot,Position,1,Untracked,1000024882,24882,
831.512,1642.17,5049.22,um,Spot,Position,1,Untracked,1000024883,24883,
841.462,1597.79,5054.47,um,Spot,Position,1,Untracked,1000024884,24884,
812.551,1619.17,5054.81,um,Spot,Position,1,Untracked,1000024885,24885,
859.764,1607.4,4993.01,um,Spot,Position,1,Untracked,1000024901,24901,
859.071,1636.5,4996.28,um,Spot,Position,1,Untracked,1000024902,24902,
890.86,1583.55,5000.47,um,Spot,Position,1,Untracked,1000024903,24903,
867.28,1621.08,5002.49,um,Spot,Position,1,Untracked,1000024904,24904,
874.441,1626.96,5020.52,um,Spot,Position,1,Untracked,1000024907,24907,
857.397,1621.42,5022.6,um,Spot,Position,1,Untracked,1000024908,24908,
879.984,1600.13,5024.19,um,Spot,Position,1,Untracked,1000024909,24909,
900.998,1606.43,5029.72,um,Spot,Position,1,Untracked,1000024910,24910,
916.7,1637.69,5031.27,um,Spot,Position,1,Untracked,1000024911,24911,
872.211,1597.16,5043.02,um,Spot,Position,1,Untracked,1000024914,24914,
876.482,1618.91,5048.62,um,Spot,Position,1,Untracked,1000024916,24916,
963.893,1631.83,4986.6,um,Spot,Position,1,Untracked,1000024938,24938,
936.206,1633.74,4998.78,um,Spot,Position,1,Untracked,1000024941,24941,
931.553,1617.63,5000.86,um,Spot,Position,1,Untracked,1000024942,24942,
929.091,1637.33,5001.5,um,Spot,Position,1,Untracked,1000024943,24943,
952.746,1618.1,5008.68,um,Spot,Position,1,Untracked,1000024945,24945,
957.641,1600.42,5014.68,um,Spot,Position,1,Untracked,1000024946,24946,
927.948,1627.1,5015.31,um,Spot,Position,1,Untracked,1000024947,24947,
964.597,1624.9,5018.48,um,Spot,Position,1,Untracked,1000024948,24948,
971.097,1639.4,5019.22,um,Spot,Position,1,Untracked,1000024949,24949,
922.605,1583.55,5022.07,um,Spot,Position,1,Untracked,1000024950,24950,
936.12,1600.49,5022.29,um,Spot,Position,1,Untracked,1000024951,24951,
946.858,1630.71,5026.13,um,Spot,Position,1,Untracked,1000024952,24952,
961.621,1596.79,5036.85,um,Spot,Position,1,Untracked,1000024953,24953,
971.322,1622.58,5037.68,um,Spot,Position,1,Untracked,1000024954,24954,
976.55,1632.32,5042.66,um,Spot,Position,1,Untracked,1000024956,24956,
956.533,1588.95,5043.94,um,Spot,Position,1,Untracked,1000024957,24957,
