
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
339.867,,Spot,11,Image 1,1,Untracked,1000000184,184,
125.457,,Spot,11,Image 1,1,Untracked,1000001235,1235,
108.997,,Spot,11,Image 1,1,Untracked,1000001240,1240,
96.8198,,Spot,11,Image 1,1,Untracked,1000001244,1244,
179.022,,Spot,11,Image 1,1,Untracked,1000001245,1245,
90.3386,,Spot,11,Image 1,1,Untracked,1000001250,1250,
284.412,,Spot,11,Image 1,1,Untracked,1000001252,1252,
283.601,,Spot,11,Image 1,1,Untracked,1000001255,1255,
270.374,,Spot,11,Image 1,1,Untracked,1000001259,1259,
157.606,,Spot,11,Image 1,1,Untracked,1000001386,1386,
102.673,,Spot,11,Image 1,1,Untracked,1000001389,1389,
129.077,,Spot,11,Image 1,1,Untracked,1000001390,1390,
139.796,,Spot,11,Image 1,1,Untracked,1000001391,1391,
114.907,,Spot,11,Image 1,1,Untracked,1000001393,1393,
179.193,,Spot,11,Image 1,1,Untracked,1000001396,1396,
158.661,,Spot,11,Image 1,1,Untracked,1000001397,1397,
188.074,,Spot,11,Image 1,1,Untracked,1000001398,1398,
137.222,,Spot,11,Image 1,1,Untracked,1000001400,1400,
155.658,,Spot,11,Image 1,1,Untracked,1000001401,1401,
214.55,,Spot,11,Image 1,1,Untracked,1000001416,1416,
183.415,,Spot,11,Image 1,1,Untracked,1000001418,1418,
201.289,,Spot,11,Image 1,1,Untracked,1000001426,1426,
185.892,,Spot,11,Image 1,1,Untracked,1000001428,1428,
196.257,,Spot,11,Image 1,1,Untracked,1000001601,1601,
0,,Spot,11,Image 1,1,Untracked,1000002144,2144,
0,,Spot,11,Image 1,1,Untracked,1000002145,2145,
0,,Spot,11,Image 1,1,Untracked,1000002146,2146,
0,,Spot,11,Image 1,1,Untracked,1000002147,2147,
0,,Spot,11,Image 1,1,Untracked,1000002149,2149,
0,,Spot,11,Image 1,1,Untracked,1000002150,2150,
0,,Spot,11,Image 1,1,Untracked,1000002151,2151,
4.79835,,Spot,11,Image 1,1,Untracked,1000002152,2152,
0,,Spot,11,Image 1,1,Untracked,1000002153,2153,
0,,Spot,11,Image 1,1,Untracked,1000002154,2154,
0,,Spot,11,Image 1,1,Untracked,1000002155,2155,
0,,Spot,11,Image 1,1,Untracked,1000002156,2156,
0,,Spot,11,Image 1,1,Untracked,1000002157,2157,
0,,Spot,11,Image 1,1,Untracked,1000002158,2158,
0,,Spot,11,Image 1,1,Untracked,1000002159,2159,
0,,Spot,11,Image 1,1,Untracked,1000002160,2160,
0,,Spot,11,Image 1,1,Untracked,1000002162,2162,
0,,Spot,11,Image 1,1,Untracked,1000002163,2163,
4.26187,,Spot,11,Image 1,1,Untracked,1000002164,2164,
86.5821,,Spot,11,Image 1,1,Untracked,1000002170,2170,
40.2826,,Spot,11,Image 1,1,Untracked,1000002171,2171,
43.7911,,Spot,11,Image 1,1,Untracked,1000002172,2172,
91.7851,,Spot,11,Image 1,1,Untracked,1000002179,2179,
96.278,,Spot,11,Image 1,1,Untracked,1000002181,2181,
38.9492,,Spot,11,Image 1,1,Untracked,1000002185,2185,
71.6192,,Spot,11,Image 1,1,Untracked,1000002188,2188,
85.5991,,Spot,11,Image 1,1,Untracked,1000002190,2190,
153.396,,Spot,11,Image 1,1,Untracked,1000002197,2197,
132.361,,Spot,11,Image 1,1,Untracked,1000002199,2199,
4.79835,,Spot,11,Image 1,1,Untracked,1000002249,2249,
30.1567,,Spot,11,Image 1,1,Untracked,1000002251,2251,
0,,Spot,11,Image 1,1,Untracked,1000002252,2252,
0,,Spot,11,Image 1,1,Untracked,1000002253,2253,
11.5967,,Spot,11,Image 1,1,Untracked,1000002254,2254,
