
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,Set 1,TrackID,ID,
0,um,Spot,1,Untrecked,1000000001,1,
0,um,Spot,1,Untrecked,1000000002,2,
0,um,Spot,1,Untrecked,1000000003,3,
0,um,Spot,1,,1000000004,4,
0,um,Spot,1,Untrecked,1000000005,5,
0,um,Spot,1,Tracked,1000000006,6,
0,um,Spot,1,Tracked,1000000007,7,
0,um,Spot,1,Tracked,1000000008,8,
0,um,Spot,1,Tracked,1000000009,9,
0,um,Spot,1,Untrecked,1000000010,10,
0,um,Spot,1,Untrecked,1000000011,11,
0,um,Spot,1,Untrecked,1000000012,12,
0,um,Spot,1,Untrecked,1000000013,13,
0,um,Spot,1,Untrecked,1000000016,16,
0,um,Spot,1,,1000000017,17,
0,um,Spot,1,,1000000018,18,
0,um,Spot,1,Untrecked,1000000019,19,
0,um,Spot,1,Untrecked,1000000021,21,
0,um,Spot,1,Untrecked,1000000022,22,
0,um,Spot,1,Untrecked,1000000023,23,
0,um,Spot,1,Untrecked,1000000024,24,
0,um,Spot,1,Untrecked,1000000025,25,
0,um,Spot,1,Tracked,1000000026,26,
0,um,Spot,1,Untrecked,1000000027,27,
0,um,Spot,1,Untrecked,1000000028,28,
0,um,Spot,1,Untrecked,1000000029,29,
0,um,Spot,1,Untrecked,1000000030,30,
0,um,Spot,1,Tracked,1000000034,34,
0,um,Spot,1,Untrecked,1000000035,35,
0,um,Spot,1,Untrecked,1000000036,36,
0,um,Spot,1,Untrecked,1000000037,37,
0,um,Spot,1,Untrecked,1000000038,38,
0,um,Spot,1,Tracked,1000000045,45,
0,um,Spot,1,Tracked,1000000046,46,
0,um,Spot,1,Tracked,1000000047,47,
0,um,Spot,1,Tracked,1000000048,48,
0,um,Spot,1,Tracked,1000000049,49,
0,um,Spot,1,Tracked,1000000051,51,
0,um,Spot,1,Tracked,1000000052,52,
0,um,Spot,1,Tracked,1000000053,53,
0,um,Spot,1,Tracked,1000000054,54,
0,um,Spot,1,Untrecked,1000000055,55,
0,um,Spot,1,Untrecked,1000000056,56,
0,um,Spot,1,Tracked,1000000057,57,
0,um,Spot,1,Untrecked,1000000058,58,
0,um,Spot,1,Untrecked,1000000060,60,
0,um,Spot,1,,1000000061,61,
0,um,Spot,1,Untrecked,1000000062,62,
0,um,Spot,1,Untrecked,1000000063,63,
0,um,Spot,1,Tracked,1000000064,64,
0,um,Spot,1,Untrecked,1000000065,65,
0,um,Spot,1,Untrecked,1000000066,66,
0,um,Spot,1,Untrecked,1000000068,68,
0,um,Spot,1,Untrecked,1000000069,69,
0,um,Spot,1,Tracked,1000000070,70,
0,um,Spot,1,Untrecked,1000000071,71,
0,um,Spot,1,Tracked,1000000073,73,
0,um,Spot,1,,1000000074,74,
0,um,Spot,1,Untrecked,1000000076,76,
0,um,Spot,1,Untrecked,1000000077,77,
0,um,Spot,1,,1000000078,78,
0,um,Spot,1,Untrecked,1000000079,79,
0,um,Spot,1,Untrecked,1000000080,80,
0,um,Spot,1,Tracked,1000000081,81,
0,um,Spot,1,Untrecked,1000000083,83,
0,um,Spot,1,Untrecked,1000000084,84,
0,um,Spot,1,Tracked,1000000088,88,
0,um,Spot,1,Tracked,1000000089,89,
0,um,Spot,1,Tracked,1000000090,90,
0,um,Spot,1,Tracked,1000000092,92,
0,um,Spot,1,Tracked,1000000094,94,
0,um,Spot,1,Tracked,1000000095,95,
0,um,Spot,1,Tracked,1000000096,96,
0,um,Spot,1,Tracked,1000000097,97,
0,um,Spot,1,Untrecked,1000000104,104,
0,um,Spot,1,Tracked,1000000105,105,
0,um,Spot,1,Untrecked,1000000108,108,
0,um,Spot,1,Untrecked,1000000111,111,
0,um,Spot,1,Untrecked,1000000112,112,
0,um,Spot,1,,1000000113,113,
0,um,Spot,1,Untrecked,1000000114,114,
0,um,Spot,1,Untrecked,1000000115,115,
0,um,Spot,1,Tracked,1000000116,116,
0,um,Spot,1,Untrecked,1000000117,117,
0,um,Spot,1,Untrecked,1000000118,118,
0,um,Spot,1,Untrecked,1000000120,120,
0,um,Spot,1,Untrecked,1000000121,121,
0,um,Spot,1,Untrecked,1000000124,124,
0,um,Spot,1,Untrecked,1000000125,125,
0,um,Spot,1,,1000000127,127,
0,um,Spot,1,Untrecked,1000000128,128,
0,um,Spot,1,Untrecked,1000000129,129,
0,um,Spot,1,Untrecked,1000000130,130,
0,um,Spot,1,,1000000133,133,
0,um,Spot,1,Untrecked,1000000136,136,
0,um,Spot,1,Untrecked,1000000137,137,
0,um,Spot,1,Untrecked,1000000138,138,
0,um,Spot,1,Untrecked,1000000140,140,
0,um,Spot,1,Untrecked,1000000141,141,
0,um,Spot,1,Untrecked,1000000143,143,
0,um,Spot,1,Untrecked,1000000144,144,
0,um,Spot,1,Untrecked,1000000145,145,
0,um,Spot,1,Untrecked,1000000146,146,
0,um,Spot,1,Untrecked,1000000147,147,
0,um,Spot,1,Untrecked,1000000148,148,
0,um,Spot,1,Untrecked,1000000149,149,
0,um,Spot,1,Untrecked,1000000150,150,
0,um,Spot,1,Untrecked,1000000151,151,
0,um,Spot,1,Untrecked,1000000159,159,
0,um,Spot,1,Untrecked,1000000160,160,
0,um,Spot,1,Untrecked,1000000162,162,
0,um,Spot,1,Tracked,1000000166,166,
0,um,Spot,1,Untrecked,1000000168,168,
0,um,Spot,1,Untrecked,1000000170,170,
0,um,Spot,1,Tracked,1000000178,178,
0,um,Spot,1,Tracked,1000000180,180,
0,um,Spot,1,Tracked,1000000181,181,
0,um,Spot,1,Tracked,1000000182,182,
0,um,Spot,1,Tracked,1000000183,183,
0,um,Spot,1,,1000000186,186,
0,um,Spot,1,Untrecked,1000000187,187,
0,um,Spot,1,Untrecked,1000000188,188,
0,um,Spot,1,Tracked,1000000189,189,
0,um,Spot,1,Untrecked,1000000190,190,
0,um,Spot,1,Untrecked,1000000191,191,
0,um,Spot,1,,1000000193,193,
0,um,Spot,1,Untrecked,1000000195,195,
0,um,Spot,1,Tracked,1000000196,196,
0,um,Spot,1,Untrecked,1000000197,197,
0,um,Spot,1,Untrecked,1000000198,198,
0,um,Spot,1,Tracked,1000000199,199,
0,um,Spot,1,Untrecked,1000000201,201,
0,um,Spot,1,Tracked,1000000204,204,
0,um,Spot,1,Tracked,1000000208,208,
0,um,Spot,1,Tracked,1000000209,209,
0,um,Spot,1,Tracked,1000000210,210,
0,um,Spot,1,Untrecked,1000000212,212,
0,um,Spot,1,Untrecked,1000000213,213,
0,um,Spot,1,Untrecked,1000000215,215,
0,um,Spot,1,Untrecked,1000000216,216,
0,um,Spot,1,Untrecked,1000000218,218,
0,um,Spot,1,Untrecked,1000000221,221,
0,um,Spot,1,Untrecked,1000000222,222,
0,um,Spot,1,Untrecked,1000000223,223,
0,um,Spot,1,Untrecked,1000000224,224,
0,um,Spot,1,,1000000226,226,
0,um,Spot,1,Untrecked,1000000227,227,
0,um,Spot,1,Untrecked,1000000228,228,
0,um,Spot,1,Untrecked,1000000229,229,
0,um,Spot,1,Untrecked,1000000230,230,
0,um,Spot,1,Untrecked,1000000231,231,
0,um,Spot,1,Untrecked,1000000234,234,
0,um,Spot,1,,1000000235,235,
0,um,Spot,1,Untrecked,1000000240,240,
0,um,Spot,1,Untrecked,1000000241,241,
0,um,Spot,1,Untrecked,1000000242,242,
0,um,Spot,1,Untrecked,1000000243,243,
