
Intensity Min Ch=7 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
0,,Spot,7,Image 1,1,Untrecked,1000000001,1,
0,,Spot,7,Image 1,1,Untrecked,1000000002,2,
0,,Spot,7,Image 1,1,Untrecked,1000000003,3,
0,,Spot,7,Image 1,1,,1000000004,4,
0,,Spot,7,Image 1,1,Untrecked,1000000005,5,
0,,Spot,7,Image 1,1,Tracked,1000000006,6,
0,,Spot,7,Image 1,1,Tracked,1000000007,7,
0,,Spot,7,Image 1,1,Tracked,1000000008,8,
0,,Spot,7,Image 1,1,Tracked,1000000009,9,
0,,Spot,7,Image 1,1,Untrecked,1000000010,10,
0,,Spot,7,Image 1,1,Untrecked,1000000011,11,
0,,Spot,7,Image 1,1,Untrecked,1000000012,12,
0,,Spot,7,Image 1,1,Untrecked,1000000013,13,
0,,Spot,7,Image 1,1,Untrecked,1000000016,16,
0,,Spot,7,Image 1,1,,1000000017,17,
0,,Spot,7,Image 1,1,,1000000018,18,
0,,Spot,7,Image 1,1,Untrecked,1000000019,19,
0,,Spot,7,Image 1,1,Untrecked,1000000021,21,
0,,Spot,7,Image 1,1,Untrecked,1000000022,22,
0,,Spot,7,Image 1,1,Untrecked,1000000023,23,
0,,Spot,7,Image 1,1,Untrecked,1000000024,24,
0,,Spot,7,Image 1,1,Untrecked,1000000025,25,
0,,Spot,7,Image 1,1,Tracked,1000000026,26,
0,,Spot,7,Image 1,1,Untrecked,1000000027,27,
0,,Spot,7,Image 1,1,Untrecked,1000000028,28,
0,,Spot,7,Image 1,1,Untrecked,1000000029,29,
0,,Spot,7,Image 1,1,Untrecked,1000000030,30,
0,,Spot,7,Image 1,1,Tracked,1000000034,34,
0,,Spot,7,Image 1,1,Untrecked,1000000035,35,
0,,Spot,7,Image 1,1,Untrecked,1000000036,36,
0,,Spot,7,Image 1,1,Untrecked,1000000037,37,
0,,Spot,7,Image 1,1,Untrecked,1000000038,38,
0,,Spot,7,Image 1,1,Tracked,1000000045,45,
0,,Spot,7,Image 1,1,Tracked,1000000046,46,
0,,Spot,7,Image 1,1,Tracked,1000000047,47,
0,,Spot,7,Image 1,1,Tracked,1000000048,48,
0,,Spot,7,Image 1,1,Tracked,1000000049,49,
0,,Spot,7,Image 1,1,Tracked,1000000051,51,
0,,Spot,7,Image 1,1,Tracked,1000000052,52,
0,,Spot,7,Image 1,1,Tracked,1000000053,53,
0,,Spot,7,Image 1,1,Tracked,1000000054,54,
0,,Spot,7,Image 1,1,Untrecked,1000000055,55,
0,,Spot,7,Image 1,1,Untrecked,1000000056,56,
0,,Spot,7,Image 1,1,Tracked,1000000057,57,
0,,Spot,7,Image 1,1,Untrecked,1000000058,58,
0,,Spot,7,Image 1,1,Untrecked,1000000060,60,
0,,Spot,7,Image 1,1,,1000000061,61,
0,,Spot,7,Image 1,1,Untrecked,1000000062,62,
0,,Spot,7,Image 1,1,Untrecked,1000000063,63,
0,,Spot,7,Image 1,1,Tracked,1000000064,64,
0,,Spot,7,Image 1,1,Untrecked,1000000065,65,
0,,Spot,7,Image 1,1,Untrecked,1000000066,66,
0,,Spot,7,Image 1,1,Untrecked,1000000068,68,
0,,Spot,7,Image 1,1,Untrecked,1000000069,69,
0,,Spot,7,Image 1,1,Tracked,1000000070,70,
0,,Spot,7,Image 1,1,Untrecked,1000000071,71,
0,,Spot,7,Image 1,1,Tracked,1000000073,73,
0,,Spot,7,Image 1,1,,1000000074,74,
0,,Spot,7,Image 1,1,Untrecked,1000000076,76,
0,,Spot,7,Image 1,1,Untrecked,1000000077,77,
0,,Spot,7,Image 1,1,,1000000078,78,
0,,Spot,7,Image 1,1,Untrecked,1000000079,79,
0,,Spot,7,Image 1,1,Untrecked,1000000080,80,
0,,Spot,7,Image 1,1,Tracked,1000000081,81,
0,,Spot,7,Image 1,1,Untrecked,1000000083,83,
0,,Spot,7,Image 1,1,Untrecked,1000000084,84,
0,,Spot,7,Image 1,1,Tracked,1000000088,88,
0,,Spot,7,Image 1,1,Tracked,1000000089,89,
0,,Spot,7,Image 1,1,Tracked,1000000090,90,
0,,Spot,7,Image 1,1,Tracked,1000000092,92,
0,,Spot,7,Image 1,1,Tracked,1000000094,94,
0,,Spot,7,Image 1,1,Tracked,1000000095,95,
0,,Spot,7,Image 1,1,Tracked,1000000096,96,
0,,Spot,7,Image 1,1,Tracked,1000000097,97,
0,,Spot,7,Image 1,1,Untrecked,1000000104,104,
0,,Spot,7,Image 1,1,Tracked,1000000105,105,
0,,Spot,7,Image 1,1,Untrecked,1000000108,108,
0,,Spot,7,Image 1,1,Untrecked,1000000111,111,
0,,Spot,7,Image 1,1,Untrecked,1000000112,112,
0,,Spot,7,Image 1,1,,1000000113,113,
0,,Spot,7,Image 1,1,Untrecked,1000000114,114,
0,,Spot,7,Image 1,1,Untrecked,1000000115,115,
0,,Spot,7,Image 1,1,Tracked,1000000116,116,
0,,Spot,7,Image 1,1,Untrecked,1000000117,117,
0,,Spot,7,Image 1,1,Untrecked,1000000118,118,
0,,Spot,7,Image 1,1,Untrecked,1000000120,120,
0,,Spot,7,Image 1,1,Untrecked,1000000121,121,
0,,Spot,7,Image 1,1,Untrecked,1000000124,124,
0,,Spot,7,Image 1,1,Untrecked,1000000125,125,
0,,Spot,7,Image 1,1,,1000000127,127,
0,,Spot,7,Image 1,1,Untrecked,1000000128,128,
0,,Spot,7,Image 1,1,Untrecked,1000000129,129,
0,,Spot,7,Image 1,1,Untrecked,1000000130,130,
0,,Spot,7,Image 1,1,,1000000133,133,
0,,Spot,7,Image 1,1,Untrecked,1000000136,136,
0,,Spot,7,Image 1,1,Untrecked,1000000137,137,
0,,Spot,7,Image 1,1,Untrecked,1000000138,138,
0,,Spot,7,Image 1,1,Untrecked,1000000140,140,
0,,Spot,7,Image 1,1,Untrecked,1000000141,141,
0,,Spot,7,Image 1,1,Untrecked,1000000143,143,
0,,Spot,7,Image 1,1,Untrecked,1000000144,144,
0,,Spot,7,Image 1,1,Untrecked,1000000145,145,
0,,Spot,7,Image 1,1,Untrecked,1000000146,146,
0,,Spot,7,Image 1,1,Untrecked,1000000147,147,
0,,Spot,7,Image 1,1,Untrecked,1000000148,148,
0,,Spot,7,Image 1,1,Untrecked,1000000149,149,
0,,Spot,7,Image 1,1,Untrecked,1000000150,150,
0,,Spot,7,Image 1,1,Untrecked,1000000151,151,
