
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Set 1,TrackID,ID,
628.79,1115.37,3833.85,um,Spot,Position,1,,1000000004,4,
651.732,1135.65,3827,um,Spot,Position,1,,1000000017,17,
575.919,1211.54,3826.63,um,Spot,Position,1,,1000000018,18,
576.406,1027.67,3843.96,um,Spot,Position,1,,1000000061,61,
621.194,1109.7,3858.87,um,Spot,Position,1,,1000000074,74,
587.612,1044.42,3861.75,um,Spot,Position,1,,1000000078,78,
548.361,1216.58,3853.49,um,Spot,Position,1,,1000000113,113,
425.626,1253.43,3842.65,um,Spot,Position,1,,1000000127,127,
534.414,1252.32,3860.98,um,Spot,Position,1,,1000000133,133,
561.655,1025.04,3871.1,um,Spot,Position,1,,1000000186,186,
586.494,1037.21,3879.69,um,Spot,Position,1,,1000000193,193,
610.167,1124.64,3898.56,um,Spot,Position,1,,1000000226,226,
445.849,1260.6,3873.8,um,Spot,Position,1,,1000000235,235,
611.816,1113.46,3906.57,um,Spot,Position,1,,1000000272,272,
550.877,1213.67,3910.66,um,Spot,Position,1,,1000000301,301,
451.756,1231.71,3840.34,um,Spot,Position,1,,1000007062,7062,
396.372,1118.9,3824.93,um,Spot,Position,1,Tracked,1000000006,6,
414.809,1132.2,3830.67,um,Spot,Position,1,Tracked,1000000007,7,
491.659,1168.57,3833.19,um,Spot,Position,1,Tracked,1000000008,8,
515.185,1162.74,3834.27,um,Spot,Position,1,Tracked,1000000009,9,
542.441,1229.84,3834.1,um,Spot,Position,1,Tracked,1000000026,26,
500.025,986.37,3860.37,um,Spot,Position,1,Tracked,1000000034,34,
474.786,1029.03,3842.69,um,Spot,Position,1,Tracked,1000000045,45,
487.435,1111.59,3844.72,um,Spot,Position,1,Tracked,1000000046,46,
502.117,992.576,3846.57,um,Spot,Position,1,Tracked,1000000047,47,
531.19,1031.08,3846.53,um,Spot,Position,1,Tracked,1000000048,48,
509.173,1013.89,3848.31,um,Spot,Position,1,Tracked,1000000049,49,
529.305,1000.73,3856.69,um,Spot,Position,1,Tracked,1000000051,51,
513.13,1010.3,3857.99,um,Spot,Position,1,Tracked,1000000052,52,
489.26,1070.28,3864.91,um,Spot,Position,1,Tracked,1000000053,53,
535.212,1023.95,3866.68,um,Spot,Position,1,Tracked,1000000054,54,
597.733,1106.52,3839.67,um,Spot,Position,1,Tracked,1000000057,57,
542.46,1099.4,3847.12,um,Spot,Position,1,Tracked,1000000064,64,
570.521,1066.98,3856.72,um,Spot,Position,1,Tracked,1000000070,70,
578.135,1092.18,3858.58,um,Spot,Position,1,Tracked,1000000073,73,
570.136,1038.66,3865.32,um,Spot,Position,1,Tracked,1000000081,81,
435.784,1127.38,3836.46,um,Spot,Position,1,Tracked,1000000088,88,
441.15,1221.37,3835.41,um,Spot,Position,1,Tracked,1000000089,89,
504.268,1135.42,3842.2,um,Spot,Position,1,Tracked,1000000090,90,
473.352,1212.78,3848.3,um,Spot,Position,1,Tracked,1000000092,92,
525.49,1203.87,3856.51,um,Spot,Position,1,Tracked,1000000094,94,
513.306,1231.12,3858.5,um,Spot,Position,1,Tracked,1000000095,95,
533.749,1124.75,3859.89,um,Spot,Position,1,Tracked,1000000096,96,
501.839,1132.12,3859.53,um,Spot,Position,1,Tracked,1000000097,97,
572.244,1178.87,3845.15,um,Spot,Position,1,Tracked,1000000105,105,
551.396,1117.33,3859.29,um,Spot,Position,1,Tracked,1000000116,116,
524.565,976.036,3891.96,um,Spot,Position,1,Tracked,1000000166,166,
536.885,1052.63,3870.73,um,Spot,Position,1,Tracked,1000000178,178,
515.54,1087.53,3875.44,um,Spot,Position,1,Tracked,1000000180,180,
537.483,1099.74,3879.13,um,Spot,Position,1,Tracked,1000000181,181,
528.052,1007.16,3881.38,um,Spot,Position,1,Tracked,1000000182,182,
511.27,1075.21,3882.76,um,Spot,Position,1,Tracked,1000000183,183,
581.789,1109.68,3872.16,um,Spot,Position,1,Tracked,1000000189,189,
571.046,1049.61,3887.49,um,Spot,Position,1,Tracked,1000000196,196,
544.922,1012.86,3894.41,um,Spot,Position,1,Tracked,1000000199,199,
506.818,1127.44,3874.59,um,Spot,Position,1,Tracked,1000000204,204,
480.656,1207.63,3887.97,um,Spot,Position,1,Tracked,1000000208,208,
487.345,1222.57,3897.57,um,Spot,Position,1,Tracked,1000000209,209,
577.988,1120.58,3870.61,um,Spot,Position,1,Tracked,1000000210,210,
524.81,1108.53,3920.4,um,Spot,Position,1,Tracked,1000000265,265,
553.776,1041.04,3901.54,um,Spot,Position,1,Tracked,1000000267,267,
559.125,1085.11,3906.18,um,Spot,Position,1,Tracked,1000000271,271,
537.714,1189.83,3905.04,um,Spot,Position,1,Tracked,1000000292,292,
533.968,1034.7,3938.34,um,Spot,Position,1,Tracked,1000007086,7086,
658.744,1104.52,3825.11,um,Spot,Position,1,Untrecked,1000000001,1,
638.928,1064.69,3827.33,um,Spot,Position,1,Untrecked,1000000002,2,
663.14,1040.09,3834.91,um,Spot,Position,1,Untrecked,1000000003,3,
674.802,1110.21,3822.04,um,Spot,Position,1,Untrecked,1000000005,5,
629.337,1196.6,3804.2,um,Spot,Position,1,Untrecked,1000000010,10,
595.791,1199.4,3814.86,um,Spot,Position,1,Untrecked,1000000011,11,
642.351,1121.18,3819.07,um,Spot,Position,1,Untrecked,1000000012,12,
616.609,1198.18,3821.04,um,Spot,Position,1,Untrecked,1000000013,13,
648.836,1240.44,3824.52,um,Spot,Position,1,Untrecked,1000000016,16,
564.559,1224.94,3828.46,um,Spot,Position,1,Untrecked,1000000019,19,
658.663,1160.38,3830.03,um,Spot,Position,1,Untrecked,1000000021,21,
594.345,1197.17,3831.83,um,Spot,Position,1,Untrecked,1000000022,22,
653.423,1170.92,3834.94,um,Spot,Position,1,Untrecked,1000000023,23,
654.167,1182.31,3833.64,um,Spot,Position,1,Untrecked,1000000024,24,
655.387,1193.75,3834.82,um,Spot,Position,1,Untrecked,1000000025,25,
668.714,1127.69,3822.62,um,Spot,Position,1,Untrecked,1000000027,27,
675.811,1149.89,3823.18,um,Spot,Position,1,Untrecked,1000000028,28,
673.451,1204.16,3831.09,um,Spot,Position,1,Untrecked,1000000029,29,
390.238,1288.19,3830.23,um,Spot,Position,1,Untrecked,1000000030,30,
603.105,980.263,3844.46,um,Spot,Position,1,Untrecked,1000000035,35,
664.994,918.299,3848.6,um,Spot,Position,1,Untrecked,1000000036,36,
596.083,977.843,3847.6,um,Spot,Position,1,Untrecked,1000000037,37,
621.1,974.331,3851.31,um,Spot,Position,1,Untrecked,1000000038,38,
630.712,1100.58,3837.53,um,Spot,Position,1,Untrecked,1000000055,55,
664.988,1024.02,3840.03,um,Spot,Position,1,Untrecked,1000000056,56,
646.087,1109.14,3839.8,um,Spot,Position,1,Untrecked,1000000058,58,
659.015,1065.16,3842.7,um,Spot,Position,1,Untrecked,1000000060,60,
632.42,1045.79,3844.46,um,Spot,Position,1,Untrecked,1000000062,62,
609.238,1010.6,3846.25,um,Spot,Position,1,Untrecked,1000000063,63,
617.761,1058.31,3852.45,um,Spot,Position,1,Untrecked,1000000065,65,
628.036,1082.29,3852.42,um,Spot,Position,1,Untrecked,1000000066,66,
655.733,1098.11,3854.71,um,Spot,Position,1,Untrecked,1000000068,68,
