
Intensity Mean Ch=7 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
73.3636,,Spot,7,Image 1,1,,1000000003,3,
107.611,,Spot,7,Image 1,1,Tracked,1000000005,5,
127.781,,Spot,7,Image 1,1,Untracked,1000000010,10,
115.542,,Spot,7,Image 1,1,Untracked,1000000011,11,
118.128,,Spot,7,Image 1,1,Untracked,1000000012,12,
90.2313,,Spot,7,Image 1,1,Untracked,1000000013,13,
117.985,,Spot,7,Image 1,1,Untracked,1000000014,14,
145.799,,Spot,7,Image 1,1,Tracked,1000000016,16,
106.816,,Spot,7,Image 1,1,Untracked,1000000018,18,
198.027,,Spot,7,Image 1,1,Untracked,1000000020,20,
194.582,,Spot,7,Image 1,1,Tracked,1000000021,21,
162.61,,Spot,7,Image 1,1,Tracked,1000000022,22,
102.546,,Spot,7,Image 1,1,Tracked,1000000023,23,
164.093,,Spot,7,Image 1,1,Untracked,1000000024,24,
121.537,,Spot,7,Image 1,1,Untracked,1000000026,26,
105.498,,Spot,7,Image 1,1,Untracked,1000000027,27,
122.183,,Spot,7,Image 1,1,Untracked,1000000028,28,
136.46,,Spot,7,Image 1,1,Untracked,1000000029,29,
165.242,,Spot,7,Image 1,1,Untracked,1000000030,30,
116.365,,Spot,7,Image 1,1,Untracked,1000000031,31,
90.1245,,Spot,7,Image 1,1,Untracked,1000000033,33,
203.482,,Spot,7,Image 1,1,Untracked,1000000034,34,
124.781,,Spot,7,Image 1,1,Untracked,1000000037,37,
115.072,,Spot,7,Image 1,1,Untracked,1000000038,38,
216.76,,Spot,7,Image 1,1,Tracked,1000000041,41,
114.787,,Spot,7,Image 1,1,Untracked,1000000042,42,
217.093,,Spot,7,Image 1,1,Untracked,1000000044,44,
132.192,,Spot,7,Image 1,1,Tracked,1000000045,45,
137.981,,Spot,7,Image 1,1,Tracked,1000000046,46,
126.887,,Spot,7,Image 1,1,Untracked,1000000047,47,
127.361,,Spot,7,Image 1,1,Untracked,1000000048,48,
99.2386,,Spot,7,Image 1,1,Tracked,1000000051,51,
117.756,,Spot,7,Image 1,1,Tracked,1000000052,52,
110.213,,Spot,7,Image 1,1,Tracked,1000000053,53,
125.951,,Spot,7,Image 1,1,Tracked,1000000054,54,
125.198,,Spot,7,Image 1,1,Tracked,1000000056,56,
161.046,,Spot,7,Image 1,1,Untracked,1000000061,61,
133.936,,Spot,7,Image 1,1,Untracked,1000000063,63,
144.675,,Spot,7,Image 1,1,Untracked,1000000064,64,
106.815,,Spot,7,Image 1,1,Untracked,1000000065,65,
67.1527,,Spot,7,Image 1,1,Untracked,1000000066,66,
127.673,,Spot,7,Image 1,1,Untracked,1000000067,67,
157.086,,Spot,7,Image 1,1,Untracked,1000000068,68,
102.377,,Spot,7,Image 1,1,Untracked,1000000071,71,
74.692,,Spot,7,Image 1,1,Untracked,1000000072,72,
96.9772,,Spot,7,Image 1,1,,1000000073,73,
87.3184,,Spot,7,Image 1,1,,1000000082,82,
81.1818,,Spot,7,Image 1,1,,1000000084,84,
65.7358,,Spot,7,Image 1,1,Untracked,1000000088,88,
99.4659,,Spot,7,Image 1,1,Untracked,1000000089,89,
80.6489,,Spot,7,Image 1,1,Untracked,1000000091,91,
113.115,,Spot,7,Image 1,1,Untracked,1000000092,92,
91.1344,,Spot,7,Image 1,1,Tracked,1000000094,94,
126.391,,Spot,7,Image 1,1,Untracked,1000000096,96,
106.841,,Spot,7,Image 1,1,Tracked,1000000102,102,
107.787,,Spot,7,Image 1,1,Tracked,1000000105,105,
105.061,,Spot,7,Image 1,1,Untracked,1000000106,106,
124.812,,Spot,7,Image 1,1,Untracked,1000000107,107,
86.2786,,Spot,7,Image 1,1,Untracked,1000000108,108,
171.371,,Spot,7,Image 1,1,Untracked,1000000111,111,
117.04,,Spot,7,Image 1,1,Untracked,1000000112,112,
97.9302,,Spot,7,Image 1,1,Untracked,1000000114,114,
122.42,,Spot,7,Image 1,1,Untracked,1000000115,115,
125.5,,Spot,7,Image 1,1,Untracked,1000000116,116,
94.8359,,Spot,7,Image 1,1,Untracked,1000000120,120,
102.147,,Spot,7,Image 1,1,Untracked,1000000121,121,
97.0787,,Spot,7,Image 1,1,Untracked,1000000122,122,
114.894,,Spot,7,Image 1,1,Untracked,1000000123,123,
130.553,,Spot,7,Image 1,1,Tracked,1000000124,124,
97.1412,,Spot,7,Image 1,1,Tracked,1000000125,125,
168.087,,Spot,7,Image 1,1,Tracked,1000000126,126,
94.0682,,Spot,7,Image 1,1,Untracked,1000000127,127,
126.303,,Spot,7,Image 1,1,Tracked,1000000128,128,
105.805,,Spot,7,Image 1,1,Tracked,1000000130,130,
135.736,,Spot,7,Image 1,1,Tracked,1000000131,131,
108.927,,Spot,7,Image 1,1,Tracked,1000000133,133,
144.06,,Spot,7,Image 1,1,Tracked,1000000134,134,
140.521,,Spot,7,Image 1,1,Tracked,1000000135,135,
108.004,,Spot,7,Image 1,1,Tracked,1000000137,137,
123.942,,Spot,7,Image 1,1,Tracked,1000000139,139,
110.389,,Spot,7,Image 1,1,Tracked,1000000140,140,
107.032,,Spot,7,Image 1,1,Tracked,1000000145,145,
142.625,,Spot,7,Image 1,1,Untracked,1000000150,150,
116.082,,Spot,7,Image 1,1,Untracked,1000000151,151,
125.119,,Spot,7,Image 1,1,Untracked,1000000152,152,
114.563,,Spot,7,Image 1,1,Untracked,1000000155,155,
120.925,,Spot,7,Image 1,1,Untracked,1000000156,156,
135.585,,Spot,7,Image 1,1,Untracked,1000000159,159,
123.615,,Spot,7,Image 1,1,Untracked,1000000161,161,
126.654,,Spot,7,Image 1,1,Untracked,1000000162,162,
133.836,,Spot,7,Image 1,1,Untracked,1000000163,163,
101.299,,Spot,7,Image 1,1,Untracked,1000000164,164,
125.969,,Spot,7,Image 1,1,Untracked,1000000166,166,
139.37,,Spot,7,Image 1,1,,1000000172,172,
123.474,,Spot,7,Image 1,1,Untracked,1000000175,175,
104.292,,Spot,7,Image 1,1,Tracked,1000000178,178,
193.011,,Spot,7,Image 1,1,Tracked,1000000179,179,
122.69,,Spot,7,Image 1,1,Tracked,1000000191,191,
125.708,,Spot,7,Image 1,1,Untracked,1000000199,199,
116.743,,Spot,7,Image 1,1,Untracked,1000000201,201,
125.566,,Spot,7,Image 1,1,Untracked,1000000202,202,
116.122,,Spot,7,Image 1,1,Untracked,1000000203,203,
125.746,,Spot,7,Image 1,1,Untracked,1000000204,204,
118.91,,Spot,7,Image 1,1,Untracked,1000000205,205,
110.247,,Spot,7,Image 1,1,Untracked,1000000208,208,
150,,Spot,7,Image 1,1,Untracked,1000000212,212,
118.852,,Spot,7,Image 1,1,Tracked,1000000216,216,
103.117,,Spot,7,Image 1,1,Tracked,1000000217,217,
103.094,,Spot,7,Image 1,1,Tracked,1000000218,218,
122.492,,Spot,7,Image 1,1,Untracked,1000000219,219,
133.371,,Spot,7,Image 1,1,Untracked,1000000251,251,
138.698,,Spot,7,Image 1,1,Untracked,1000000254,254,
108.615,,Spot,7,Image 1,1,Untracked,1000000257,257,
126.996,,Spot,7,Image 1,1,Tracked,1000000262,262,
107.787,,Spot,7,Image 1,1,Untracked,1000000268,268,
119.631,,Spot,7,Image 1,1,Tracked,1000000272,272,
143.63,,Spot,7,Image 1,1,Untracked,1000000284,284,
110.034,,Spot,7,Image 1,1,Untracked,1000000285,285,
110.955,,Spot,7,Image 1,1,Untracked,1000000289,289,
102.508,,Spot,7,Image 1,1,Tracked,1000000309,309,
115.906,,Spot,7,Image 1,1,Untracked,1000000314,314,
130.337,,Spot,7,Image 1,1,Untracked,1000000316,316,
130.595,,Spot,7,Image 1,1,Untracked,1000000317,317,
146.9,,Spot,7,Image 1,1,Untracked,1000000323,323,
107.771,,Spot,7,Image 1,1,Untracked,1000000324,324,
111.824,,Spot,7,Image 1,1,Untracked,1000000325,325,
114.365,,Spot,7,Image 1,1,Untracked,1000000379,379,
90.0185,,Spot,7,Image 1,1,Tracked,1000006624,6624,
114.202,,Spot,7,Image 1,1,Tracked,1000006651,6651,
118.755,,Spot,7,Image 1,1,Tracked,1000006677,6677,
123.929,,Spot,7,Image 1,1,Tracked,1000006690,6690,
108.314,,Spot,7,Image 1,1,Tracked,1000006703,6703,
47.634,,Spot,7,Image 1,2,,1000000003,6704,
177.16,,Spot,7,Image 1,2,,1000006705,6705,
98.3232,,Spot,7,Image 1,2,Untracked,1000000010,6706,
79.25,,Spot,7,Image 1,2,Untracked,1000000013,6707,
150.055,,Spot,7,Image 1,2,Tracked,1000000016,6708,
87.7143,,Spot,7,Image 1,2,Untracked,1000000018,6709,
152.9,,Spot,7,Image 1,2,Tracked,1000000022,6710,
138.375,,Spot,7,Image 1,2,Untracked,1000000024,6711,
101.376,,Spot,7,Image 1,2,Untracked,1000000026,6712,
96.2214,,Spot,7,Image 1,2,Untracked,1000000027,6713,
95.7865,,Spot,7,Image 1,2,Untracked,1000000028,6714,
124.314,,Spot,7,Image 1,2,Untracked,1000000029,6715,
151.461,,Spot,7,Image 1,2,Untracked,1000006716,6716,
118.978,,Spot,7,Image 1,2,Untracked,1000000030,6717,
91.7704,,Spot,7,Image 1,2,Untracked,1000000033,6718,
108.349,,Spot,7,Image 1,2,Untracked,1000000031,6719,
185.434,,Spot,7,Image 1,2,Untracked,1000000034,6720,
119.649,,Spot,7,Image 1,2,Untracked,1000000042,6721,
107.487,,Spot,7,Image 1,2,Tracked,1000000045,6722,
151.899,,Spot,7,Image 1,2,Untracked,1000000044,6723,
114.135,,Spot,7,Image 1,2,Untracked,1000000047,6724,
124.887,,Spot,7,Image 1,2,Tracked,1000000046,6725,
107.167,,Spot,7,Image 1,2,Untracked,1000000048,6726,
94.4129,,Spot,7,Image 1,2,Tracked,1000000052,6727,
81.4885,,Spot,7,Image 1,2,Tracked,1000000053,6728,
105.464,,Spot,7,Image 1,2,Tracked,1000000054,6729,
91.8517,,Spot,7,Image 1,2,Tracked,1000000178,6730,
