
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Set 1,TrackID,ID,
1537.2,1471.31,5089,µm,Spot,Position,1,Tracked,1000003222,3222,
1535.24,1462.09,5131,µm,Spot,Position,1,Tracked,1000003234,3234,
1543.87,1425.86,5125,µm,Spot,Position,1,Tracked,1000003246,3246,
1561.83,1428.57,5115,µm,Spot,Position,1,Tracked,1000003258,3258,
1530.62,1463.83,5169,µm,Spot,Position,1,Tracked,1000003270,3270,
1494.01,1422.01,5091,µm,Spot,Position,1,Tracked,1000003281,3281,
1510.91,1430.19,5105,µm,Spot,Position,1,Tracked,1000003293,3293,
1522.5,1437.24,5089,µm,Spot,Position,1,Tracked,1000003305,3305,
1496.71,1481.96,5165,µm,Spot,Position,1,Tracked,1000003317,3317,
1530.05,1504.8,5109,µm,Spot,Position,1,Tracked,1000003328,3328,
1525.06,1514.18,5151,µm,Spot,Position,1,Tracked,1000003339,3339,
1455.88,1525.4,5145,µm,Spot,Position,1,Tracked,1000003349,3349,
1418.18,1516.83,5081,µm,Spot,Position,1,Tracked,1000003359,3359,
1420.51,1460.45,5125,µm,Spot,Position,1,Tracked,1000003370,3370,
1404.35,1479.43,5089,µm,Spot,Position,1,Tracked,1000003382,3382,
1412.52,1450.28,5092.92,µm,Spot,Position,1,Tracked,1000003394,3394,
1493.67,1420.45,5117.52,µm,Spot,Position,1,Tracked,1000003406,3406,
1479,1425.59,5109,µm,Spot,Position,1,Tracked,1000003418,3418,
1478.23,1447.54,5113,µm,Spot,Position,1,Tracked,1000003430,3430,
1484.39,1437.37,5119,µm,Spot,Position,1,Tracked,1000003442,3442,
1424.72,1430.07,5091,µm,Spot,Position,1,Tracked,1000003454,3454,
1487.08,1455.37,5087.11,µm,Spot,Position,1,Tracked,1000003478,3478,
1489.59,1450.28,5110.32,µm,Spot,Position,1,Tracked,1000003490,3490,
1445.36,1445.43,5081,µm,Spot,Position,1,Tracked,1000003502,3502,
1453.71,1434.02,5085,µm,Spot,Position,1,Tracked,1000003505,3505,
1451.27,1451.02,5099,µm,Spot,Position,1,Tracked,1000003517,3517,
1457.89,1460.72,5083,µm,Spot,Position,1,Tracked,1000003529,3529,
1455.74,1482.76,5079,µm,Spot,Position,1,Tracked,1000003541,3541,
1475.92,1464.79,5095,µm,Spot,Position,1,Tracked,1000003553,3553,
1458.83,1431.95,5123,µm,Spot,Position,1,Tracked,1000003565,3565,
1451.28,1468.06,5132.92,µm,Spot,Position,1,Tracked,1000003584,3584,
1404.15,1450.31,5111,µm,Spot,Position,1,Tracked,1000003595,3595,
1416.57,1489.28,5137,µm,Spot,Position,1,Tracked,1000003614,3614,
1414.57,1500.45,5097,µm,Spot,Position,1,Tracked,1000003625,3625,
1433.24,1533.37,5095,µm,Spot,Position,1,Tracked,1000003637,3637,
1422.4,1524.45,5093,µm,Spot,Position,1,Tracked,1000003647,3647,
1407.75,1517.78,5079,µm,Spot,Position,1,Tracked,1000003658,3658,
1416.2,1517.9,5096.81,µm,Spot,Position,1,Tracked,1000003669,3669,
1403.12,1515.91,5123.91,µm,Spot,Position,1,Tracked,1000003680,3680,
1408.52,1507.62,5122.51,µm,Spot,Position,1,Tracked,1000003691,3691,
1462.09,1512.31,5085,µm,Spot,Position,1,Tracked,1000003702,3702,
1413.17,1463.26,5077,µm,Spot,Position,1,Tracked,1000003713,3713,
1338.03,1415.33,5059.92,µm,Spot,Position,1,Untracked,1000000023,23,
1400.4,1363.02,5063.21,µm,Spot,Position,1,Untracked,1000000027,27,
1310.58,1455.16,5046.82,µm,Spot,Position,1,Untracked,1000000061,61,
1288.97,1481.09,5051.57,µm,Spot,Position,1,Untracked,1000000062,62,
1284.23,1456.04,5058.43,µm,Spot,Position,1,Untracked,1000000064,64,
1291.6,1512.01,5061.82,µm,Spot,Position,1,Untracked,1000000065,65,
