
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,Set 1,TrackID,ID,
0,,Spot,1,Untracked,1000000050,50,
0,,Spot,1,Untracked,1000000051,51,
0,,Spot,1,Untracked,1000000053,53,
0,,Spot,1,Untracked,1000000092,92,
0,,Spot,1,Untracked,1000000093,93,
0,,Spot,1,Untracked,1000000094,94,
0,,Spot,1,Untracked,1000000095,95,
0,,Spot,1,Untracked,1000000097,97,
0,,Spot,1,Untracked,1000000117,117,
0,,Spot,1,Untracked,1000000136,136,
0,,Spot,1,Untracked,1000000139,139,
0,,Spot,1,Untracked,1000000140,140,
0,,Spot,1,Untracked,1000000142,142,
0,,Spot,1,Untracked,1000000143,143,
0,,Spot,1,Untracked,1000000145,145,
0,,Spot,1,Untracked,1000000147,147,
0,,Spot,1,Untracked,1000000149,149,
0,,Spot,1,Untracked,1000000150,150,
0,,Spot,1,Untracked,1000000151,151,
0,,Spot,1,Untracked,1000000153,153,
0,,Spot,1,Untracked,1000000154,154,
0,,Spot,1,Untracked,1000000156,156,
0,,Spot,1,Untracked,1000000157,157,
0,,Spot,1,Untracked,1000000159,159,
0,,Spot,1,Untracked,1000000160,160,
0,,Spot,1,Untracked,1000000161,161,
0,,Spot,1,Untracked,1000000162,162,
0,,Spot,1,Untracked,1000000165,165,
0,,Spot,1,Untracked,1000000166,166,
0,,Spot,1,Untracked,1000000167,167,
0,,Spot,1,Untracked,1000000168,168,
0,,Spot,1,Untracked,1000000169,169,
0,,Spot,1,Untracked,1000000170,170,
0,,Spot,1,Untracked,1000000171,171,
0,,Spot,1,Untracked,1000000172,172,
0,,Spot,1,Untracked,1000000173,173,
0,,Spot,1,Untracked,1000000175,175,
0,,Spot,1,Untracked,1000000176,176,
0,,Spot,1,Untracked,1000000178,178,
0,,Spot,1,Untracked,1000000188,188,
0,,Spot,1,Untracked,1000000189,189,
0,,Spot,1,Untracked,1000000192,192,
0,,Spot,1,Untracked,1000000193,193,
0,,Spot,1,Untracked,1000000197,197,
0,,Spot,1,Untracked,1000000198,198,
0,,Spot,1,Untracked,1000000216,216,
0,,Spot,1,Untracked,1000000232,232,
0,,Spot,1,Untracked,1000000252,252,
0,,Spot,1,Untracked,1000000255,255,
0,,Spot,1,Untracked,1000000257,257,
0,,Spot,1,Untracked,1000000258,258,
0,,Spot,1,Untracked,1000000261,261,
0,,Spot,1,Untracked,1000000262,262,
0,,Spot,1,Untracked,1000000263,263,
0,,Spot,1,Untracked,1000000265,265,
0,,Spot,1,Untracked,1000000269,269,
0,,Spot,1,Untracked,1000000271,271,
0,,Spot,1,Untracked,1000000272,272,
0,,Spot,1,Untracked,1000000273,273,
0,,Spot,1,Untracked,1000000277,277,
0,,Spot,1,Untracked,1000000278,278,
0,,Spot,1,Untracked,1000000279,279,
0,,Spot,1,Untracked,1000000280,280,
0,,Spot,1,Untracked,1000000281,281,
0,,Spot,1,Untracked,1000000285,285,
0,,Spot,1,Untracked,1000000287,287,
0,,Spot,1,Untracked,1000000288,288,
0,,Spot,1,Untracked,1000000289,289,
0,,Spot,1,Untracked,1000000291,291,
0,,Spot,1,Untracked,1000000292,292,
0,,Spot,1,Untracked,1000000293,293,
0,,Spot,1,Untracked,1000000296,296,
0,,Spot,1,Untracked,1000000297,297,
0,,Spot,1,Untracked,1000000298,298,
0,,Spot,1,Untracked,1000000300,300,
0,,Spot,1,Untracked,1000000303,303,
0,,Spot,1,Untracked,1000000304,304,
0,,Spot,1,Untracked,1000000307,307,
0,,Spot,1,Untracked,1000000309,309,
0,,Spot,1,Untracked,1000000310,310,
0,,Spot,1,Untracked,1000000314,314,
0,,Spot,1,Untracked,1000000323,323,
0,,Spot,1,Untracked,1000000324,324,
0,,Spot,1,Untracked,1000000330,330,
0,,Spot,1,Untracked,1000000332,332,
0,,Spot,1,Untracked,1000000334,334,
0,,Spot,1,Untracked,1000000339,339,
0,,Spot,1,Untracked,1000000343,343,
0,,Spot,1,Untracked,1000000352,352,
0,,Spot,1,Untracked,1000000360,360,
0,,Spot,1,Untracked,1000000398,398,
0,,Spot,1,Untracked,1000000406,406,
0,,Spot,1,Untracked,1000000409,409,
0,,Spot,1,Untracked,1000000422,422,
0,,Spot,1,Untracked,1000000424,424,
0,,Spot,1,Untracked,1000000430,430,
0,,Spot,1,Untracked,1000000433,433,
0,,Spot,1,Untracked,1000000447,447,
0,,Spot,1,Untracked,1000000448,448,
0,,Spot,1,Untracked,1000000449,449,
0,,Spot,1,Untracked,1000000452,452,
0,,Spot,1,Untracked,1000000484,484,
0,,Spot,1,Untracked,1000000488,488,
0,,Spot,1,Untracked,1000000524,524,
0,,Spot,1,Tracked,1000003140,3140,
0,,Spot,1,Tracked,1000003149,3149,
0,,Spot,1,Tracked,1000003158,3158,
0,,Spot,1,Tracked,1000003167,3167,
0,,Spot,1,Tracked,1000003176,3176,
0,,Spot,1,Tracked,1000003185,3185,
0,,Spot,1,Tracked,1000003194,3194,
0,,Spot,1,Tracked,1000003203,3203,
0,,Spot,1,Tracked,1000003212,3212,
0,,Spot,1,Tracked,1000003221,3221,
0,,Spot,1,Tracked,1000003230,3230,
0,,Spot,1,Tracked,1000003239,3239,
0,,Spot,1,Tracked,1000003248,3248,
0,,Spot,1,Tracked,1000003266,3266,
0,,Spot,1,Tracked,1000003275,3275,
0,,Spot,1,Tracked,1000003284,3284,
0,,Spot,1,Tracked,1000003293,3293,
0,,Spot,1,Tracked,1000003302,3302,
0,,Spot,1,Untracked,1000003311,3311,
0,,Spot,1,Tracked,1000004300,4300,
0,,Spot,1,Tracked,1000004309,4309,
0,,Spot,1,Tracked,1000004318,4318,
0,,Spot,1,Tracked,1000004327,4327,
0,,Spot,1,Tracked,1000004340,4340,
0,,Spot,1,Tracked,1000004347,4347,
0,,Spot,1,Tracked,1000004364,4364,
