LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID8096,8096,1,242.0,59.91123166661097,35.91786909166115,0.0,11.0,11,5.818201094305645,1,,659.0495867768595,666.0,239.0,1001.0,159490.0,158.33175167678823,0.0199311483352457,0.1626827620663111,0.0544807244068986,-0.4730447866274327,8.907678137260707,3.986503751052497,1.2151407219943466,2.234458737160085,106.34751053328496,66.29124608219851,0.3041058866321058,0.7400611620795102,6.428246448302057
ID8037,8037,1,266.0,58.65762085756444,33.61171787374212,0.0,3.0,3,6.099888028041999,1,,625.1541353383459,622.0,284.0,954.0,166291.0,128.40214952134707,0.0495999887886711,0.4601533316736627,0.3057826633706239,0.0568993856592803,7.838281993148744,4.900027011630935,0.8577041465685221,1.5996405682138952,116.89437108204052,62.31375162979355,0.3782994107429706,0.767676767676768,5.763510644734982
ID8263,8263,1,239.0,59.04065001453517,35.148294125585096,0.0,4.0,4,5.782025399993552,1,,692.1380753138076,696.0,229.0,971.0,165421.0,146.7991030402532,0.0037280743496271,0.0350241680491327,0.0178537403568605,0.0916767272994964,8.06766864649522,4.187448947759476,1.2209574806065602,1.9266309266437465,105.02915296469058,58.33630024373588,0.387830502243412,0.8342059336823735,5.692249802338627
ID8199,8199,1,252.0,59.80926883095191,33.58499641542578,0.0,9.0,9,5.937195027884986,1,,624.1428571428571,618.0,258.0,963.0,157284.0,158.28365854478514,-0.0506816256592437,-0.4210334205693096,0.1807743433715632,-0.2775871228720107,9.865459883839652,3.8682835383065615,1.4153313955085858,2.5503455954416685,110.74203576193308,64.96544330896168,0.3297293103501602,0.7741935483870963,6.1734246952193095
ID8391,8391,1,235.0,58.550522244508855,34.28815284092932,0.0,14.0,14,5.733436089817821,1,,643.5063829787234,645.0,254.0,935.0,151224.0,141.1404516637084,0.0647963393416818,0.5549007011762389,0.1164088817270709,-0.2082442719361608,8.505542519913927,3.959561785186318,1.1622281229541782,2.1481019823292637,103.27134287323123,60.98794885655676,0.3489005334755851,0.8020477815699653,6.001421299161276
ID8076,8076,1,236.0,59.05522361149201,34.51083733549691,0.0,2.0,2,5.745621940100285,1,,719.9067796610169,701.0,336.0,1021.0,169898.0,163.71882940815564,-0.0762295089907469,-0.7257159459419461,0.0845571433873919,-0.1178647769201801,7.813966075498333,4.287328003967503,1.078700524080074,1.8225724899674745,103.7107953960961,58.33629409140056,0.3829624177201969,0.8096054888507715,5.728314499678387
ID8367,8367,1,252.0,58.64391405913145,35.76051079120367,0.0,13.0,13,5.937195027884987,1,,643.3373015873016,621.0,220.0,985.0,162121.0,161.31504314502354,0.0481742578245097,0.3665856015851239,0.1454800437993678,-0.4572762418942285,8.209868707477387,4.515244786117188,1.1645270642766896,1.8182555091409187,110.74203576193312,64.9654186996204,0.3297295601576065,0.7671232876712328,6.173422356685043
ID8048,8048,1,236.0,60.094532626724686,34.44342238384041,0.0,6.0,6,5.745621940100285,1,,654.8177966101695,669.0,251.0,981.0,154537.0,145.7726759157389,0.0023788840962803,0.0213213999736738,0.2770679054802202,-0.3701947327237139,8.319965449148473,4.210933694921536,1.166875927673776,1.975800630435598,103.7107953960961,60.98794885655676,0.3503852165967578,0.767479674796748,5.988692925767415
ID8369,8369,1,260.0,58.92765437186744,35.07323360527752,0.0,5.0,5,6.030699914556555,1,,684.6153846153846,674.0,305.0,985.0,178000.0,144.21302264842765,0.0115406692973322,0.1083227852627371,0.2144451319655311,0.055045307819484,8.69308996302068,4.312183112024643,0.9378785060860396,2.015937110550745,114.25765594485163,62.313757782128896,0.3697662683124939,0.8333333333333334,5.829633964630817
ID8082,8082,1,271.0,57.87625517997063,33.12366898060882,0.0,12.0,12,6.15695089856428,1,,571.8118081180812,576.0,226.0,850.0,154961.0,114.54724728273456,0.0607578351968508,0.5718531284178812,0.0128210390332469,-0.2596025095197022,9.463389613167132,4.102087789070196,1.2657277916914942,2.3069690605797986,119.09163369636458,68.94290084735468,0.3148560271526645,0.7559274755927473,6.31755347061701
ID8339,8339,1,247.0,59.88739864703887,33.22351653630412,0.0,8.0,8,5.877999182243972,1,,614.0,605.0,224.0,931.0,151658.0,176.29758194136977,-0.0870770438558329,-0.6643876641455622,0.1699403596811249,-0.1075570669991586,9.901784513852803,3.653071239963964,1.3572676186859327,2.7105369327400477,108.544773147609,62.3137946961408,0.3512775387105388,0.8219633943427619,5.9810817914191485
ID8211,8211,1,241.0,59.10081940455664,34.72182375577452,0.0,16.0,16,5.806167573472466,1,,587.103734439834,581.0,248.0,902.0,141492.0,140.101725046467,0.0463970886699469,0.3716169917466699,-0.032572699239231,-0.5627293907917795,8.106582546286116,4.402764846663354,1.2449449316122525,1.841248131257728,105.90805801042016,63.639597469377634,0.3286124555401419,0.747286821705426,6.183906602599416
ID8053,8053,1,276.0,58.56671173594183,34.1568681297883,0.0,1.0,1,6.213489742488749,1,,642.1268115942029,621.0,221.0,990.0,177227.0,172.07624696463324,-0.0672406164490873,-0.5380119645900275,0.1247634871075508,0.2037614592117461,8.28615883569279,4.741806578754018,1.0410748337302116,1.7474687543813956,121.28889631068866,62.31376393446421,0.39252103808482,0.8350983358547653,5.658137050274888
ID8245,8245,1,248.0,58.13031107679375,36.00583637767534,0.0,17.0,17,5.889885947027929,1,,613.9798387096774,604.0,238.0,931.0,152267.0,151.84830086131294,0.0229890888987329,0.1817292890355492,0.2504188877729646,-0.2091770499500238,7.854014934378987,4.610355334870717,0.9794253730364132,1.703559566217086,108.98422567047382,59.662109169308,0.3847479389510316,0.8091353996737353,5.715007188347689
ID8054,8054,1,244.0,60.55579795262561,33.49615942583072,0.0,7.0,7,5.84219377792726,1,,663.5204918032787,650.0,303.0,989.0,161899.0,141.78179631976164,0.0015033099599272,0.0140494721268441,0.1245466774776767,0.3184856613858775,8.861746866304957,4.002636795590113,1.177207503371993,2.2139772652038645,107.2264155790146,60.98794885655676,0.3622626815661394,0.8133333333333329,5.889699447631202
ID8025,8025,1,224.0,57.6821017827275,36.297484034197154,0.0,0.0,0,5.597641153926036,1,,698.8660714285714,674.0,353.0,1023.0,156546.0,181.02582604619667,-0.0709187421200265,-0.5893736825711909,0.0909234156863792,0.097809407026208,8.981777180589699,3.705305563200655,1.2276257046289047,2.4240314401577208,98.43736512171832,63.63960977404825,0.3054322057113345,0.7441860465116279,6.4142741465982205
ID8284,8284,1,238.0,59.082604907373614,34.90045610021763,0.0,10.0,10,5.769916432985343,1,,633.0042016806723,629.0,233.0,943.0,150655.0,156.0634269494828,0.0118011864828326,0.0946162950246654,0.1271320988716762,-0.4353558567536973,9.235600032938963,3.807734911288617,1.3383948225457636,2.425483981450129,104.5897004418257,64.96543100429103,0.3114111332953009,0.7460815047021943,6.352400401117658
ID8253,8253,1,253.0,56.97625029966231,36.11700522026969,0.0,19.0,19,5.948963513224675,1,,538.3517786561265,538.0,195.0,882.0,136203.0,138.044099402185,-0.0073653779918864,-0.0578740561219963,-0.3164908601344757,-0.1546194279523157,8.308023495230435,4.108527699864085,1.113983647140627,2.022141288107969,111.1814882847979,57.01047901349309,0.42986587227698,0.826797385620915,5.406776884910774
ID8286,8286,1,223.0,58.779065438544016,34.89958177458957,0.0,18.0,18,5.585132442976632,1,,552.0852017937219,560.0,205.0,832.0,123115.0,119.49656750255014,0.0557284762508564,0.4877593509809161,-0.0713931151913537,-0.1498927100123765,8.046739965153916,3.806130068499863,1.2199658105673044,2.114152648578674,97.9979125988535,55.68465778325032,0.3971509256848628,0.8228782287822878,5.625059782465533
ID8415,8415,1,247.0,60.02159107924994,34.53592461339062,0.0,15.0,15,5.877999182243972,1,,570.9919028340081,586.0,226.0,858.0,141035.0,143.41822949700486,0.0169706811694161,0.1328759646011505,0.0971175873988283,0.0393496546353764,9.12536224596324,3.880155210736344,1.2312763316135586,2.3518034074290304,108.544773147609,62.31378239147017,0.3512776774392333,0.7967741935483869,5.981080610376623
ID8097,8097,2,169.0,65.19667061498578,63.3259090660968,0.0,2.0,2,4.862105711379698,1,,805.2485207100592,835.0,413.0,986.0,136087.0,109.33379324807568,-0.1540181004444986,-2.6817371431336494,0.295903625497527,-0.3061986512852955,7.0759894536580425,3.6680681201230314,1.9941699623343605,1.929077983813645,74.26747636415354,45.078057179631486,0.4592806521040498,0.8894736842105264,5.23077280031029
ID8257,8257,2,212.0,62.85455789884504,65.32201420296364,0.0,19.0,19,5.445640595714253,1,,779.8867924528302,808.0,391.0,1001.0,165336.0,127.66319883420712,-0.205102656711964,-3.152507143183367,-0.0461378454733823,0.0259722921121238,7.931182358367181,3.7354064042607007,1.7686758208929096,2.1232448360426512,93.16393484734064,50.38136055760855,0.4612303785224524,0.8814968814968822,5.219705254499692
ID8100,8100,2,164.0,63.36051153675484,64.72301234707484,0.0,12.0,12,4.7896410654609305,1,,819.7317073170732,831.0,545.0,1013.0,134436.0,109.38097419608944,-0.2007214157201858,-3.764050810637967,0.0379954783467071,-0.0419757007002909,6.9375231066876335,3.448360561465975,-1.3937923126374523,2.011832284654809,72.07021374982958,42.42640856681064,0.5031449688027665,0.9010989010989008,4.997564003980813
ID8420,8420,2,225.0,65.79903452224858,62.86189563263614,0.0,15.0,15,5.610121974668882,1,,808.3822222222223,840.0,407.0,1010.0,181886.0,136.95086985473384,-0.1757143647141778,-2.516584340113418,0.0077339966892613,-0.1793803634860853,8.22981241780043,3.8001507836385375,-1.3062309583901432,2.165654176995739,98.87681764458311,53.03300917042944,0.4417858518915304,0.8999999999999996,5.333337045655747
ID8294,8294,2,210.0,64.35599385942753,64.50465889428777,0.0,18.0,18,5.419892741800201,1,,832.2571428571429,867.0,413.0,1020.0,174774.0,134.98428252090255,-0.2092197768502132,-3.262505552910603,0.118560177463772,-0.1725333091810476,8.958385735286233,3.3628794539853355,1.7140104089439725,2.6639033179347797,92.2850298016109,53.03302762743539,0.412333174757872,0.8917197452229301,5.52053023865955
ID8071,8071,2,187.0,64.72772685294966,64.94427178831823,0.0,6.0,6,5.114484278427699,1,,822.0748663101605,848.0,282.0,1017.0,153728.0,129.3628919194434,-0.2002608992078549,-3.18258112183725,-0.109672727173225,0.0920751962898275,7.047038939040381,3.654870738663013,1.839541627129004,1.9281226185356848,82.17762177572021,45.07805102729617,0.5081982567282606,0.9257425742574258,4.972655198786386
ID8074,8074,2,180.0,64.11450499249015,63.89751413258334,0.0,1.0,1,5.017845638969989,1,,768.4333333333333,782.0,415.0,989.0,138318.0,123.59801936544716,-0.1778264289257005,-2.6894128454535773,0.222855779035053,-0.2697935291659867,7.227359852593545,3.656953612634819,1.997198354921065,1.9763334781231376,79.1014541156665,46.40387840987427,0.4616212268419088,0.9045226130653268,5.217495060378492
ID8043,8043,2,176.0,64.50948923400057,63.66231369413386,0.0,3.0,3,4.961778564827841,1,,821.7556818181819,848.0,484.0,1011.0,144629.0,122.83058005278608,-0.1067241607722714,-1.5986131064623703,0.1087606734606762,-0.1658500865622692,7.27333220615997,3.5760385375102866,1.9149868732416675,2.033907669021883,77.34364402420725,46.40388456220958,0.4513628576710272,0.8800000000000001,5.276452377729108
ID8268,8268,2,179.0,64.05420111251112,64.77296346729281,0.0,4.0,4,5.003887765926997,1,,830.608938547486,865.0,374.0,1004.0,148679.0,127.3702606201307,-0.1764632111128113,-2.794664845015059,-0.2782106809488144,0.2386555795731292,7.179456275782588,3.7819592089985257,1.8488856677679213,1.89834312826545,78.6620015928017,45.078057179631486,0.4864570220510352,0.9132653061224492,5.082562099113491
